"","pid","v1","v2","v3","p12","p13","p23","d12","d13","d23"
"1","b1-k",419.9869268191,427.5797514201,418.6545584262,-1.80787165412662,0.317240444361228,2.08737503688077,-7.59282460100002,1.33236839289998,8.9251929939
"2","b1-length",1.527940216866,1.528835585458,1.5236078068,-0.0585997136613524,0.283545783936897,0.34194511873779,-0.000895368592000123,0.00433241006599983,0.00522777865799995
"3","b2-k",484.1959214883,479.1789756224,478.4021199324,1.03613963754158,1.19658206498131,0.162122240232043,5.01694586589997,5.79380155589996,0.776855689999991
"4","b2-length",1.503434271105,1.502666029908,1.500328540697,0.0510990877197036,0.206575735813002,0.155556135859615,0.00076824119700003,0.003105730408,0.00233748921099997
"5","b3-k",418.6331368515,416.4648443485,394.216706618,0.51794574106282,5.83241699812243,5.34214064702245,2.16829250300003,24.4164302335,22.2481377305
"6","b3-length",1.529478304416,1.53055670645,1.506724714999,-0.0705078346575023,1.48766996898907,1.55707994029679,-0.001078402034,0.0227535894170001,0.0238319914510001
"7","b4-k",540.3345953498,531.7276750604,540.1088248875,1.59288714131437,0.0417834549634704,-1.57621094785935,8.60692028940002,0.225770462300034,-8.38114982709999
"8","b4-length",1.466199291912,1.46497387362,1.464832227067,0.0835778804941277,0.0932386785712609,0.00966887912137034,0.00122541829199996,0.00136706484499993,0.000141646552999974
"9","b5-k",765.1465671607,744.6236493829,745.8696729867,2.68222046057872,2.51937275828506,-0.167336023349872,20.5229177778,19.2768941739999,-1.24602360380004
"10","b5-length",1.394445702699,1.389358757625,1.386171401734,0.36480051278828,0.59337562939774,0.229412012808583,0.00508694507400009,0.00827430096499993,0.00318735589099983
"11","b6-k",898.589948525,920.6754091735,845.0052043581,-2.45779075147151,5.96320315566152,8.21898837108401,-22.0854606485001,53.5847441669,75.6702048154001
"12","b6-length",1.382361687103,1.393120504294,1.371139649604,-0.778292489684603,0.811801831872082,1.57781431127089,-0.010758817191,0.011222037499,0.02198085469
"13","b7-k",457.1029448115,445.2975503981,447.0509174409,2.58265551499965,2.19907298447733,-0.393751782652401,11.8053944134,10.0520273706,-1.75336704279999
"14","b7-length",1.46420197713,1.465816274849,1.466853737297,-0.110251027127016,-0.18110617308397,-0.070777113462391,-0.0016142977189999,-0.00265176016699997,-0.00103746244800007
"15","b8-k",640.6150893356,649.0755210522,643.9853182161,-1.32067318697948,-0.526092646989531,0.784223510362605,-8.46043171659994,-3.37022888050001,5.09020283609993
"16","b8-length",1.389681126838,1.400863405313,1.396273600829,-0.804665060138183,-0.474387531332463,0.327641115228827,-0.011182278475,-0.00659247399099994,0.00458980448400004
