,difference
36975451,0.816162202205831
36975452,-1.4599060830660164
36975453,1.584634973336449
36975454,1.7211178533491136
36975455,0.9352137591694003
36975456,-3.4731001619551023
36991787,0.018375817791350002
36991788,0.49506178818209
36991789,0.14116053256877592
36991790,-0.6403299560770392
36991791,0.6599682899510242
36991792,0.7253399068485571
36991793,0.09543530471381523
36991794,0.7249232228883802
36991795,0.14115011013839407
36991796,0.01837167340610879
36987706,1.5099033134902129e-12
36987707,-8.073658682405949e-05
36987708,-7.140446015796442e-06
36984387,1.7958654158627212
36984388,1.795935159001317
36984389,0.0
36973916,-4.317541606724262e-05
36973917,9.094947017729282e-13
36973918,-0.24074167963573245
36973919,-0.24056757039404886
37014846,0.6722419065291412
37014847,0.0
37014848,-0.07311413268332956
37014849,0.67229330261722
37014850,2.021071145096741
37014851,-0.07290350628068865
37014852,0.7307149726554591
37014853,-0.6100058211126118
36991461,-0.006136273732408881
36991462,0.15306357214456057
36991463,2.896464906710051
36991464,2.895354853761816
36991465,3.5732512007679134
36991466,0.15275326174769077
36991467,0.11494691408836388
36991468,0.1357807214520932
36991469,2.8962036395334536
36991470,2.8966009489574844
36969580,1.1617373729677638e-12
36969581,-2.7008994948118925e-05
37015999,-0.001487189088948071
37016000,6.554756737386924e-13
36972482,-2.6990528751641403
36972483,-2.6050661756967237
36972484,-2.605005997939454
36972485,7.7982065249671e-13
36972486,-2.6050672822827803
36972487,-3.8086611311882734e-05
36972488,-8.234940455409401e-05
36972489,-1.6177382641113596
36973802,0.9674226019821219
36973803,0.0
37016100,-0.000615051481872797
37016101,8.100187187665142e-12
37016102,0.8799834050179527
36968620,-1.3358561672503129
36968621,0.07636345525354216
37014214,-0.28935143077978864
37014215,-0.2893331455393362
37014216,0.26991092979936226
37014217,0.03537709656229815
37008313,-1.1459436045298839
37008314,-1.7596270692028426
37008315,-1.1459433651792041
37008316,-1.6855774447321892e-05
37008317,4.991562718714704e-13
37008318,-1.1462110475562497
37008319,-1.1462078479973918
37010696,0.3813311913148443
37010697,0.0
37010698,1.5059950208019508
37010699,1.0985152430358571
36982533,0.0
36982534,-1.6016585750855583
36982535,-1.3233413720191187
36982536,-1.3237243137024954
36982537,-0.7845449777323985
36982538,-8.082247095586581e-06
36982539,-0.00026058522052707644
36982540,-0.7845637306114703
36982541,-5.762790820540431e-06
36982542,-1.6016606398277915
36984973,0.0
36984974,-0.00027162418696491386
36984975,0.7255821639542681
37008083,-0.0739341437544212
37008084,0.8041832187602083
37008085,-0.2716078303718277
37008086,-0.41850700119876194
37008087,8.235190307459561e-12
37008088,-0.07565051130950451
37008089,0.43645503179519807
37008090,0.436454422346074
37008091,0.43645975112849555
36996696,0.4004449560308103
36996697,0.4004376247684718
36996698,1.1557005194705994
36996699,1.636648228794627
36996700,-1.6413041783324047
36996701,-1.331312720650942
36996702,-2.6941088305126755
36996703,0.0
36974979,0.0
36974980,-1.5458557690806174e-05
36991779,0.73430024335768
36991780,0.8141643160595038
36991781,-1.5120344258612022
36991782,0.7493650401081311
36991783,0.13408166619326778
36991784,0.6726087228660305
36991785,1.1725558967774958
36991786,1.9425441347137138
36981550,-2.8709949391295595
36981551,1.5997235692396714
36981552,0.10371568356012517
36981553,-0.550271806103666
36981554,3.4541316746698385
36981555,0.0
36981556,0.3400464079300889
36981557,-3.360349969061218
36981558,0.43823669034327395
37016149,-0.32216675870586187
37016150,-0.31970627931255535
37016151,5.400124791776761e-13
36974389,0.052298172572693424
36974390,0.0
37014267,0.11801630289058984
37014268,0.0
37014269,-0.1518686482955509
37014270,2.8028420395306863
37014271,-2.4202393431593805e-05
37014272,2.2935098505155285
37014273,0.1284902197133686
37009599,0.6162544682253923
37009600,0.5472241217711726
37009601,0.54754962204089
37009602,0.6163236820774429
37009603,7.069900220812997e-13
37009604,0.6161867498375813
37009605,0.6162789248770224
37009606,-0.0001714123626079811
37009607,-0.0003084187597437449
37009608,-0.00029464007820934057
36999326,1.765466821555492
36999327,-0.894852863624692
36996073,-1.3116187493338956
36996074,4.902744876744691e-13
36996075,-0.6374964115285806
36996076,-1.3108299144560007
36996077,-0.00010620942339301109
36996078,-0.6377756932827481
36996079,-1.3119370372056665
36989744,0.8702529643097883
36989745,-0.5126970739112267
36989746,2.443374935993706
36989747,0.42742537520087254
36989748,0.0
36989749,0.5988777466725992
36989750,2.337432607147896
36989751,2.342117456909044
36989752,4.480626501325119
36989753,-0.06267645071472572
36983669,2.8541391821786704
36983670,0.9046961658681738
36983671,0.0
36983672,0.3485692812186727
36983673,2.461830823756145
36983674,-1.1051039868159194
36983675,1.7112606530570673
36983676,0.04601658245286444
37011180,0.5308506542725695
37011181,-0.48606238168287064
37011182,0.6362301873512024
37011183,-0.0861302181147039
37011184,0.47343154883145644
37011185,-0.24920160356685983
37011186,1.561992997876473
37011187,0.15211450865001552
37011188,-3.682333228260404
37011189,0.9652660598683269
36978937,0.4376199763953963
36978938,2.9593560436410087
36978939,0.06224357714862094
36978940,3.145387053869811
36978941,-0.3508860811125487
36978942,4.317897161064025
36978943,-0.617945740255152
36978944,3.0090665999232726
36978945,0.4375559393547377
36978946,0.1493080052807727
36981719,2.8042678099050704
36981720,-0.8370157572207972
36981721,6.192547821311081
36981722,0.878882384564605
36981723,2.94212332704393
36981724,0.1841282153864654
36981725,5.324231661074606
36981726,2.416356465210214
36981727,3.0591186986606544
36981728,3.353761712787673e-12
36975564,-1.9152705154847354
36975565,-4.496420502804369
36975566,4.3710130428498815
36975567,3.5744059811011653
36975568,2.8099315511020677
36975569,1.1802362142197467
36975570,-0.44648111036576665
36975571,-0.22345294678103755
37016184,-1.2769022653773803
37016185,1.3500311979441904e-12
37016186,-1.2768932824255899
37016187,-1.7189471488805168
37018483,0.8662263265781283
37018484,0.8662643536523582
37018485,1.1428777976020603
37018486,6.197709012667474e-12
37018487,-6.837071850895882e-07
37018488,-1.9596996311932458e-05
37006531,0.22023977885278612
37006532,0.2202211714930158
37006533,-0.0023237979039549828
37011426,-2.1904486221183888
37011427,2.7000623958883807e-13
37011428,-0.449289532300142
37011429,-2.190402890629798
37011430,-0.0016017502057366073
37011431,-2.19110790688336
37011432,-0.0007327951600331062
36988935,0.15865325024861932
36988936,-0.42699877610098724
36988937,0.3427738755382279
36988938,-2.3496087879337892
36988939,-1.061283584596481
36988940,-0.10888749813270238
36988941,1.7289331585621426
36988942,-0.769271417404525
36988943,-1.4708026834097723
36974877,7.844391802791506e-12
36974878,-0.10132572817383334
37009403,1.0791249376816463
37009404,-0.5083536435895812
37009405,2.653334765871268
37009406,-2.616327009862289
37009407,0.004713667508665864
37009408,3.1484275175363123
37009409,-0.245659206152828
37009410,1.5750532563844288
36974459,0.8861274805977928
36974460,-0.7017100540650176
36974461,0.6111986524987856
36974462,0.7707943801123633
36974463,0.954000653967114
36974464,-0.8417543118121102
36974465,-0.8580031418628096
36974466,-0.42256039815225677
36974467,-0.7535566295865124
37016176,-0.17562510923016816
37016177,0.017018151196763087
37011942,0.8194437940016019
37011943,-1.0580925614922307
37011944,0.24331523987828163
37011945,0.6206491999310568
37014802,-0.40619304468535233
37014803,0.0
36970327,1.8583575170826858
36970328,1.7592827490761067
36970329,2.1530794729988756
36970330,2.0508149784965717
36970331,-0.9967180734383874
36970332,-0.5285430759767848
37014770,0.6185433581916389
37014771,1.428625322294165
37014772,0.6188047515672856
37014773,-0.052061947586445
37014774,-0.05204583879094571
37014775,0.4528730233623506
37014776,1.4960258753480318
36961641,1.6887071613482334
36961642,4.2514613947382
36961643,4.250228916205984
36961644,-0.6899262461811304
36961645,1.6887637715545054
36961646,-5.154825295798545
36961647,-5.154357239151281
36961648,-5.933630484635117
37007501,-0.3863066030899063
37007502,0.25310040723491056
37007503,-0.4331165329751343
37007504,-0.31319193314993754
37007505,-0.24249872697998853
37007506,0.029430309442034286
37007507,-3.263336139923183
37007508,0.06192861470469779
37007509,2.070659878507911
37007510,0.2525459549129323
36996187,0.055804413266116626
36996188,-1.133978892795767
36996189,2.7496936474559277
36996190,1.542725822159582
36996191,1.462843813019191
36996192,1.0257132916108276
36996193,-0.23729646764695644
36996194,-0.6597991077128995
36996195,-14.420811097360655
36994603,1.4440695279048725
36994604,-2.0719308144052775
36994605,0.8892341625738993
36994606,1.5091643124508494
36994607,2.6582008191859074
36994608,1.3852819883633458
36994609,-2.524632364478549
36994610,1.4441068454136428
36994611,-3.9017007505039203
36994612,-2.140525344875641
37012875,-0.361668981315475
37012876,-0.22033739854616385
37012877,-0.9785798362139246
37012878,-0.07136412180261686
37012879,0.41591929422618534
37012880,0.12025344298538698
37012881,-1.2287855173750444
37012882,-1.228828816713559
37012883,-0.3233298648239895
36970028,0.0
36970029,0.09532949894460785
36970030,-5.590410703831395
36970031,-0.8243446103728616
36970032,-0.7859055840522728
36970033,-3.7440147269179818
36970034,-4.079012028986881
36970035,-1.1438026322075245
36970036,-1.2643067002446458
36970037,-0.9248110642705285
36995632,1.2486411205681804
36995633,1.4807202788469382
36995634,-0.9691031647105035
36995635,-3.35332075284515
36995636,-1.5188189626085915
36995637,-9.582113609506457
36995638,-1.7687533669973234
36995639,0.0
36995640,-3.546972895261696
36970802,-1.4401027569590212
36970803,-2.9681124909905634
36970804,0.4098729024692602
36970805,-0.4673207097086447
36970806,-1.1175151524634543
36970807,-1.2117777097851672
36970808,-1.5240128069417551
36970809,0.4073410668029567
36973609,0.7175648997769741
36973610,-3.398714370658894
36973611,1.2361568081662995
36973612,0.8245180035675048
36973613,0.5719793968384153
36973614,-5.2352842189138755
36973615,-0.40931095626373803
36973616,0.6018223009761527
36973617,-1.6304898248488513
36973618,-2.1924095253341136
37016967,0.0
37016968,0.39916281594654457
37016969,-1.5869533021887339
37017054,0.0
37017055,-0.0037240608936279784
37016490,0.1346475855786835
37016491,0.0
37016492,0.13482730091689987
37012780,-1.6818938855633725
37012781,-0.5414095901651308
37012782,-0.13116582191446824
37012783,-1.662610202301952
37012784,0.9572486443479953
37012785,0.22586713616581022
37007170,0.5992552762279644
37007171,-1.5789003613545987
37007172,-6.641155875781962
37007173,0.6387660164281641
37007174,-1.850940662319772
37007175,-2.26463134321142
37007176,-1.2422788578827877
37007177,-1.9181792902509756
37016854,0.5355856394524752
37016855,0.5562326959824508
37016856,0.5562287224948621
37016857,-0.340701567130707
37016858,-0.34083188698150213
37016859,-0.0984066316159442
36998165,-1.7563084038111185
36998166,-1.603263389767008
36998167,0.0
36998168,-3.0769256707417796
36998169,-2.292790588014345
36998170,-2.6243400543600863
36990423,1.331204739136055
36990424,0.0
36990425,2.1100338449057077
36990426,2.5774526287235773
36990427,1.3310433812131564
36990428,0.12262194987701491
36990429,1.331213874944897
36990430,2.5773368865097197
36990431,1.1049457848534487
36990432,0.36102888135609135
36980769,0.16750655341101606
36980770,2.043456201432491
36980771,-0.6687115099438756
36980772,-1.2922936194809154
36980773,3.333234249174126
36980774,-0.6425651047880194
36980775,1.383056809536214
36980776,-2.51986783260989
37008950,0.17677689941620045
37008951,0.23527904530571675
37008952,-0.5154608257396269
37008953,-0.5412964803981595
37008954,-0.5155962028483785
37008955,0.17643311699035635
37008956,-0.5413191986724435
37008957,0.2353883459056476
37008958,0.17650838281640446
36969634,-1.2700167258560953
36969635,-0.792309811799834
36969636,0.0
36969637,-1.269802448729898
36969638,-0.8525847859410263
36969639,0.8965676010897639
36969640,-1.0921158783218985
36969641,-0.7476102561204598
36969642,-0.8707071981602752
37012452,-9.64485889756817
37012453,1.4210854715202004e-14
37012454,-5.555452323047589
37012455,-0.000777146895416081
37012456,-5.431467095227887
37012457,-5.622391403059652
37007875,-0.3324411027133465
37007876,0.8494233950962666
37007877,2.1682430303716416
37007878,1.5786702018588414
37007879,-0.07038428667988228
37007880,0.19921857432416346
37007881,1.1010144849765027
36974411,1.4398502212033577
36974412,-0.5407600760474622
36974413,-0.17265899854413647
36974414,1.439647746900505
36974415,0.8836368868145996
36974416,1.2083034973605322
36974417,-0.18234718905296177
36974418,2.6111516002728763
37015790,-2.4666528356587705
37015791,-3.262475354995331
37015792,-2.118347160108904
37015793,0.11527633073220755
37015794,-2.9291590980115387
37015795,0.0
37015796,-2.928832228353116
36985191,-1.1952163149890396
36985192,2.345375885437676
36985193,-0.10730194940845195
36985194,2.572239158692099
36985195,-0.7177262171171606
36985196,2.638586741035823
36985197,1.4625920053051686
36985198,3.7235511290477916
36985199,1.7732058122186913
37010838,2.7117924456596825
37010839,2.145471620045356
37010840,-1.3293311050069576
37010841,0.5453181057396534
37010842,0.0
37010843,0.485712129939742
36972527,5.588705045024625
36972528,-1.384348692600014
36972529,2.0765344097163734
36972530,-3.5105122845662606
36972531,0.11082328118344265
36972532,1.6961995428140852
36972533,1.496983904389154
36972534,-1.085705403238535
36972535,1.024957207037673
36970494,-1.0808268636465073
36970495,2.7540710428881994
36970496,2.760695470727441
36970497,2.92461370551716
36970498,1.243228425709134
36970499,0.9263407611082357
36970500,-0.7181767497187508
36970501,3.435839453429651
36970502,-1.1256314379983223
36970503,-3.131200772420442
37014434,0.32611295164167586
37014435,5.400124791776761e-13
37014436,0.24528583992292852
37014437,-0.31685445160837844
37014438,0.24528880246694484
36973716,-0.05071664390286035
36973717,0.0
36973718,0.4065626406828551
36973719,0.4056894963733184
36973720,-0.05080911492228271
37014035,0.0
37014036,-1.819094709956076
37014037,1.0019891933448974
37014038,-1.6183238944662435
37014039,0.6607756304734096
37014040,1.145333665481715
37014041,1.836062265896146
37014042,-1.6185115968837493
37014043,0.850593137227662
37009944,2.132758126331481
37009945,0.0
37009946,0.45020431823181184
37009947,1.6708552754405446
37009948,2.329464176084258
37009949,2.7589489287013294
37009895,2.960340980004972
37009896,-2.9259569377746715
37009897,0.7890687356416493
37009898,0.0
37009899,-1.5753145050758661
37009900,1.8408945940358734
37009901,1.9916992992314277
37009902,1.0275837796283156
36992614,-0.39845973592503015
36992615,-2.2292103265269247
36992616,-2.5326095931045813
36992617,0.4370977317424547
36992618,-0.7577919236657351
36992619,0.9850791797649663
36992620,-0.7577407488869596
36992621,0.2689459856124188
36992622,-2.6809908384971948
36992623,-3.078312629600987
36992174,7.494408278418135
36992175,8.478030468942242
36992176,3.321920822798262
36992177,-9.619947360342609
36992178,0.0
36992179,3.30762722397062
36992180,4.705592652959954
36998857,0.5986694270092165
36998858,2.744540071924913
36998859,0.7802818329994743
36998860,1.064747937733177
36998861,-0.04805315739940852
36998862,1.333836500667477
36998863,1.0416058796529413
36998864,1.185616067521984
36998865,1.334092113556057
36965446,-2.2442789304101893
36965447,-0.0325200091303941
36965448,3.34424182039146
36965449,-2.26518333919671
36965450,2.412310223605914
36965451,-0.30374501010544463
36965452,-4.739047990064137
36965453,-1.6886687107939338
37024381,2.073610898217055
37024382,0.2406388526257075
37024383,-1.3003318160399573
37024384,0.0
36974425,5.154655640928311
36974426,-4.3775666789264704
36974427,4.1467153558210725
36974428,2.6145734187369953
36974429,1.365653235837783
36974430,-1.0900902355788276
36974431,-4.316665426077236
37017160,0.6486917022756664
37017161,-0.10585077956765332
37017162,-0.11681571416556835
37017163,0.6496084300943927
37017164,-0.6304488262241073
37007057,0.1332125728211473
37007058,-0.006241643277462572
37007059,-0.9390725160917839
37007060,0.7748193011731708
37007061,-0.9875841289994263
37007062,0.5375490351161396
37008442,-1.3578409735716903
37008443,-1.848004704637809
37008444,0.24838900001308417
37008445,0.0
37008446,0.5306902909579136
37008447,0.7891986592120972
37008448,-5.021205786693152
37008449,-5.188555090053406
37008450,0.2482674090346464
36974374,0.4030844593843028
36974375,0.40904237711217206
36974376,0.457887128595587
36974377,-0.12878351320978254
36974378,-0.3497047734229852
36974379,-0.3426225046486593
36974380,0.40909545632598565
36974381,0.6358403723516233
36964806,1.7768991547807502
36964807,-0.08691729309688867
36964808,-0.23501682572532445
36964809,0.1311684382179692
36964810,0.40179951120508406
36964811,-0.06539893697576815
36964812,0.09539084072910953
36964813,0.5457072538286809
36964814,0.6203254931998856
36961761,0.9480457688725608
36961762,0.9244174507207958
36961763,-0.56175366810875
36961764,0.14531865127152344
36961765,-0.7415175474923359
36961766,1.6579629496223447
36961767,-0.5068874410353601
36971640,0.0
36971641,1.6666904540120626
36971642,-4.737043568107055
36971643,-6.4998558800459065
36971644,0.5148884857364422
36971645,0.1823125180234726
36971646,-5.219926826221503
36971647,-4.7897561055236935
36971648,-6.173961265109774
36971156,-9.242614258296598
36971157,-5.946079792984598
36971158,-0.2774640926352774
36971159,0.0
36971160,-8.811254860993444
36971161,-9.770193252449396
36971162,-8.35994405398884
36971163,-8.55064737973558
36971164,-7.064319890563112
36971521,3.8669845680812784
36971522,4.431079880762766
36971523,-10.522193565899258
36971524,-8.893900774485942
36971525,-5.690128952223688
36971526,5.324710519791807
36971527,-0.9775197257170731
36971528,-2.755027098622989
36971529,-1.6807907400656035
36971530,0.0
37014237,-6.763337847666634
37014238,-0.22081165337647235
37014239,-4.999698667941033
37014240,-2.1761712294399445
37014241,0.3627040263046979
37014242,0.0
37014243,-5.279026062124274
37014244,-2.8870475761320904
37014245,-4.913334802448503
37014246,-6.7631578477023595
36969348,0.0
36969349,-0.6996901738767605
36969350,-1.2634644390154932
36969351,-0.8873357437233267
36969352,0.062079149105684905
36969353,0.062191198036160245
36969354,0.07531902888668185
37024214,0.0
37024215,-3.070977150798626e-06
37024216,-0.21260354145835691
37024217,-9.518815191711383e-05
37024218,-0.2125927980124871
37024219,0.0521133889056955
37024220,-0.39602341859804113
36969191,-0.5399722141991283
36969192,2.585831509076197
36969193,0.1964516947367887
36969194,-0.006064099143259227
36969195,0.03005770250775086
37016471,0.7243803254557264
37016472,-1.282239328291638
37016473,-0.0003628174273444529
37016474,0.0
37016475,-0.7631370557354273
37016476,-1.2820615224599692
37016477,-5.8631124726235555
37009450,-0.9835559784002825
37009451,-1.1034352732483903
37009452,0.24221954605708973
37009453,-1.2513599213773343
37009454,-0.9172267897288151
37009455,0.6086302925533289
37009456,-0.19008690147403584
37009457,0.0
37009458,-1.1592177772942218
36970729,-9.937028187133976
36970730,-5.3226900424045525
36970731,-6.144423389705032
36970732,-8.980015515878733
36970733,0.4705845857611024
36970734,-5.802731427318008
36970735,-8.98324693301766
36970736,0.0
37016289,-1.3007790279807523
37016290,1.298435593846989
37016291,3.4069907482577264
37016292,-0.8400765087451418
37016293,3.0814930129876075
37016294,0.6615313636930864
37016295,0.10070587355914995
37016296,1.1075257387620354
37016297,0.42946638199902054
37016298,1.040100853665308
37016340,-0.7950553892507628
37016341,0.801666655733186
37016342,0.8013666278677647
37016343,-0.1926708486979578
37016344,1.174074215713972
37016345,-0.49208700054674637
37016346,-0.5252408015223864
37016347,0.7666799596685792
37016348,-1.0189339668722823
37016349,-0.16793486207410524
36955947,0.507461960297622
36955948,1.1466769058234156
36955949,1.8676753530818342
36955950,-0.33369189654963805
36955951,-0.7033263408811763
36955952,4.332374005586855
36955953,0.5256157152824663
36955954,0.751138046171981
36973823,0.5953704516965388
36973824,-3.617524651810527
36973825,5.01613813403327
36973826,-3.960330151350064
36973827,-7.512499127115802
36973828,-4.23343855658544
37016615,2.001391054279331
37016616,-3.4230093414304417
37016617,2.855799150313837
37016618,-1.4951701557729393
37016619,1.64552262831236
37016620,3.839424346693778
37016621,1.823681855455983
37016622,2.7564818365117567
37016812,-1.603190973866731
37016813,1.93547201397244
37016814,-1.3107500905813598
37016815,1.553633445262422
37016816,-9.218898485791893
37016817,1.8920636063261096
37016818,2.812975566534722
37016819,3.211941268151195
36997942,-0.00018617557359235093
36997943,0.0
36997944,0.6051665892334928
36997945,0.18648870990479693
36998718,-5.78760448563844
36998719,0.8403017870479506
36984774,0.1964717534129683
36984775,0.19616589927925787
36984776,0.19614847586376172
36984777,-2.470144000137225
36998629,2.043690846250527
36998630,0.0
36985289,1.9149197214524059
36985290,1.9659909948950658
36985291,1.9660041745151433
36985292,1.643519485665621
36985293,-0.9213984361849725
36985294,1.9660025935866456
36985295,-0.9103662529960244
36985296,1.9213301234044264
36985297,1.9149456406230323
36994587,2.0823594723055106
36994588,2.0830543674666977
36994589,0.9768973805894028
36994590,0.9769130887407869
36994591,-2.075045756128313
36994592,-3.0170217372942716
37015962,0.0
37015963,-0.4737009868151034
37015964,-2.0465847723893233
37015965,-2.1758617387478694
37015966,-3.7081153065438883
37015967,-1.8369918610344484
37015968,-11.296433756266396
37015969,-0.4736666361461488
37013596,-2.1270300877063164e-05
37013597,0.0
36997691,-0.42742956033772117
36997692,0.5655525288125531
36997693,0.5654108582754134
36997694,0.0013843496341650052
36997695,-0.4199004580732435
36997696,0.5621950125580071
36997697,-0.008657697585753965
36997698,0.5654501121244522
36997699,0.5503146805787935
37015642,0.6100083089568571
37015643,0.6099843414846813
37015644,-0.3147058599859722
37015645,0.6098756046901368
37015646,0.6098385550477268
37015647,-0.3150236144429073
36973483,1.0527754803102383
36973484,-1.3096886863342831
36973485,-1.3096755644655786
36973486,-2.345102614595767
36973487,-2.3451600179387384
36973488,-1.309686402670387
36973489,1.0528301126781159
36973490,1.0527835012076423
36969776,-0.34438944223802537
36969777,2.6945584207572324
36969778,1.679173742581611
36969779,2.400383065250253
36990994,-0.9078344454424476
36990995,-0.0002132779916337313
36990996,-0.00018377555531579048
36990997,-0.9078128517973498
36990998,-0.0002193036489188671
36990999,5.88862292261183e-13
36999086,1.2110537307165292
36999087,-2.5211449060589075
36999088,2.094268373231685
36981805,-0.14666177830993377
36981806,0.769352451746137
36981807,-0.1467671805111479
36981808,0.0
36981809,-0.09741068508192541
36981810,1.3580157248676556
36981811,-0.09738487649957506
36981812,1.3580283384676832
36975682,-0.0003828965127468109
36975683,2.525979425627156e-12
36975684,1.4212389273542634
36975685,1.4212434661562625
36985200,1.9893086362374959
36985201,-1.86923170927912
36985202,0.25036045706053756
36985203,-0.1325647143593187
36985204,-1.8694744021628935
36985205,1.5987037297445283
36985206,1.9892082689935648
36985207,1.9892714811115297
36986948,-5.226611393403772
36986949,2.6054281559841144
36986950,-3.566779125208086e-05
36986951,0.0
36994259,-0.34712957256422783
36994260,-0.1131316068270607
36994261,-2.4351156420132654
36994262,1.3216094885137863e-12
36994263,0.5723817111936071
36994264,-0.12264770971627925
36994265,-0.0769046382047236
36994266,-2.2265714651893163
36972327,-0.015504987328313291
36972328,-1.4194265559308725
36972329,-1.509580755432058
36972330,1.9184653865522705e-13
37016977,-1.749536022543907e-05
37016978,3.197442310920451e-13
37009038,0.9027870515017558
37009039,0.001759353852646639
37009040,0.9027774324579738
37009041,-3.1167175620794296e-05
37009042,0.8684738001786041
37009043,-1.7371027984769416e-05
37009044,0.0018017369451358012
37009045,0.8684530407743178
36973273,0.0
36973274,0.758986489214486
36973275,-0.8554004458068221
37006609,-4.938815254718065e-05
37006610,5.613287612504791e-13
37016238,0.0
37016239,0.05714679283866708
36999389,-1.3494205926544964
36999390,0.3511959918005374
37007954,0.8177928956542253
37007955,-5.094619530718774
37007957,-4.279899314219666
37007959,-3.484587504673602
37007962,-6.600654455105143
37007963,4.297991487270551
36969853,-0.12727867080144506
36969854,5.684341886080802e-14
36969855,0.017417624452036762
36969856,-0.9596216083724016
36969857,-0.1274221066875043
36969858,-0.1257866230732816
36969859,-0.1661725415756905
36969860,-0.1738651234190911
37012297,-0.30004291462404353
37012298,0.3325347090571711
37012299,-0.25991995129285783
37012300,-0.3000609487582153
37012301,-3.4197233617305756e-05
37012302,0.33256153300747826
37012303,-0.2999740004800273
37012304,6.330935775622493e-12
37012305,-0.30007596517027935
37012306,-0.29992879257086
36992818,-0.0900462701856739
36992819,-0.09001852375859443
36992820,1.5114952979674214
36992821,1.4075348113638313
36992822,1.5542153046252736
36992823,-0.7134468484408174
36992824,0.0
36992825,-0.0074198796611213425
36992826,3.0940686722262356
36974893,0.0
36974894,0.5820164242567785
36974895,-0.07108570985545981
37016092,1.471525636258466
37016093,0.0
37016094,2.7238515053610115
36974924,-1.373890932439508
36974925,0.0
36974926,-0.14095530169956305
36974927,-1.016332741634983
37012638,-0.025537206889737263
37012639,1.7074680046968496
37012640,1.1226575225009583e-12
37012641,-3.600731724873185e-05
37012642,1.7074623213596567
37012643,-0.2527055211829037
37012644,-0.2528854233124491
36974157,-0.6183913451386616
36974158,0.5921488016290777
37010949,-0.44859491929367223
37010950,-0.43696490412079214
37010951,-0.43691183177293524
37010952,-0.4486915605999293
37010953,0.0
37010954,-0.4369310654457905
37010955,-9.838899117653455e-06
36985554,-1.8119446900637541
36985555,-2.4158676546877054
36985556,-0.8401282213350711
36985557,-3.2080661988467476
36985558,-3.2075154440107667
36985559,4.799716180059477e-12
36985560,-3.8248705423597045
36985561,1.4768642457237853
36985562,-0.0002847835421562195
36985563,-0.8402314253796064
36998887,0.7386223029927912
