,difference
36975451,2.014233054817659
36975452,-1.3991997522336135
36975453,-0.061820154356595935
36975454,0.0
36975455,2.8984542215169284
36975456,-4.361911964539729
36991787,-0.3981072987917784
36991788,-0.8071581810121558
36991789,0.9053857115986332
36991790,-0.6403299560770392
36991791,-2.394272407934139
36991792,0.4965805198482016
36991793,-3.405004074302127
36991794,0.4961638360363452
36991795,0.9053752920095235
36991796,-0.3981114429117909
36987706,3.4492586564738303e-10
36987707,-8.073658682405949e-05
36987708,-7.140299317143217e-06
36984387,2.4230848001939904
36984388,2.4231545421073832
36984389,0.0
36973916,-4.317541606724262e-05
36973917,1.2924772363476222e-11
36973918,-3.106830316530967
36973919,-3.106656207242427
37014846,0.017613956989569246
37014847,0.06490973594922878
37014848,-0.0016708549441286635
37014849,0.01766535399197089
37014850,0.569096989233131
37014851,-0.0014602291488774455
37014852,-0.00954823300705776
37014853,-0.8744391126092523
36991461,-0.006136273448959173
36991462,0.6201803705561773
36991463,2.4552505653881553
36991464,2.4413811740636504
36991465,3.1066865220875357
36991466,0.6198700599385418
36991467,0.0
36991468,0.6028975200638698
36991469,2.4549892086714493
36991470,2.455386538451215
36969580,0.0
36969581,-2.700757879381399e-05
37015999,-0.0014871881263189834
37016000,0.0
36972482,-1.935387137985117
36972483,-2.3113734497570135
36972484,-2.3113132720563385
36972485,0.17026982494998322
36972486,-2.3113745563758528
36972487,0.17023173827188032
36972488,0.17018747554477898
36972489,-1.7830523776938207
36973802,4.376205111500521
36973803,0.0
37016100,-0.000615051481872797
37016101,2.0321380134191713e-09
37016102,4.3759680817446025
36968620,-1.2787951338121388
36968621,0.0
37014214,-0.28935143023676346
37014215,-0.2893331455416046
37014216,-0.07761733341481403
37014217,0.030735467570202957
37008313,-1.5415827120847752
37008314,-2.624442016638909
37008315,-1.5415824728244019
37008316,-1.6855615456279338e-05
37008317,0.0
37008318,-1.5418394315319262
37008319,-1.5418362316707999
37010696,-6.490281830906497e-05
37010697,0.0
37010698,1.2284981909324415
37010699,1.228373001576898
36982533,1.4784155430839867
36982534,-2.045640831344258
36982535,-0.23631271009522337
36982536,-0.23669565220081168
36982537,-1.002172105970299
36982538,1.4784074561119063
36982539,1.4781549502887295
36982540,-1.002190895844251
36982541,1.478409767516201
36982542,-2.0456434559828764
36984973,0.0
36984974,-0.0002716240360030042
36984975,-0.3369637503590539
37008083,-0.0739341269529703
37008084,-0.05931859379996851
37008085,-0.16102656487961298
37008086,0.04545118157639649
37008087,6.032469812566887e-08
37008088,-0.07565051130950451
37008089,-0.7057081081017635
37008090,-0.7057087197175704
37008091,-0.7057033893349782
36996696,-3.619107867041066
36996697,-3.6191151993643587
36996698,0.5525241161708436
36996699,-2.9526995813801875
36996700,-3.792553726028956
36996701,-2.022623027442023
36996702,-1.1541393035432463
36996703,1.2408249544414502
36974979,1.6905232769204304e-10
36974980,-1.545855775475502e-05
36991779,-0.1150857398470464
36991780,0.10162185083839859
36991781,-1.5120344258612022
36991782,2.061876404987345
36991783,2.4383333189667695
36991784,-0.2758190890969132
36991785,0.9541742132079634
36991786,0.1657020487965326
36981550,-5.545369474214041
36981551,-2.3874051790795363
36981552,-2.9780072355642915
36981553,-2.087363626055179
36981554,-1.0926551742946202
36981555,0.8894900808722497
36981556,-0.8874758816009347
36981557,-5.395597533736407
36981558,-3.210993642075451
37016149,-0.32216673666968765
37016150,-0.3197062793187797
37016151,8.959795572138773e-09
36974389,-0.21301418513758108
36974390,0.003186420086628061
37014267,0.9427605956481244
37014268,3.4141578453272814e-10
37014269,-0.151868648303207
37014270,-1.9030156933879567
37014271,-2.420191775343028e-05
37014272,-0.7865050487540515
37014273,-1.0519746964620396
37009599,1.813576996230509
37009600,1.813298959427371
37009601,1.8136244608272563
37009602,1.813646209098522
37009603,0.0
37009604,1.813509277619474
37009605,1.8136014524836526
37009606,-0.00017141160482481155
37009607,-0.00030841812470328023
37009608,-0.0002946397634104869
36999326,2.3571452655399803
36999327,-0.894852863624692
36996073,-1.8947032227962666
36996074,0.0
36996075,-1.1903465460262694
36996076,-1.8939143882077545
36996077,-0.00010620892141588456
36996078,-1.1906258279153903
36996079,-1.8950215106609534
36989744,1.207801230738923
36989745,-0.7500734745990485
36989746,0.6218532938296164
36989747,0.7140143217587962
36989748,0.25447515026797873
36989749,0.703092755083162
36989750,1.4670589009697892
36989751,1.4669150269690618
36989752,3.703669780624253
36989753,0.189860963130279
36983669,-0.6474595624872563
36983670,-0.16661197797854754
36983671,3.4156885058928026
36983672,-0.36631051742006093
36983673,1.63510339338049
36983674,-1.491150271380107
36983675,-0.16290566518121352
36983676,0.9287209123141764
37011180,0.5253900369982603
37011181,-1.6809443067759275
37011182,0.5992335347656592
37011183,0.655533086647921
37011184,0.509984407751432
37011185,0.4954514160740473
37011186,5.019804692376056
37011187,-1.2039543580737302
37011188,-4.1425752106780465
37011189,5.140138827543751
36978937,4.442973715578731
36978938,4.766493329660037
36978939,-1.9469246876082593
36978940,2.890788713395338
36978941,-0.3508860811125487
36978942,7.50614493291134
36978943,-1.5306427540525789
36978944,1.823776988132579
36978945,4.442909678272855
36978946,3.3246555570182323
36981719,-3.089630289727154
36981720,-0.8370157572207972
36981721,5.3117930980560715
36981722,-0.9351743870464304
36981723,4.262973026255196
36981724,-2.0731127816227115
36981725,2.6731230834682975
36981726,-0.37678745003196923
