,difference
36975451,2.170726975712732
36975452,-1.4599060830660164
36975453,0.3036821767408213
36975454,0.38144399357496184
36975455,2.7583846407565247
36975456,-4.14116268709077
36991787,-0.39810730516910553
36991788,-0.4778426641499962
36991789,0.7577027514899015
36991790,0.23758765154676098
36991791,-0.2477531822448995
36991792,0.4070791932834368
36991793,-2.5320796011559423
36991794,0.40666250932049763
36991795,0.7576923290593385
36991796,-0.39811144955351807
36987706,5.7696070143720135e-12
36987707,-8.073658429452735e-05
36987708,-7.140450179576874e-06
36984387,1.8785008231607065
36984388,1.878570566297185
36984389,0.0
36973916,-4.317540753007165e-05
36973917,0.0
36973918,-2.7339880576470215
36973919,-2.7338139484021937
37014846,1.1015195629674608
37014847,0.0
37014848,-0.11216459064072559
37014849,1.101570959053502
37014850,1.6324721350247895
37014851,-0.11195396424516701
37014852,-0.19252442040465212
37014853,-0.7582784835496295
36991461,-0.006136273732408881
36991462,0.32563351307186394
36991463,2.6025054284978424
36991464,2.588636108217031
36991465,3.300963379897496
36991466,0.3253232026738573
36991467,0.16665411795413831
36991468,0.3083506623779897
36991469,2.602244161309173
36991470,2.602641470737815
36969580,0.0
36969581,-2.7008994806010378e-05
37015999,-0.0014871890875554072
37016000,0.0
36972482,-1.9223121851626672
36972483,-2.3208928748347404
36972484,-2.320832697078842
36972485,0.05705318982427343
36972486,-2.32089398141963
36972487,0.05701510321318892
36972488,0.056970840420945024
36972489,-1.7830523776938207
36973802,2.4287909393750127
36973803,0.0
37016100,0.4922749149886698
37016101,0.0
37016102,2.430771238509834
36968620,0.10957314153488085
36968621,0.0
37014214,-0.2893514307793197
37014215,-0.2893331455416046
37014216,0.47627675082760135
37014217,0.03284146852379877
37008313,-2.0037343102893175
37008314,-2.06276764695356
37008315,-2.003734070952305
37008316,1.0190930911230396
37008317,1.0191099468983396
37008318,-2.0041556127835065
37008319,-2.004152413219998
37010696,-6.490299631423113e-05
37010697,0.0
37010698,1.3290472145044703
37010699,1.32892202571675
36982533,0.47176533677804855
36982534,-2.2183956277404064
36982535,-1.3108648296477092
36982536,-1.3112477713284534
36982537,-1.0021721429642128
36982538,0.471757254527553
36982539,0.4715047515599302
36982540,-1.002190895844251
36982541,0.4717595739880238
36982542,-2.218397692485283
36984973,0.0
36984974,-0.0002716241856219881
36984975,0.09704215200873989
37008083,-0.07393414375815865
37008084,0.49146357324049106
37008085,-0.03413836665591319
37008086,0.24895362896814888
37008087,0.0
37008088,-0.07565051130513112
37008089,-0.7174900661406376
37008090,-0.7174906755736572
37008091,-0.717485346784251
36996696,-0.6568595979823897
36996697,-0.6568669292303184
36996698,-1.303606145147512
36996699,0.09194602913942163
36996700,-3.9593288009442063
36996701,-1.8215864827305666
36996702,-2.71174658567179
36996703,0.02606670225372909
36974979,1.4210854715202004e-13
36974980,-1.545855775475502e-05
36991779,-0.13942876559764272
36991780,0.189625870797272
36991781,-1.5120344258612022
36991782,2.1797443063456754
36991783,2.294520235874515
36991784,0.6026881324378621
36991785,1.3879548231035272
36991786,1.4511141011567474
36981550,-3.024345078114095
36981551,-0.9093710795478671
36981552,-0.9695778245987867
36981553,-1.650409737949488
36981554,1.457710316495067
36981555,0.0
36981556,-1.2917385786261804
36981557,-3.1689426488652117
36981558,-1.3323236773718037
37016149,-0.32216675870586187
37016150,-0.31970627931125684
37016151,1.0521361559767684e-11
36974389,0.8300613238311172
36974390,0.0
37014267,0.5939190978322841
37014268,0.0
37014269,-0.1518686482997964
37014270,1.4231334221832412
37014271,-2.420239050593409e-05
37014272,2.001027060192925
37014273,-0.5367784699409981
37009599,1.356092285599459
37009600,1.3558142506558397
37009601,1.356139750929728
37009602,1.356161499455311
37009603,0.0
37009604,1.3560245672137228
37009605,1.3561167422469111
37009606,-0.00017141236425288753
37009607,-0.0003084187614348366
37009608,-0.00029464006890123073
36999326,2.365339371035496
36999327,-0.894852863624692
36996073,-0.6933019926541348
36996074,5.329070518200751e-13
36996075,-0.00025702615114653327
36996076,-0.6925131577739592
36996077,-0.00010620942339301109
36996078,-0.0005363079080780153
36996079,-0.6936202805255078
36989744,1.1461741828897658
36989745,-0.7500734745990485
36989746,1.947040260933278
36989747,2.0604411883044094
36989748,0.16156912950354752
36989749,2.0577099348957404
36989750,2.855141276642435
36989751,2.8549974025544884
36989752,4.771968028603027
36989753,1.5099935606038954
36983669,-0.2441716160642926
36983670,-0.15399505999700125
36983671,1.508807864066867
36983672,-0.36631051742006093
36983673,0.11636126964209836
36983674,-2.2789946648784394
36983675,1.0391445885414186
36983676,-1.4882873427878138
37011180,0.1542569071991977
37011181,-1.529942046319718
37011182,0.2533180662102552
37011183,0.09504763313407238
37011184,0.14198015643961526
37011185,-0.09693126755720982
37011186,2.7471230731055414
37011187,-1.0240551861285496
37011188,-4.208617017138749
37011189,2.6427828006662253
36978937,1.3189420924080224
36978938,2.011000798628288
36978939,-3.743868703808417
36978940,1.7406318836045926
36978941,-0.3508860811125487
36978942,3.9788072447782383
36978943,-0.9435945856143064
36978944,1.715185522175446
36978945,1.318878055367378
36978946,0.5456530122898045
36981719,-2.300623441327275
36981720,-0.6551938445576724
36981721,4.298147105164844
36981722,-0.9044401168944347
36981723,4.219763312863904
36981724,-1.2841059330152262
36981725,2.375276238433642
36981726,0.7005547377154073
36981727,1.3643246569091758
36981728,0.0
36975564,-1.9152705154847354
36975565,-4.623634033023279
36975566,2.202225161818319
36975567,0.7086227593823082
