,difference
36975451,2.8994482145723595
36975452,-1.4599060830660164
36975453,0.6409249946826492
36975454,0.8210548616642939
36975455,2.5043191980489468
36975456,-3.5012668054696547
36991787,-0.3981073050180832
36991788,-0.3933412850875371
36991789,0.05675609294126005
36991790,-0.5822975105770265
36991791,-0.22843478407822815
36991792,0.1457784134667559
36991793,-0.919786556859437
36991794,0.14536173134855446
36991795,0.056745670284851
36991796,-0.39811144955456257
36987706,0.0
36987707,-8.073649926032544e-05
36987708,-7.14036578131072e-06
36984387,1.7028259910385373
36984388,1.7028957348676244
36984389,0.0
36973916,-4.3175287231633774e-05
36973917,0.0
36973918,-2.136342356751726
36973919,-2.1361682473319448
37014846,1.028081785410972
37014847,0.18321822999098458
37014848,0.22452014481693183
37014849,1.0281331812790349
37014850,1.5760237737743914
37014851,0.22473077154760546
37014852,-0.04149985481362961
37014853,-0.8744391126092523
36991461,-0.006136273732408881
36991462,0.22833717125772068
36991463,2.883656572513928
36991464,2.869787349411311
36991465,3.578487770841136
36991466,0.2280268604356479
36991467,1.3649525953951525e-10
36991468,0.2110543200756041
36991469,2.8833953822619236
36991470,2.8837926453950615
36969580,8.101608273136662e-11
36969581,-2.7008994948118925e-05
37015999,-0.001487189088948071
37016000,1.1623768614299479e-10
36972482,-1.6145996817378343
36972483,-2.1597649328908095
36972484,-2.159704754956273
36972485,5.938005642747157e-11
36972486,-2.159766039266464
36972487,-3.808660164850153e-05
36972488,-8.234940469264984e-05
36972489,-1.7701414922399952
36973802,1.8075861854399875
36973803,0.0
37016100,-0.000615051481872797
37016101,6.470258995250333e-09
37016102,1.7730780313474952
36968620,0.2581236113744154
36968621,0.0
37014214,-0.28935143074700775
37014215,-0.2893331455416046
37014216,0.5448882364870453
37014217,0.030445636206854587
37008313,-1.462894762954467
37008314,-2.3434225806328652
37008315,-1.4628945230202457
37008316,-1.6855752278388536e-05
37008317,0.0
37008318,-1.463208007131978
37008319,-1.4632048079407727
37010696,-6.49028984485156e-05
37010697,0.0
37010698,1.0812143979460576
37010699,1.081089208891794
36982533,0.5705575120757622
36982534,-1.219726556047842
36982535,-1.4832581605296582
36982536,-1.4836411016090878
36982537,0.05740793665809463
36982538,0.5705494308318997
36982539,0.5702969266995588
36982540,0.057389181923806376
36982541,0.5705517498607406
36982542,-1.2197286212341147
36984973,2.9545077495640726e-10
36984974,-0.0002716241870075464
36984975,0.33799259764819567
37008083,-0.07393414232089413
37008084,0.42232562802986706
37008085,-0.3658707909227843
37008086,-0.512769961092232
37008087,0.0
37008088,-0.07565051084728225
37008089,0.13895857052914096
37008090,0.13895796314439224
37008091,0.13896328992068163
36996696,0.944892926960847
36996697,0.9448855978733377
36996698,1.2985246777101338
