,difference
36975451,0.7517297579641138
36975452,-1.4599060830660164
36975453,0.16231013571662345
36975454,0.04090141865370356
36975455,2.254398914142996
36975456,-5.181383874089391
36991787,-0.39810730516910553
36991788,0.45335918616923543
36991789,1.1295391770634975
36991790,0.2095548732844641
36991791,-0.1959611015636611
36991792,0.7916375015485553
36991793,-2.972539061304282
36991794,0.7912208175832678
36991795,1.1295287546326502
36991796,-0.39811144955430766
36987706,0.0
36987707,-8.073658627516522e-05
36987708,-7.1404501049698865e-06
36984387,1.1107846169355184
36984388,1.1108543600695384
36984389,0.0
36973916,-4.3175415800789096e-05
36973917,0.0
36973918,-1.6610586392481501
36973919,-1.6608845300049442
37014846,0.47721631918984286
37014847,0.0
37014848,-0.455783164930331
37014849,0.4772677152722693
37014850,1.3700189580865185
37014851,-0.45557253852580715
37014852,0.07119662960288053
37014853,-0.04815933160957542
36991461,-0.006136273732408881
36991462,0.11270704787591512
36991463,3.0502086022160455
36991464,3.03633928194094
36991465,3.7093216751968043
36991466,0.11239673748067958
36991467,1.4495071809506044e-12
36991468,0.09542419718519568
36991469,3.0499473350373876
36991470,3.0503446444625553
36969580,3.275602011854062e-12
36969581,-2.7008994948118925e-05
37015999,-0.001487189088948071
37016000,2.4229507289419416e-12
36972482,0.38564401479930766
36972483,-2.0071305624230753
36972484,-2.007070384666232
36972485,1.6681145429333277
36972486,-2.0071316690094747
36972487,1.6680764563220905
36972488,1.6680321935296192
36972489,-1.7830523776938207
36973802,2.531851862051056
36973803,0.0
37016100,-0.000615051475222117
37016101,0.0
37016102,2.5063929526634467
36968620,0.25788251851351873
36968621,0.0
37013461,-7.411452361338888e-05
37013462,-0.22616435480898645
37013463,-5.168474069705553e-05
37013464,0.0
37013465,-0.8558834173318246
37013466,-0.8558948411632628
37013467,-0.8558847696133398
37013468,-0.8558859426050844
37014214,-0.28935143077978864
37014215,-0.2893331455413879
37014216,1.2304031651810128
37014217,0.012370515990660635
37008313,-1.2894242817145454
37008314,-2.147011544613857
37008315,-1.2894240423671306
37008316,-1.6855774447321892e-05
37008317,1.3145040611561853e-13
37008318,-1.2897403676239598
37008319,-1.2897371680647574
37010696,-6.490299623607143e-05
37010697,0.0
37010698,1.1600528719763634
37010699,1.1599276831888696
36982533,1.376786599849531
36982534,-1.121583466650577
36982535,-1.4832581605284147
36982536,-1.4836411022115499
36982537,0.5205042489924665
36982538,1.376778517601835
36982539,1.3765260146288227
36982540,0.5204854961208696
36982541,1.3767808370583268
36982542,-1.121585531393258
36984973,2.1316282072803006e-13
36984974,-0.0002716241870075464
36984975,0.605932931164979
37008083,-0.07393414375736995
37008084,-1.1699670421991897
37008085,-0.1497313217331282
37008086,-0.29663049257599994
37008087,5.7696070143720135e-12
37008088,-0.07565051130950451
37008089,-0.0290096977628167
37008090,-0.029010307195065366
37008091,-0.029004978403591508
36996696,1.1735530236698821
36996697,1.1735456924092205
36996698,0.619589627796131
36996699,2.3901176510024698
36996700,-1.4643604869051217
36996701,0.2647761239893498
36996702,-0.12881157486597772
36996703,0.0
36974979,0.0
36974980,-1.5458557598435618e-05
36991779,-0.904802393275915
36991780,-0.31912576780150914
36991781,-1.5120344258612022
36991782,0.5822197191671421
36991783,1.0919619481120364
36991784,0.6523766223145842
36991785,1.2937009494067269
36991786,1.2149477192274318
36981550,-3.6086368313618067
36981551,-1.8317283847949568
36981552,-2.715917860741712
36981553,-1.987992907903589
36981554,0.1518124657695381
36981555,0.0
36981556,-0.4584543020583709
36981557,-3.801511447932114
36981558,-2.2065109885113117
37016149,-0.32216675870586187
37016150,-0.3197062793156533
37016151,0.004521627135929407
37013076,-1.3953239540569484
37013077,-2.235059794744558
37013078,2.8833796338298043
37013079,-0.7702578149902024
37013080,-1.3950944400745868
37013081,-1.230808502180878
37013082,3.033516401249244
37013083,-0.7697534529432346
37013084,-1.1755576704154578
37008698,4.0601728819351735
37008699,-0.30664728848663003
37008700,-2.757774157100357
37008701,0.40177035755158386
37008702,-0.731426938986516
37008703,0.40179065922008306
37008704,-2.9538245766503763
37008705,4.06067041121706
36974389,0.857405165320559
36974390,0.0
37014267,0.4490141385261257
37014268,4.424016708526324e-12
37014269,-0.15186864830155233
37014270,1.3489474390496579
37014271,-2.4202396161854267e-05
37014272,1.4261803200177496
37014273,0.22547802022664243
37009599,0.965438228775259
37009600,0.9651601938297425
37009601,0.9654856940958005
37009602,0.9655074426318322
37009603,0.0
37009604,0.9653705103903114
37009605,0.9654626854253685
37009606,-0.0001714123644553922
37009607,-0.0003084187624544654
37009608,-0.00029464007716129004
36999326,2.3042091335909163
36999327,-0.894852863624692
36996073,-3.232153694731494
36996074,0.0
36996075,-2.5265237242280634
36996076,-3.231364859854999
36996077,-0.00010620942262562494
36996078,-2.526803005982515
36996079,-3.232471982603556
36989744,-0.18930448535826372
36989745,-0.7500734745990485
36989746,-0.049613530391035
36989747,0.6977445797769235
36989748,0.20163227938260775
36989749,0.6670046762914978
36989750,1.015487292066389
36989751,1.0153434179792455
36989752,2.6734176361958575
36989753,0.1612289113133798
36983669,-0.11717093067323958
36983670,0.6133332616407756
36983671,1.9010656386564477
36983672,0.2211843934822184
36983673,0.05081076962630959
36983674,-2.8945510927587748
36983675,1.2766561432805261
36983676,-0.1028365880899571
37011180,0.5805112153672667
37011181,-0.51994179496279
37011182,0.6952999961591217
37011183,0.15485575249164185
37011184,0.5774549686218506
37011185,-0.05170042386583873
37011186,3.112812920187423
37011187,-1.533027104451321
37011188,2.2563479123910497
37011189,2.492514983215358
36978937,3.5941663441179728
36978938,3.917959312428266
36978939,0.8967467933122606
36978940,3.1649943579879576
