,difference
36975451,3.5412316508413824
36975452,-1.4599060830660164
36975453,0.6489133864184424
36975454,0.8609742942750103
36975455,2.784369086962016
36975456,-3.1099469794366854
36991787,-0.39810730516806814
36991788,-2.419785172993489
36991789,0.18742917859051644
36991790,-0.31189804355940254
36991791,-1.7661449964246394
36991792,0.13939374188050735
36991793,-3.4157623283639857
36991794,0.13897705791668713
36991795,0.18741875616079184
36991796,-0.39811144955456257
36987706,1.7763568394002505e-13
36987707,-8.073658648299897e-05
36987708,-7.140450179576874e-06
36984387,4.573032943120808
36984388,4.5731026862598725
36984389,0.0
36973916,-4.317541606724262e-05
36973917,1.142197447734361e-12
36973918,-1.411004698714983
36973919,-1.410830589472905
37014846,0.14055332074853766
37014847,0.0
37014848,-0.030653924753153206
37014849,0.14060471683206544
37014850,0.92750193918382
37014851,-0.030443298355162796
37014852,0.2758578780569252
37014853,-0.5273612303753943
36991461,-0.006136273732408881
36991462,0.18089189948732098
36991463,1.3152016960567607
36991464,1.3013323757841988
36991465,1.9884953573808275
36991466,0.18058158908991118
36991467,0.1070102141682554
36991468,0.1636090487995574
36991469,1.3149404288781739
36991470,1.31533773830229
36969580,1.2434497875801753e-13
36969581,-2.7008994948118925e-05
37015999,-0.001487189088948071
37016000,1.4432899320127035e-12
36972482,-1.1258883699708662
36972483,-1.7150482524809298
36972484,-1.7149880747245696
36972485,0.13977266946443123
36972486,-1.7150493590674607
36972487,0.13973458285434148
36972488,0.1396903200590529
36972489,-1.7830523776938207
36973802,1.7198357572386698
36973803,0.0
37016100,-0.000615051466809291
37016101,0.0
37016102,1.6883923930114122
36968620,-0.5067654944168538
36968621,0.0
37013461,-7.411452742189795e-05
37013462,-0.22616435478829544
37013463,-5.1684783386463096e-05
37013464,0.0
37013465,0.2810672394041376
37013466,0.28105581556673087
37013467,0.28106588711881386
37013468,0.2810647141487266
37014214,-0.2893514307775362
37014215,-0.2893331455416046
37014216,-0.0776173451407196
37014217,0.018428076566902263
37008313,-1.4431419810541382
37008314,-2.336431606964757
37008315,-1.4431417417006625
37008316,-1.6855774447321892e-05
37008317,1.8545165403338615e-12
37008318,-1.44342519010201
37008319,-1.4434219905427437
37010696,-6.4902997110039e-05
37010697,1.659117287999834e-12
37010698,1.0597683415928536
37010699,1.0596431528049202
36982533,1.2458865725588169
36982534,-1.2875565425028235
36982535,-0.16827403479825875
36982536,-0.1686569764795891
36982537,-1.0021721429631718
36982538,1.245878490306552
36982539,1.2456259873368296
36982540,-1.002190895844251
36982541,1.245880809765623
36982542,-1.2875586072542653
36984973,0.011675430762945638
36984974,0.011403806574618258
36984975,-1.2772064639721066
37008083,-0.07393414372072016
37008084,0.3748394842500673
37008085,-0.38395664411265784
37008086,-0.5308558149519129
37008087,0.0
37008088,-0.07565051130600153
37008089,0.18500727223004532
37008090,0.18500666281953926
37008091,0.1850119917462436
36996696,-0.43009183062787315
36996697,-0.4300991618803778
36996698,3.0361319532179323
36996699,1.066888322414286
36996700,-2.0303932530698603
36996701,-1.3468691310395116
36996702,-0.7407151568172878
36996703,0.0
36974979,0.0
36974980,-1.545855772633331e-05
36991779,0.40236321209594905
36991780,0.030185549050472105
36991781,-1.5120344258612022
36991782,2.0386930160832435
