,difference
36975451,-11.925497559861128
36975452,-1.4599059763735625
36975453,0.43745371911268194
36975454,0.8455383829683853
36975455,-3.047491383925717
36975456,-11.675634623039514
36991787,-0.3981073047071817
36991788,-2.381989052204659
36991789,-0.19691490685596236
36991790,-0.4631401015014873
36991791,-1.594793227223442
36991792,0.6906316167336142
36991793,-4.589471479893854
36991794,0.6902149329566765
36991795,-0.19692532872198054
36991796,-0.39811144955456257
36987706,1.1009460010313887e-10
36987707,-8.073658682405949e-05
36987708,-7.140353033285862e-06
36984387,-0.7672751241163382
36984388,-0.767205348267936
36984389,0.0
36973916,-4.317304082945839e-05
36973917,5.328040231233899e-09
36973918,-5.2887860461633736
36973919,-5.288611943717115
37014846,0.09648846587631965
37014847,0.04927646981354883
37014848,0.36223186522516926
37014849,0.09653986238247825
37014850,0.8673369846937575
37014851,0.36244249273550366
37014852,0.13604897411298822
37014853,-0.8744391126092523
36991461,0.34393566496808603
36991462,-0.33625202606356197
36991463,-0.59245049522724
36991464,-0.6063198153549081
36991465,-0.49007466002015576
36991466,-0.33656233712693506
36991467,0.3500719398560648
36991468,-0.3535348771711426
36991469,-0.5927117616799364
36991470,-0.5923144526966553
36969580,9.001510647976829e-11
36969581,-2.7008994948118925e-05
37015999,-0.0014871834967067343
37016000,0.0
36972482,-5.688825579117891
36972483,-2.4698602945321824
36972484,-2.4698001162464496
36972485,0.0
36972486,-2.469861400199709
36972487,-3.808630267054802e-05
36972488,-8.234916208849086e-05
36972489,-1.5563158664833014
36973802,-1.1153964707627892
36973803,0.014610575865759756
37016100,-0.0006150513136446989
37016101,2.3250947833730606e-09
37016102,-1.0035076274070889
36968620,-0.566178640683745
36968621,0.0
37013461,0.408480666491414
37013462,0.18239042543740425
37013463,0.40850309543645835
37013464,0.4085547799714391
37013465,-2.650737169622573
37013466,-2.6507485947804525
37013467,-2.650738523215125
37013468,-2.6387456962945635
37014214,-0.28935143077978864
37014215,-0.2893331447033187
37014216,-0.07761733223488321
37014217,0.026376882163413384
37008313,-1.4382200988525913
37008314,-2.258929653041582
37008315,-1.4382198593648416
37008316,-1.6855774447321892e-05
37008317,2.326867587498782e-10
37008318,-1.4385372964484393
37008319,-1.4385340969075924
37010696,-6.4902997110039e-05
37010697,4.5434500606233996e-10
37010698,-0.30777047732100193
37010699,-0.30789566586216033
36982533,1.4584166763143003e-08
36982534,-2.250402060915576
36982535,-0.22958180181658605
36982536,-0.22996474352219565
