,difference
36975451,2.8759489471204205
36975452,-1.4599060830660164
36975453,0.6304966735622202
36975454,0.8066353561089841
36975455,2.2532511466457805
36975456,-3.234729725400001
36991787,-0.39810730516892434
36991788,-1.9599810938946902
36991789,0.21215211963336422
36991790,-0.5768372341724284
36991791,-0.6200840372106455
36991792,0.4047510396624556
36991793,-2.821661224527281
36991794,0.404334355697582
36991795,0.2121416972031387
36991796,-0.39811144955456257
36987706,1.7763568394002505e-13
36987707,-8.073658682405949e-05
36987708,-7.140450048126468e-06
36984387,2.1687610865100453
36984388,2.168830829654496
36984389,0.0
36973916,-4.317541606724262e-05
36973917,7.105427357601002e-13
36973918,-1.3190906881508013
36973919,-1.3189165789080803
37014846,1.0234111133905266
37014847,0.12932619789613042
37014848,-0.8781673266050909
37014849,1.0234625094724557
37014850,1.7348378051155322
37014851,-0.8779567002053419
37014852,-0.07433822126288447
37014853,-0.8744391126092523
36991461,-0.006136273732408881
36991462,0.05743119443442879
36991463,2.3855883542456127
36991464,2.3717190339712317
36991465,3.0293778252776633
36991466,0.05712088404186488
36991467,0.11424606587169706
36991468,0.040148343744021986
36991469,2.385327087065278
36991470,2.385724396499782
36969580,2.3803181647963356e-13
36969581,-2.7008994948118925e-05
37015999,-0.001487189088948071
37016000,3.552713678800501e-14
36972482,-2.0008913403227138
36972483,-2.1564788172674887
36972484,-2.1564186395099907
36972485,0.0
36972486,-2.1564799238532175
36972487,-3.808661130966229e-05
36972488,-8.234940457718665e-05
36972489,-1.5218683173325736
36973802,1.899016940760248
36973803,0.0
37016100,-0.000615051481872797
37016101,3.0411229090532288e-12
37016102,1.8372057499543644
36968620,-0.4222280637428746
36968621,0.0
37014214,-0.289351430779611
37014215,-0.2893331455416046
37014216,0.7421264718367464
37014217,0.02729454519523422
37008313,-1.5782078745324597
37008314,-2.688713238988181
37008315,-1.5782076351824301
37008316,-1.6855773909973948e-05
37008317,0.0
37008318,-1.5785021124895362
37008319,-1.5784989129307414
37010696,-6.4902997110039e-05
37010697,4.565237077258644e-13
37010698,1.066031799283425
37010699,1.0659066104982715
36982533,1.0409451078885468e-12
36982534,-1.120966370446169
36982535,-0.9595377535005305
36982536,-0.95992069518406
36982537,-0.666023332011104
36982538,-8.08225005854979e-06
36982539,-0.0002605852200936454
36982540,-0.6660420848869606
36982541,-5.762791261076927e-06
36982542,-1.1209684351908287
36984973,5.755396159656812e-13
36984974,-0.0002716241870075464
36984975,0.011457181345548406
37008083,-0.07393414375837892
37008084,0.49563688468739997
37008085,-0.35945323559022313
37008086,-0.5063524064164966
37008087,8.100187187665142e-13
37008088,-0.0756505113022996
37008089,0.23555925035952896
37008090,0.2355586409200896
37008091,0.2355639697135956
36996696,1.2667115753690155
36996697,1.2667042441131002
36996698,2.3352867154254113
36996699,2.7256080806750447
36996700,-0.04497170368341585
36996701,0.04761228660828465
36996702,-0.4277227668331989
36996703,0.0
36974979,0.0
36974980,-1.54585569447363e-05
36991779,-0.14769996572096034
36991780,0.8083308202136408
36991781,-0.7731290562935698
36991782,0.9395098468197887
36991783,0.0
36991784,0.33541097231679373
36991785,1.692143182419457
36991786,2.0541340270226556
36981550,-3.4970189567101784
36981551,1.043139327852117
36981552,-0.14221025285308997
36981553,-1.414826158574499
36981554,3.155746801479353
36981555,0.0
36981556,0.9945660452451079
36981557,-4.016521005850848
36981558,0.44702735872809285
37016149,-0.32216675870586187
37016150,-0.31970627931779916
37016151,4.206412995699793e-12
36974389,0.5523329902970486
36974390,0.0
37014267,0.4176411947555181
37014268,5.915268275202834e-12
37014269,-0.151868648303207
37014270,3.35741876757408
37014271,-2.4202391868399786e-05
37014272,2.813859004339905
37014273,0.42562492656689344
37009599,0.9423407888287656
37009600,0.9420627538749962
37009601,0.9423882541427595
37009602,0.9424100026771818
37009603,1.7763568394002505e-14
37009604,0.9422730704349753
37009605,0.94236524546832
37009606,-0.00017141236457973719
37009607,-0.0003084187628417112
37009608,-0.0002946400781098646
36999326,1.4635093808593993
36999327,-0.894852863624692
36996073,-0.5517564788866807
36996074,0.0
36996075,0.07002637904914621
36996076,-0.5509676440078195
36996077,-0.0001062094232651134
36996078,0.069747097294659
36996079,-0.552074766758949
36989744,1.1272651788657964
36989745,-0.7500734745990485
36989746,1.8354137581388947
36989747,0.8867679300161306
36989748,0.1899729344530119
36989749,0.8909196530968906
