,difference
36975451,1.8222887538288148
36975452,-2.1041521446735345
36975453,-0.14984967996819876
36975454,
36975455,1.8871252419642275
36975456,-4.414242526906605
36991787,-0.7466097478512754
36991788,-0.8769134720360423
36991789,4.246543777597367e-05
36991790,-0.850093662322001
36991791,-0.6919847501992216
36991792,
36991793,-2.877062986374801
36991794,-0.0046608506033472
36991795,-0.0067677015478153635
36991796,-0.7458675313431353
36987706,
36987707,0.0018656877041074438
36987708,-0.002063739848516377
36984387,1.9574235532647322
36984388,1.9591853452717487
36984389,
36973916,-0.0008359534563808779
36973917,
36973918,-0.9954470711439498
36973919,-0.996254223382806
37014846,0.8077273452067537
37014847,
37014848,-1.2071586054536922
37014849,0.8070842882201852
37014850,1.4980947853115936
37014851,-1.199740655034148
37014852,-0.4021014977982844
37014853,-1.091617278116054
36991461,-0.1324561392039243
36991462,-0.03817472504404407
36991463,1.8280503602917975
36991464,1.8301835569921394
36991465,2.5631803053192073
36991466,-0.03447103445786581
36991467,
36991468,-0.060543400870841424
36991469,1.8296504086818999
36991470,1.831021885764983
36969580,
36969581,0.017174065909344893
37015999,-0.011304048259162869
37016000,
36972482,-3.3373475813674993
36972483,-4.027328659239959
36972484,-4.019331583400852
36972485,
36972486,-4.021928036427063
36972487,-8.427516597819817e-05
36972488,-0.0007281214569871963
36972489,-2.1157627372991143
36973802,1.6830240939825956
36973803,
37016100,0.17843348685246951
37016101,
37016102,1.8345267571046122
36968620,0.9998391276044529
36968621,
37013461,-0.016771854862099644
37013462,-0.41329771970100637
37013463,-0.008609208129314538
37013464,
37013465,-2.8394249342480293
37013466,-2.83883242953641
37013467,-2.8335489313664652
37013468,-2.8398862949222234
37014214,-0.33488854600266116
37014215,-0.3363857860310828
37014216,0.7058130585575366
37014217,
37008313,-1.4615299644866369
37008314,-2.3401533575828104
37008315,-1.4591165175859686
37008316,-0.00012566304419081575
37008317,
37008318,-1.4618744195807487
37008319,-1.463428908999397
37010696,0.0001907043007705056
37010697,
37010698,0.9277503745760622
37010699,0.9275316998769014
36982533,
36982534,-1.1452631772978492
36982535,-1.3576533357864378
36982536,-1.3584208251274816
36982537,-0.3234514118167269
36982538,0.0013515311732916757
36982539,0.0008198316487693091
36982540,-0.32537065468231674
36982541,-0.0015327847274662076
36982542,-1.1453308768323467
36984973,
36984974,0.00021981815224592083
36984975,-0.40020282420843856
37008083,-0.06511103478646874
37008084,0.5135578168183201
37008085,-0.34899174440398895
37008086,-0.49200652335423456
37008087,
37008088,-0.05565205972396825
37008089,0.24106888514839397
37008090,0.24121594903073174
37008091,0.24125180987022077
36996696,0.7023000813024396
36996697,0.7198478039103406
36996698,1.6620180848852328
36996699,1.911785554810706
36996700,-1.2054328078415892
36996701,-0.30768032622864894
36996702,-1.4428891624389735
36996703,
36974979,
36974980,0.000997223661077129
36991779,-0.4776015434842549
36991780,0.11145131424544275
36991781,-1.7038291863595418
36991782,0.7869965081097945
36991783,
36991784,-0.21387439584408696
36991785,0.5929925663151181
36991786,1.2798450290864167
36981550,-4.174309654757593
36981551,0.3494791675578881
36981552,-0.9457916437017388
36981553,-1.9162350107034456
36981554,2.3246877867684077
36981555,
36981556,0.1927794730530934
36981557,-4.596795309997901
36981558,-0.5512883531268642
37016149,-0.2984280241750241
37016150,-0.24764060302204882
37016151,
37013076,-2.0635977725990813
37013077,-3.1436751807845837
37013078,-0.15033356361186634
37013079,-3.870004464582138
37013080,-2.065041495599644
37013081,-3.063658216364246
37013082,
37013083,-3.8691287886649093
37013084,-1.8294057148262652
37008698,0.001324871793173088
37008699,-2.1101708237967784
37008700,-4.468774163990588
37008701,-3.769670717609557
37008702,-2.702192660929086
37008703,-3.766412576459885
37008704,-3.3488985568542944
37008705,
36974389,0.44239408287676074
36974390,
37014267,0.20779649507221087
37014268,
37014269,-0.18657788873148462
37014270,2.545472159988167
37014271,0.0015575189827785607
37014272,1.3951482116929412
37014273,0.4487680614316094
37009599,0.9982255523925971
37009600,0.9866332704809437
37009601,0.9876279021565146
37009602,0.9878871720890565
37009603,
37009604,0.9876127277799149
37009605,0.9868665097531384
37009606,-0.0032843013330605686
37009607,-0.006956099542684058
37009608,-0.007756948702049016
36999326,
36999327,-2.800055426573927
36996073,-1.0245170937398456
36996074,
36996075,-0.3638798479082226
36996076,-1.0246721605714697
36996077,0.0007861081290982952
36996078,-0.36671743589802475
36996079,-1.0249538839371795
36989744,0.834297661297768
36989745,-0.9265818733375877
36989746,0.7751309873976755
36989747,-0.0907556125960749
36989748,
36989749,-0.085466129522759
36989750,1.3325815148431577
36989751,1.3262281567483658
36989752,3.8423533101167084
36989753,-0.5977356643609131
36983669,2.536034321534885
36983670,-0.6150666942361056
36983671,
36983672,-1.0327337876855438
36983673,1.4829614258138974
36983674,-1.679770783427415
36983675,0.3810085441329676
36983676,0.6789047260984233
37011180,-0.12488202547348237
37011181,-1.4986949412457875
37011182,
37011183,-0.6837202572458523
37011184,-0.14494604868065153
37011185,-0.894294799527529
37011186,1.9906667369468778
37011187,-1.0321945423880834
37011188,1.0121063858758816
37011189,1.3096324091860083
36978937,-1.6232144286068717
36978938,-0.0017734852036568327
36978939,-2.7159168945569547
36978940,
36978941,-2.646186433032028
36978942,2.097071714340558
36978943,-3.6734290036710604
36978944,0.048748365176919606
36978945,-1.623863842969584
36978946,-2.1748289019303684
36981719,1.9132114044623734
36981720,-0.1608422282911306
36981721,5.833148480369914
36981722,0.9998303842627649
36981723,3.296808623599418
36981724,-0.072674634869486
36981725,5.089457412130514
36981726,1.3623781473836516
36981727,2.427171768393464
36981728,
36975564,-3.141064411545642
36975565,-6.328154590133408
36975566,1.6622050818432967
