,difference
36975451,1.9477030222097085
36975452,-1.4599060830660164
36975453,0.46848114070346014
36975454,0.665387129633217
36975455,2.5617737662542766
36975456,-3.8566185018627266
36991787,-0.12043901143041325
36991788,-0.19504510671854725
36991789,0.2808520479030836
36991790,-0.6403299560770392
36991791,-0.030138604948053427
36991792,0.6944570195279809
36991793,-2.221622860747571
36991794,0.6940403355634839
36991795,0.28084162547182423
36991796,-0.1204431558160497
36987706,2.8066438062523957e-13
36987707,-8.073658682405949e-05
36987708,-7.140449470810495e-06
36984387,0.8448847240667021
36984388,0.8449544672046727
36984389,0.0
36973916,-4.3175411221341164e-05
36973917,5.755396159656812e-13
36973918,-5.288786052958386
36973919,-5.288611943717115
37014846,0.31286536199204207
37014847,0.21956386296257335
37014848,-0.7043012605027457
37014849,0.3129167580793606
37014850,1.052114272755169
37014851,-0.7040906341011706
37014852,0.0995278448408854
37014853,-0.8744391126092523
36991461,0.018743919671067033
36991462,-0.34622927114833146
36991463,5.8295117064282636
36991464,5.81564238615438
36991465,6.079726438581687
36991466,-0.34653958154150644
36991467,0.0248801934128835
36991468,-0.3635121218360524
36991469,5.829250439248938
36991470,5.8296477486734375
36969580,3.4994229736184934e-13
36969581,-2.7008994948118925e-05
37015999,-0.0014871890886603012
37016000,0.0
36972482,-1.4971875802702996
36972483,-2.357466070313277
36972484,-2.357405892555913
36972485,0.37152699926675115
36972486,-2.357467176898424
36972487,0.37148891265463413
36972488,0.37144464986158665
36972489,-1.7830523776938207
36973802,2.778265225893392
36973803,0.0
37016100,-0.0006150514593059597
37016101,0.0
37016102,2.631678702750037
36968620,1.0702162763045386
36968621,0.0
37013461,-7.411449888650168e-05
37013462,0.09700751015481046
37013463,-5.168479401618242e-05
37013464,3.979039320256561e-13
37013465,-2.64939800638831
37013466,-2.6494094302222493
37013467,-2.6493993586141755
37013468,-2.649400531601202
37014214,-0.28935143077978864
37014215,-0.289333145541498
37014216,0.6181797140811458
37014217,0.028492106621708757
37008313,-1.3089331084776412
37008314,-2.0924579193831665
37008315,-1.3089328691268438
37008316,-1.6855774447321892e-05
37008317,6.985523270941485e-13
37008318,-1.3092259663725772
37008319,-1.309222766814226
37010696,-6.4902997110039e-05
37010697,5.32018873400375e-13
37010698,1.0465563292918887
37010699,1.0464311405022553
36982533,2.842170943040401e-14
36982534,-1.4187541430607133
36982535,-0.05092491446870184
36982536,-0.05130785615033773
36982537,-1.002172142965719
36982538,-8.082245813056943e-06
36982539,-0.00026058521974903215
36982540,-1.0021908958428654
36982541,-5.762788532592822e-06
36982542,-1.4187562078007296
36984973,1.8403056856186595e-12
36984974,-0.0002716241870075464
36984975,4.273530808550767
37008083,-0.07393414375364671
37008084,0.09173467003958535
37008085,-0.36261855679417465
37008086,-0.509517727624754
37008087,5.286437954055145e-12
37008088,-0.07565051130950451
37008089,-0.016897839389514502
37008090,-0.01689844883178182
37008091,-0.01689312003641419
36996696,-0.645841816038569
36996697,-0.6458491472923242
36996698,2.377006193125453
36996699,1.1075885514283073
36996700,-0.5934529087868441
36996701,-1.7814298226959977
36996702,-1.7642894545348327
36996703,0.0
36974979,0.0
36974980,-1.5458557470537926e-05
36991779,0.8499443163293279
36991780,-4.092200807573349
36991781,-1.5120344258612022
36991782,2.8823487894648423
36991783,1.643275767053936
36991784,-0.257414180998893
36991785,0.9619912533134709
36991786,2.678512385226938
36981550,-5.814496379271247
36981551,-1.3281028724792918
36981552,-2.511201025271845
36981553,-2.166099544392921
36981554,-0.6018804753683753
36981555,0.0
36981556,-0.777433246351535
36981557,-5.794945087348765
36981558,-2.9781644259115296
37016149,-0.32216675864459887
37016150,-0.31970627924879125
37016151,0.0
37013076,-0.9581322824322456
