,difference
36975451,1.9585906889486466
36975452,-2.3934555915869424
36975453,-0.18406983817688172
36975454,
36975455,1.5349066286209876
36975456,-4.2766626958174925
36991787,-0.7764118438947882
36991788,-0.9111481727227986
36991789,-0.06592294819013134
36991790,-0.9148295074958313
36991791,-0.7410450292302642
36991792,
36991793,-3.01945653185167
36991794,0.002692276180221498
36991795,-0.05979375636471573
36991796,-0.7715469751680288
36987706,
36987707,-0.001992377039458759
36987708,-0.0015488957678275739
36984387,1.6592771489185623
36984388,1.6565580716016939
36984389,
36973916,-0.029908953647478143
36973917,
36973918,-1.6982266737080423
36973919,-1.7013638897629093
37014846,0.9082166760934172
37014847,
37014848,-1.1112733419129306
37014849,0.9090293282456869
37014850,1.532974563915655
37014851,-1.105134557124611
37014852,-0.3015742835429762
37014853,-1.0621347427521286
36991461,-0.12834479194673065
36991462,0.04188725776423041
36991463,2.812135503385278
36991464,2.799827618796243
36991465,3.810477931823641
36991466,0.04645988049443872
36991467,
36991468,0.04027177365206569
36991469,2.8092424531752016
36991470,2.8364328439810294
36969580,
36969581,0.007084178077048975
37015999,0.011136770168794996
37016000,
36972482,-3.2157103239274867
36972483,-3.707201223621705
36972484,-3.706328127078901
36972485,
36972486,-3.709053170348527
36972487,-7.504695201321354e-05
36972488,-5.867914789359219e-05
36972489,-2.094275110176598
36973802,2.5630219242845556
36973803,
37016100,0.005679590825991454
37016101,
37016102,2.590043210201344
36968620,0.9154831673865615
36968621,
37013461,0.0057216046083112815
37013462,-0.20568875747738957
37013463,-0.15489228899701857
37013464,
37013465,-2.805734487421148
37013466,-2.7960207646902404
37013467,-2.801039217409027
37013468,-2.8185955547172625
37014214,-0.3237923769680826
37014215,-0.3202614876784047
37014216,0.6001125602472044
37014217,
37008313,-1.462317053916831
37008314,-2.348437978086054
37008315,-1.4595605642637537
37008316,0.0010137761653794541
37008317,
37008318,-1.4560071564704633
37008319,-1.464401293451758
37010696,-5.8016060598742314e-05
37010697,
37010698,1.0790048468281324
37010699,1.0788971147604531
36982533,
36982534,-1.538003360013711
36982535,-1.8428278764644332
36982536,-1.843764030895521
36982537,-0.47915525980515383
36982538,0.0007923565850092018
36982539,4.612369042789055e-05
36982540,-0.4786281741375191
36982541,0.000958416838471976
36982542,-1.53769933321988
36984973,
36984974,0.0009860299146637885
36984975,0.6288851602796299
37008083,-0.08257630450258091
37008084,0.5457893088707095
37008085,-0.3596242442130091
37008086,-0.502993356535697
37008087,
37008088,-0.07692943704418553
37008089,0.27114072726394056
37008090,0.27110847308388486
37008091,0.2711315026301122
36996696,0.7336242605280745
36996697,0.7306601647801472
36996698,1.2850984635915665
36996699,2.2229947138370107
36996700,-1.3141225221755235
36996701,-0.4715096050906027
36996702,-1.6843880146348624
36996703,
36974979,
36974980,0.0014330590539088917
36991779,-0.45277220742579516
36991780,0.4005267975717004
36991781,-1.4618375155910002
36991782,0.5436377874439273
36991783,
36991784,-0.08567348181723844
36991785,0.9478817259962682
36991786,1.5733259559319634
36981550,-3.6233834393736686
36981551,0.957409779082127
36981552,-0.13338184451245638
36981553,-1.5296854380296736
36981554,3.0244776845405568
36981555,
36981556,0.2510520878517326
36981557,-4.048391063064258
36981558,0.12540417943125703
37016149,-0.2994233001022053
37016150,-0.25609944393239914
37016151,
37013076,-2.6395074028033036
37013077,-3.5274295827275637
37013078,-0.1601810034366622
37013079,-3.6392288420125567
37013080,-2.6421027195637237
37013081,-3.4653277961794515
37013082,
37013083,-3.6367602593636548
37013084,-2.411110801092292
37008698,-0.04471598265561738
37008699,-2.6816405401326904
37008700,-4.203028636494054
37008701,-3.483997881122491
37008702,-3.058230034888936
