,difference
36975451,3.1375412876727466
36975452,-1.4599060830660164
36975453,0.7746254766991143
36975454,0.9574555402970617
36975455,2.4981769221132026
36975456,-3.1306895816779416
36991787,-0.3981073051689332
36991788,-0.39822397399094456
36991789,0.3767045183951403
36991790,-0.5821048406114571
36991791,-0.2333174722175979
36991792,0.4098511500154043
36991793,-2.4111637603037845
36991794,0.4094344660509872
36991795,0.3766940959638809
36991796,-0.39811144955456257
36987706,1.1866063687193673e-12
36987707,-8.073658682405949e-05
36987708,-7.140449863385356e-06
36984387,1.9098354665151476
36984388,1.9099052096543971
36984389,0.0
36973916,-4.3175415036955656e-05
36973917,0.0
36973918,-1.202305159692827
36973919,-1.2021310504524294
37014846,1.179369213834292
37014847,0.04423874741519285
37014848,-0.9254201964092417
37014849,1.1794206099204239
37014850,1.8997661535716723
37014851,-0.925209570006789
37014852,-0.1215910910670992
37014853,-0.8744391126092523
36991461,-0.006136273732408881
36991462,0.07540659720272913
36991463,2.547904145077581
36991464,2.5340348248032427
36991465,3.1431218960787533
36991466,0.07509628680472247
36991467,0.11840376108276018
36991468,0.0581237465082296
36991469,2.547642877897374
36991470,2.5480401873285956
36969580,1.545430450278218e-13
36969581,-2.7008994948118925e-05
37015999,-0.0014871890883618732
37016000,0.0
36972482,-1.8030353368529553
36972483,-2.3349170628834277
36972484,-2.3348568851259004
36972485,0.011221000524630764
36972486,-2.3349181694691823
36972487,0.011182913913877546
36972488,0.011138651120115417
36972489,-1.7830523776938207
36973802,1.9683441515956872
36973803,0.0
37016100,-0.000615051481872797
37016101,1.9042545318370685e-12
37016102,1.899938459481291
36968620,1.041131621912129
36968621,0.0
37014214,-0.28935143077978864
37014215,-0.28933314554138434
37014216,1.0716953144639696
37014217,0.028209137484783042
37008313,-1.3739677782849244
37008314,-2.196457424689195
37008315,-1.3739675389352244
37008316,-1.6855774447321892e-05
37008317,1.849853603630436e-12
37008318,-1.374263062200738
37008319,-1.3742598626417468
37010696,-6.4902997110039e-05
37010697,2.9309887850104133e-13
37010698,1.033161955495153
37010699,1.0330367667085696
36982533,1.8687273950490635e-12
36982534,-0.7370619246519645
36982535,-1.2873406639174227
36982536,-1.2877236055975523
36982537,-0.25478628112817603
36982538,-8.082248545093762e-06
36982539,-0.00026058522053062916
36982540,-0.25480503400554255
36982541,-5.762791229102504e-06
36982542,-0.7370639893950823
36984973,2.4868995751603507e-13
36984974,-0.0002716241870075464
36984975,0.14482688643444064
37008083,-0.07393414375766838
37008084,0.6805667986761108
37008085,-0.3362104015140801
37008086,-0.48310957234123464
37008087,9.663381206337363e-13
37008088,-0.07565051130950451
37008089,0.3181914906401886
37008090,0.31819088118867
37008091,0.3181962099864677
36996696,1.1662040857488591
36996697,1.1661967545144876
36996698,2.3796339028647253
36996699,2.703427362786215
36996700,-0.6038936053429893
36996701,-0.1366466526030763
36996702,-1.0640332108096118
36996703,0.0
36974979,1.1368683772161603e-13
36974980,-1.545855775475502e-05
36991779,0.353691174012539
36991780,1.1370250540719837
36991781,-1.0055407243816035
36991782,0.6650637724309547
36991783,0.0
36991784,0.28680029832104026
36991785,1.7742442673750816
36991786,2.2493660093492878
36981550,-3.1680926547948616
36981551,1.1783371471226474
36981552,0.1120816122467545
36981553,-1.0605972190921875
36981554,3.405474576296058
36981555,0.0
36981556,0.5999891732312506
36981557,-3.8479822886793613
36981558,0.45758111957042047
37016149,-0.32216675870463973
37016150,-0.31970627928564
37016151,0.0
36974389,0.40177722159649853
36974390,0.0
37014267,-0.29303312635874157
37014268,2.220446049250313e-13
37014269,-0.15186864830085156
37014270,3.106605859559572
37014271,-2.4202396161854267e-05
37014272,1.963712098065887
37014273,0.3018426649998336
37009599,0.9673067052725379
37009600,0.9670286703286806
37009601,0.9673541705935094
37009602,0.9673759191291964
37009603,2.4158453015843406e-13
37009604,0.9672389868879989
37009605,0.9673311619200788
37009606,-0.000171412364011303
37009607,-0.00030841876165510484
37009608,-0.00029464007820934057
36999326,1.5922076050619083
36999327,-0.894852863624692
36996073,-0.21661236678697193
36996074,7.496225862269057e-13
36996075,0.4255710445275689
36996076,-0.2158235319098445
36996077,-0.00010620942339301109
36996078,0.42529176277489356
36996079,-0.2169306546599863
36989744,1.0656519327260856
36989745,-0.7500734745990485
36989746,1.87644613556777
36989747,0.45655868018348933
36989748,0.16276757623740856
36989749,0.4632231812925749
36989750,2.3659606856383615
36989751,2.3658168115514844
36989752,5.161110438573845
36989753,-0.08900510352319735
36983669,2.8293775149805214
36983670,1.0996474416523796
36983671,0.0
36983672,0.45702951937390424
36983673,2.268034736951577
36983674,-1.1864054516581177
36983675,1.804173763630729
36983676,0.3325202585447613
37011180,0.4115287515840578
37011181,-0.8604527556893231
37011182,0.522075227853918
37011183,-0.0861302181147039
37011184,0.38952254629668914
37011185,-0.27987269683831073
37011186,2.578638648664082
37011187,-0.3655368721578043
37011188,1.8297253143745706
37011189,2.0202869360879276
36978937,1.6607618710684875
36978938,3.0650853713244146
36978939,0.1732237871784008
36978940,2.8431383906776375
36978941,-0.3508860811125487
36978942,5.323550041085909
36978943,-0.4695120199864675
36978944,2.9285497984311064
36978945,1.6606978340267915
36978946,0.09541831322562189
36981719,1.530288500487103
36981720,-0.5839064185382767
36981721,6.285313711358924
36981722,0.9075412962131963
36981723,3.560093519614128
36981724,-0.32658774095486365
36981725,5.480861257970503
36981726,1.5537508202595802
36981727,2.222973321629979
36981728,0.0
36975564,-1.9152705154847354
36975565,-1.671596440954545
36975566,4.021747138550495
36975567,2.8256598838523246
36975568,2.086396972573141
36975569,1.1688076748355343
36975570,-0.422008719728467
36975571,-0.14718440453219728
37016184,-1.276902265380592
37016185,0.40305298124570754
37016186,-1.2768932824255899
37016187,-1.7189471488803605
37018483,-1.341330154088963
37018484,-1.3412921270250457
37018485,0.978344949397
37018486,4.014566457044566e-13
37018487,-6.837045720686774e-07
37018488,-1.9597006030380726e-05
37006531,0.9090307255554606
37006532,0.9090121181967774
37006533,-0.0023237979039549828
37011426,-1.911688263577858
37011427,5.684341886080801e-13
37011428,-0.1911431396246286
37011429,-1.911642532087761
37011430,-0.0016017502048946142
37011431,-1.9123475483410601
37011432,-0.0007327951607294381
36988935,3.3955904800541816
36988936,-0.236053930560729
36988937,0.963655357984976
36988938,2.5802959347553838
36988939,3.425127157446269
36988940,-0.04955119548327502
36988941,2.0176268309812144
36988942,3.067950013207877
36988943,-1.632167044444941
36974877,1.7053025658242404e-12
36974878,-0.10132572817383334
37009403,1.329273492433547
37009404,0.08609094460588196
37009405,2.625646065346155
37009406,-2.616327009862289
37009407,0.3483674497472169
37009408,2.690577027536591
37009409,-0.009203597568777866
37009410,1.9764880829222768
36974459,0.8891089853146354
36974460,-0.6588921615947356
36974461,0.5058380726080713
36974462,0.8334214317513897
36974463,0.9145064244327159
36974464,-0.8417543118121102
36974465,-0.790494593823496
36974466,-0.6196067151902298
36974467,-0.8829934424409203
37016176,-0.172703783374478
37016177,0.0
37011942,0.987830083832506
37011943,-0.9044788613397348
37011944,-0.37791383407572887
37011945,0.0
37014802,-0.42081951606087387
37014803,0.10722759472412058
36970327,1.7300394003840278
36970328,1.7804197476228545
36970329,1.7300454360526238
36970330,1.7806192171857056
36970331,-0.9967180734377585
36970332,-0.996800099266693
37014770,0.7406602344848867
37014771,1.5479333769049948
37014772,0.7409216278608763
37014773,-0.05206194758648053
37014774,-0.05204583879035951
37014775,0.4373534880889327
37014776,1.6480197426675698
36961641,1.781744197093488
36961642,1.297804364432551
36961643,1.2965718858997661
36961644,-0.6899262461811304
36961645,1.7818008073033695
36961646,-4.875968123870663
36961647,-4.875500067223157
36961648,-5.654773312707164
37007501,-0.16860131786103238
37007502,0.05799748331293131
37007503,-0.44205520092509687
37007504,-0.5175699067559094
37007505,-0.45230177452140197
37007506,-0.33544522600664095
37007507,-1.069536250240617
37007508,-0.3007181885249679
37007509,0.7052046854716991
37007510,0.05744303101181458
36996187,0.44044393286586114
36996188,-1.0014987313137738
36996189,2.6439379058845986
36996190,2.4061704266682256
36996191,3.0046700723496826
36996192,0.8037203116102489
36996193,-0.23729646764695644
36996194,-1.162984333534979
36996195,-14.382346411026049
36994603,1.884604178453884
36994604,-2.1757506339345127
36994605,1.8501374853658774
36994606,1.2240273007876112
36994607,3.67051433520777
36994608,1.895872298834405
36994609,-2.7541485831343664
36994610,1.8846414959720903
36994611,-3.904638014916884
36994612,-2.1405253448751296
37012875,0.3553726030877158
37012876,-0.35809037182661996
37012877,-0.3453404352262055
37012878,0.8603414999901418
37012879,0.4559540666942894
37012880,0.0
37012881,-0.7994720893282476
37012882,-0.7995153886644459
37012883,-0.5647730947613638
36970028,0.0
36970029,0.4520238004714088
36970030,-5.3225118550062405
36970031,-0.15698322350272065
36970032,-0.13572965646307011
36970033,-2.933995159168859
36970034,-3.483695044319518
36970035,-0.7844438350289238
36970036,-0.9185254401935481
36970037,-0.35200858375711164
36995632,1.7143434394311043
36995633,-0.07215198163194003
36995634,0.1704350934093597
36995635,-2.9664242323294303
36995636,-2.16049646351415
36995637,-9.157817969557158
36995638,-1.018794248983518
36995639,0.0
36995640,-3.1600763747422036
36970802,-1.653107421645302
36970803,-1.4378869939675383
36970804,0.33232035411828065
36970805,-0.9773036188591107
36970806,-1.5130247664904175
36970807,-1.5474389280425385
36970808,-1.2111927590558196
36970809,0.32547190321818675
36973609,-0.41452938181978993
36973610,-3.846540361960848
36973611,0.0
36973612,-0.03996662769758075
36973613,-0.3409698069361724
36973614,-0.6126567634852336
36973615,-1.2455365172842932
36973616,0.13898809351498187
36973617,-1.1184779441421568
36973618,-2.535358549194413
37016967,0.0
37016968,0.41497384603873044
37016969,-0.9099263446539689
37017054,8.881784197001252e-14
37017055,-0.0037240608944557607
37016490,0.25545258710687335
37016491,0.0
37016492,0.25563230244399193
37012780,-1.6366867986029838
37012781,-0.5414095901651308
37012782,-0.13019932021254377
37012783,-1.6304331346307102
37012784,0.9492216127801107
37012785,0.23457276485995493
37007170,1.279237766863801
37007171,-0.7955790922624004
37007172,-2.163572875369745
37007173,1.3187485070592402
37007174,-1.850940662319772
37007175,-1.3230942874703402
37007176,-0.8896368407206552
37007177,-1.4806125790281328
37016854,0.30424289409524796
37016855,0.5659490619937841
37016856,0.5659450885059663
37016857,-0.5177403497160853
37016858,-0.5178706695675022
37016859,-0.0984066316159442
36998165,-3.0609785016703945
36998166,-2.912641508350003
36998167,0.0
36998168,-4.381595768600562
36998169,-2.1623642611983573
36998170,-3.929010152217568
36990423,1.3634562511089179
36990424,0.0
36990425,2.2076785176702245
36990426,2.5549961973337183
36990427,1.363294893186044
36990428,0.06894843306837117
36990429,1.3634653869181754
36990430,2.5548804551248168
36990431,1.118972287765164
36990432,0.37524152246545484
36980769,-0.24342385394109556
36980770,1.2944721367508976
36980771,-2.0377455190171645
36980772,-1.2922936194809154
36980773,2.6747077903423246
36980774,-1.647518651772259
36980775,-0.40015198518764805
36980776,-3.514516800043424
37008950,0.23253590524578271
37008951,0.3100678988323686
37008952,-0.4872165981803498
37008953,-0.5412964803960669
37008954,-0.48735197528741026
37008955,0.23219212282539914
37008956,-0.541319198673591
37008957,0.3101771994312159
37008958,0.23226738864823915
36969634,-1.5005544271902451
36969635,-0.9067227949881094
36969636,0.0
36969637,-1.5003401500641118
36969638,-0.7740445335274551
36969639,0.8338521349231378
36969640,-1.0262639280312946
36969641,-0.874241339977015
36969642,-1.0002186320099753
37012452,-8.14178010587554
37012453,8.810729923425242e-13
37012454,-5.392257196049869
37012455,-0.000777146895416081
37012456,-3.964517503649219
37012457,-5.130672222129704
37007875,-0.3324411027133465
37007876,1.847060866486288
37007877,2.735130169121618
37007878,2.3706832069537143
