,difference
36975451,-12.359113273514936
36975452,0.4581660627337669
36975453,0.19374334092003664
36975454,
36975455,-0.3407352305787299
36975456,-17.781138191015913
36991787,0.9369527885733904
36991788,-1.777701212426443
36991789,-0.7209013416542618
36991790,0.22055360480363007
36991791,-1.647840620553822
36991792,
36991793,-6.52107750355752
36991794,0.004099664308285789
36991795,-0.7255474393757737
36991796,0.9418429769412313
36987706,
36987707,-0.0014924196020018599
36987708,0.0004853044092705261
36984387,6.710582948257581
36984388,6.697343067976817
36984389,
36973916,-0.883274440977722
36973917,
36973918,-5.392605285172344
36973919,-5.487043137814673
37014846,1.7535693359328093
37014847,
37014848,1.873771382039024
37014849,2.2717653672091416
37014850,3.220812426070694
37014851,1.4916503050480543
37014852,2.3190676120464957
37014853,-0.8004233749743719
36991461,-0.011021731088334263
36991462,-1.4577623278917997
36991463,8.50807255472256
36991464,63.50718043113655
36991465,9.090356124346982
36991466,-1.4432464322520957
36991467,
36991468,-1.4747896464944006
36991469,5.30403188002586
36991470,5.36805029252497
36969580,
36969581,-0.004410258835156888
37015999,-0.013330747529636255
37016000,
36972482,1.6865509899997235
36972483,2.838913370985143
36972484,2.8040538527020544
36972485,
36972486,2.8220954132932583
36972487,-0.004346298264970017
36972488,-0.0005442315319754698
36972489,-0.0734077889028022
36973802,-1.08681290331171
36973803,
37016100,0.1363002200736787
37016101,
37016102,-0.9568845159897137
36968620,-1.5243467048037518
36968621,
37013461,-0.019235954019222845
37013462,-0.6973627822542312
37013463,0.006303673665115639
37013464,
37013465,-3.1004285711072725
37013466,-3.137723021611805
37013467,-3.1348807114999886
37013468,-3.1376389865686747
37014214,-0.41010088541180867
37014215,-0.3616500520121084
37014216,-0.22847613866478955
37014217,
37008313,-1.8885598320618424
37008314,-5.889977989544851
37008315,-1.8615715184848725
37008316,0.009319196576516475
37008317,
37008318,-1.8895512137172013
37008319,-1.8866188668111175
37010696,-0.04164845942703188
37010697,
37010698,-0.5448146101264215
37010699,-0.5389081291099278
36982533,
36982534,-2.3224446676129915
36982535,-1.2040857758079682
36982536,-1.207485354391281
36982537,-1.0096259226322601
36982538,0.00969015802277795
36982539,0.0002596392677887138
36982540,-0.8243833250674868
36982541,-0.008431128278516553
36982542,-2.3345505231049586
36984973,
36984974,-0.0020848389792291755
36984975,13.118163834484058
37008083,-0.0832005971730041
37008084,-1.255625883522086
37008085,-1.1750314691584691
37008086,-1.3204469423801726
37008087,
37008088,-0.07595411518117601
37008089,-1.25070868991628
37008090,-1.2575679882340722
37008091,-1.258277009984468
36996696,6.895561070980534
36996697,7.0828874949311285
36996698,-32.597365172254115
36996699,-21.41308117732575
36996700,-1.8764574032840073
36996701,7.31197254033782
36996702,0.4214815042984128
36996703,
36974979,
36974980,-1.234886034680242
36991779,-7.212565974194348
36991780,-2.2631426111813653
36991781,-1.7071549635887777
36991782,-7.6007390229729594
36991783,
36991784,-0.5948737594115414
36991785,-2.432862002092037
36991786,-6.655672266105626
36981550,-5.969649464068681
36981551,-3.500241706343445
36981552,0.2978967248188553
36981553,-0.6496850153469893
36981554,0.9074196452185959
36981555,
36981556,-8.506918563428968
36981557,0.14457003935009993
36981558,-2.4256494322312108
37016149,-0.32874621465566634
37016150,-0.3457763901309079
37016151,
37013076,-1.5260509471857517
37013077,-7.113633757783646
37013078,-0.12691435291060316
37013079,19.403368680414076
37013080,-1.5179662092073158
37013081,-6.289594215581303
37013082,
37013083,19.44378203538298
37013084,-1.1717273428830026
37008698,0.018784173908073853
37008699,-1.3044056073996444
37008700,-2.504367808877504
37008701,14.060140512992064
37008702,0.27122801319430323
37008703,46.49481896128407
37008704,-7.178174954828535
37008705,
36974389,0.08313336615982969
36974390,
37014267,-3.245162981648959
37014268,
37014269,-0.1530982307369131
37014270,-6.020166198460846
37014271,-0.003810104647550716
37014272,-5.746555461245532
37014273,-3.687612226059878
37009599,0.6930704744360687
37009600,0.678512471409225
37009601,0.6775418827436841
37009602,0.6844281792096663
37009603,
37009604,0.6785558375102818
37009605,0.6764405792899773
37009606,-0.006774846309001603
37009607,-0.00978965130338949
37009608,-0.005043973362202081
36999326,
36999327,-1.040380855547241
36996073,-5.21149658929396
36996074,
36996075,-4.346189445043574
36996076,-5.213218588426242
36996077,-0.0042559995184277
36996078,-4.389322892793789
36996079,-5.213515745067978
36989744,0.9917435524602805
36989745,0.7190120355882113
36989746,-2.81182850326622
36989747,-5.083247302505261
36989748,
36989749,-9.30267539209242
36989750,-4.489095908650045
36989751,-4.522646973313657
36989752,-5.947072140675862
36989753,-3.8366901099659785
36983669,4.4410401795031476
36983670,5.017413893939079
36983671,
36983672,4.416617829991623
36983673,4.73150375488504
36983674,2.959001755745504
36983675,4.621909725846649
36983676,-0.875713118380105
37011180,3.9379353818575282
37011181,-2.069792763795647
37011182,
37011183,2.516096239410615
37011184,3.9806846908270472
37011185,5.0984595113382625
37011186,-1.1583534322163018
37011187,-1.9482751969698597
37011188,-1.5961375499949781
37011189,4.268919079786087
36978937,-3.631241352418982
36978938,2.389387086650629
36978939,-6.287929425962517
36978940,
36978941,1.5116772476303595
36978942,1.4243010656705337
36978943,0.9966362156546893
36978944,1.0171986756737965
36978945,-3.893645478908354
36978946,1.967355879541003
36981719,-0.021049510418691852
36981720,1.7892949791320802
36981721,-5.2178842930111955
36981722,1.6294310294563843
36981723,-6.683233431183709
36981724,0.9973219116315022
36981725,-8.483732617477159
36981726,-1.2475021813706633
36981727,3.9395435521905995
36981728,
36975564,6.02353469611603
36975565,3.16438703407664
36975566,7.711461976389728
36975567,-21.85094376151943
36975568,
36975569,0.18703336299768125
36975570,-23.5910440429642
36975571,6.084682491384058
37016184,-1.3373928926964282
37016185,
37016186,-1.334727442444958
37016187,-1.7560096387662298
37018483,-2.0735147522555764
37018484,-2.070509640005909
37018485,-1.3910780615198988
37018486,
37018487,-0.0017252490118195851
37018488,-0.0214982937679693
37006531,
37006532,0.0022026853120493683
37006533,-0.8022141773488798
37011426,-0.6921487185392401
37011427,
37011428,-0.46913148803647786
37011429,-0.6869955406723598
37011430,-0.01990263163593653
37011431,-0.6861777873106263
37011432,-0.002096819604986422
36988935,
36988936,-2.771818375036503
36988937,104.56135040228239
36988938,-5.43146202258464
36988939,-4.976592750564805
36988940,17.30426970649313
36988941,-5.021393371502938
36988942,-3.743970536445943
36988943,-3.682165804514227
37016398,
37016399,0.12595942071883215
37016400,-9.157932373072773
37016401,-0.21989120923876548
37016402,-0.7990386941784493
37016403,-0.3098153641910457
37016404,-10.665215012912668
36974877,
36974878,0.43018072735213764
37012819,-0.38710226807185677
37012820,0.3760896016889319
37012821,-0.03690002181897967
37012822,-1.8532910141526031
37012823,-7.535797207762101
37012824,
37012825,-1.472920434476805
37012826,-0.021389665436572614
37012827,-0.03397489945439247
37009403,0.6078023569346982
37009404,-0.05392300427367758
37009405,-1.114607922928954
37009406,-3.16967626037394
37009407,
37009408,-5.419763106217019
37009409,-1.5039936040785236
37009410,-0.5334579623741149
36974459,4.89675370490454
36974460,4.673956042836323
36974461,-0.008958170666858223
36974462,
36974463,5.991492514438448
36974464,4.752275531766941
36974465,3.4416436197835765
36974466,3.6936781455097503
36974467,3.8377995941694962
37016176,-0.18735398169889717
37016177,
37011942,-0.7821851618280977
37011943,-3.9155853966152088
37011944,-1.0114820648587024
37011945,
37014802,-0.5938129522943321
37014803,
36970327,-0.01124976650474041
36970328,0.5771114593681617
36970329,
36970330,0.5870720864929142
36970331,-0.7540247861400462
36970332,-0.753949944363395
37014770,-0.03531380072911361
37014771,0.021404911618347455
37014772,
37014773,-0.048059288942919665
37014774,-0.05676222003548226
37014775,-0.3278938366215183
37014776,0.3400439902610781
36961641,-0.006505390831335944
36961642,-2.5040328541095107
36961643,-2.491192093018128
36961644,-0.7875995149130688
36961645,
36961646,-4.960633406800952
36961647,-4.937139753964516
36961648,-4.945535936785063
37012653,-33.25447921611294
37012654,3.057811078958281
37012655,-28.80998713121045
37012656,39.46623878565788
37012657,39.36669953062989
37012658,-29.083475321682954
37012659,39.134481173543975
37012660,-25.698032485640482
37012661,39.24177745159216
37012662,
37007501,1.5328567853591721
37007502,
37007503,0.03486776935187663
37007504,-1.9108547865624814
37007505,-0.35815939293502197
37007506,-0.42908428661621656
37007507,-3.529439449758911
37007508,-1.126896571614168
37007509,-1.6144894283742133
37007510,-0.385044783057765
36996187,-7.172340954315473
36996188,-1.3946690569280804
36996189,-0.7072472519526514
36996190,-14.973935869076314
36996191,
36996192,0.015337901793145647
36996193,-0.3761228230424649
36996194,-3.9208359775847157
36996195,-17.349151591111365
36994603,-1.7584555765578784
36994604,-1.2857969445725814
36994605,-11.816824337050804
36994606,
36994607,-7.502906196847846
36994608,-2.1989476863201958
36994609,-2.9950547741814546
36994610,-2.3671496450191682
36994611,-8.218747338388397
36994612,-1.4422502710491756
36959575,0.8155374171399785
36959576,0.22255200780998052
36959577,
36959578,-1.8240650209451132
36959579,-1.8468186255079786
36959580,-8.867451047471178
36959581,-0.447431420896379
36959582,-0.3268005811966077
36959583,1.2281789159769119
36959584,1.231466907239792
37012875,-0.12911019698265136
37012876,-0.9708397033021186
37012877,3.3767825915316223
37012878,-2.002223793204763
37012879,-0.1840478689936731
37012880,
37012881,1.9893943690006495
37012882,1.9835618256305168
37012883,-1.0333986905528434
36970028,
36970029,-0.814527730404734
36970030,-1.917559339161869
36970031,-2.9279576857240954
36970032,-3.8845795509509458
36970033,-2.434905176211032
36970034,-4.014207241754718
36970035,-2.056861281863121
36970036,-2.5667428128334677
36970037,-2.6374759577300892
36995632,-2.7337155694370097
36995633,-0.8997045094976954
36995634,-5.371119511360433
36995635,-5.023487525882516
36995636,1.0479997195409965
36995637,-10.77708774398144
36995638,-1.9323975253089998
36995639,
36995640,-5.232865964087097
36970802,-3.9863629694573035
36970803,-2.7566825015344136
36970804,
36970805,-2.9421678343981625
36970806,-4.588541288815151
36970807,-4.479937951887109
36970808,-2.8169807804159177
36970809,0.004605729325334096
36973609,-1.0143595076420127
36973610,1.4281876204347554
36973611,
36973612,1.9359728720181693
36973613,-1.2872001975877936
36973614,-3.2233509500972843
36973615,-0.5724425477585555
36973616,3.686837249318046
36973617,4.195719201431899
36973618,-1.0013927120797064
37016967,
37016968,0.03616479303758524
37016969,1.2023162632208448
37017054,
37017055,0.014477447363877793
37016490,0.029715951438099353
37016491,
37016492,0.021439177449450675
37012780,-1.753542722395654
37012781,-0.6053939312384813
37012782,-1.365048618695468
37012783,-1.8320298121674448
37012784,-0.7923178516070557
37012785,
37007170,0.009509846246658071
37007171,-7.976561064578476
37007172,-28.21455278816471
37007173,
37007174,-6.378535058996874
37007175,-10.02191507874582
37007176,-9.589256525874418
37007177,-22.999487933089213
37016854,-0.2778781217761086
37016855,
37016856,0.0010782797640551678
37016857,-0.4755896590426776
37016858,-0.4751365595995516
37016859,-0.042057685098891184
36998165,-3.76896458314567
36998166,-3.290890360220377
36998167,
36998168,-6.028252487964346
36998169,-1.3706330604158279
36998170,-5.185600579854974
36990423,0.04245548799843846
36990424,
36990425,-0.42463563151862616
36990426,-0.035484894586396365
36990427,0.031058580373887423
36990428,0.5736706382611985
36990429,0.045368408291579954
36990430,-0.010507838545827042
36990431,-1.0853168755360656
36990432,-0.5564849433866286
36980769,0.2149236588762733
36980770,
36980771,0.030484805341416177
36980772,-1.890880597257791
36980773,4.467021627141861
36980774,-4.101686795373979
36980775,-2.8774177010452604
36980776,-6.252920563026834
37008950,
37008951,0.07412149397030987
37008952,-0.04950611795008797
37008953,-0.04869646171934505
37008954,0.7295828820810542
37008955,-0.012168892003337817
37008956,-0.043466115059992205
37008957,0.07566223166255526
37008958,-0.013744018695064142
36969634,-1.916569000135425
36969635,-1.5684665938039188
36969636,
36969637,-1.9143833941145942
36969638,-0.9951782928912323
36969639,-0.5717703199479232
36969640,-1.2334412182853143
36969641,-0.4345857443353225
36969642,-5.54204392525709
37012452,-16.23399878117682
37012453,
37012454,-14.170497486412884
