,difference
36975451,-15.526162465249996
36975452,0.057602537808662646
36975453,0.2119527661069469
36975454,
36975455,4.319160331622811
36975456,-14.642734578634702
36991787,0.3392482762867104
36991788,-1.838091220382788
36991789,-0.7020568265584517
36991790,-0.3654428137067294
36991791,-2.4081700642573116
36991792,
36991793,-7.137045208424203
36991794,-0.00392348019811628
36991795,-0.7016636133733432
36991796,0.3391277023997654
36987706,
36987707,-0.0005429429674208563
36987708,-0.00047952390573158254
36984387,-0.6113725622054744
36984388,-0.6040586509884633
36984389,
36973916,0.0015245612901821914
36973917,
36973918,-7.697365793049229
36973919,-7.738937140152181
37014846,-2.16614806174411
37014847,
37014848,-1.9052294380709185
37014849,-2.144472154050945
37014850,0.6328195080057455
37014851,-1.9013305778741483
37014852,0.5173032311359975
37014853,0.13769725229325047
36991461,-0.003567051856322223
36991462,-1.4624619230863516
36991463,12.560943737794958
36991464,12.495317337474916
36991465,12.756087351283213
36991466,-1.4365567098976442
36991467,
36991468,-1.4549888721629713
36991469,12.555459800915173
36991470,12.555990498518213
36969580,
36969581,-0.00251509540158823
37015999,-0.0011177857269899505
37016000,
36972482,1.6226869106736679
36972483,2.2564807133918556
36972484,2.250332191867944
36972485,
36972486,2.248995797893862
36972487,0.0008751570357610206
36972488,0.008689227701470514
36972489,-0.3628142910836907
36973802,-1.084335820824606
36973803,
37016100,0.0027370657865048997
37016101,
37016102,-0.9717609716541347
36968620,-1.5280469240606962
36968621,
37013461,0.028389080506258324
37013462,-0.2138771136693549
37013463,0.05471413737978992
37013464,
37013465,-0.12493838521686484
37013466,-0.1276193234124321
37013467,-0.1309220701717777
37013468,-0.1293688053156643
37014214,-0.37858758357478806
37014215,-0.38144033000167266
37014216,-0.43700124498368353
37014217,
37008313,-1.9348030808471144
37008314,-5.983971208895774
37008315,-1.942687713371999
37008316,-0.01181512096552595
37008317,
37008318,-1.9420943370089745
37008319,-1.9383278899815366
37010696,-0.0006895197765821592
37010697,
37010698,-3.000562187997925
37010699,-3.0250348808587106
36982533,
36982534,-2.5134654923759143
36982535,-1.9660863049706236
36982536,-1.9620938372981556
36982537,10.934709164658223
36982538,-0.25337858462486906
36982539,-0.027322336108014156
36982540,10.936555683247335
36982541,-0.017486207671360887
36982542,-2.528821779152892
36984973,
36984974,-0.009163457414651077
36984975,15.203813853679115
37008083,-0.0793026056654611
37008084,-0.9998452031693859
37008085,-1.364138973636571
37008086,-1.511430911144629
37008087,
37008088,-0.07934535057162861
37008089,-1.420849460784666
37008090,-1.429405961965358
37008091,-1.426981163317194
36996696,9.954119664616712
36996697,9.968674214358487
36996698,-33.85759723957591
36996699,-25.080120822083472
36996700,1.9403097301066623
36996701,8.622863255225923
36996702,6.733487613737168
36996703,
36974979,
36974980,-0.011021816275412988
36991779,1.9516066294635834
36991780,0.6214110708473299
36991781,-1.1157490768036382
36991782,-2.283987809628485
36991783,
36991784,3.8630462411465203
36991785,3.3486513082171143
36991786,-1.5648764562904773
36981550,0.7817239812344781
36981551,4.657159838434353
36981552,5.799763413563255
36981553,-8.137564648332585
36981554,6.212919397526434
36981555,
36981556,-3.6628755506788195
36981557,-0.5224603875302876
36981558,-5.182414382484893
37016149,-0.3297942270195051
37016150,-0.3330970448387518
37016151,
37013076,-1.3927362476452458
37013077,-4.624753607938999
37013078,0.6509531072346704
37013079,14.163435747024721
37013080,-1.3925601674446284
37013081,-3.8528517502286945
37013082,
37013083,14.203790305913259
37013084,-1.1893702752325908
37008698,-0.15443613300695347
37008699,-1.3174723338531464
37008700,0.08287167830445696
37008701,12.80272392670335
37008702,-0.5001513876381978
37008703,12.750774525447724
37008704,-5.789732236021223
37008705,
36974389,-0.01514693863041039
36974390,
37014267,-2.142503236371745
37014268,
37014269,-0.11956688794231196
37014270,-7.855393274157733
37014271,0.00217913517149948
37014272,-9.031492172384835
37014273,-2.568120834685279
37009599,0.9964408539804575
37009600,1.00044998949822
37009601,0.9996692676678622
37009602,1.002976576127438
37009603,
37009604,0.9964625616156677
37009605,1.003369090618619
37009606,-0.005336596134202232
