,difference
36975451,-95.21691274476427
36975452,-74.77014044742518
36975453,-88.2322201720983
36975454,
36975455,-76.33543296517365
36975456,-97.98170855467731
36991787,0.5804359954440663
36991788,-1.556944307167086
36991789,0.5764725566825426
36991790,0.3921658682700553
36991791,-1.678778877983504
36991792,
36991793,-4.824436010667359
36991794,0.0028881309292962953
36991795,0.5857172200913006
36991796,0.5807836505851469
36987706,
36987707,0.045811353096706586
36987708,0.051741693637786135
36984387,5.271882276613411
36984388,5.291550672047805
36984389,
36973916,-1.2646558475768543
36973917,
36973918,-10.580785961886953
36973919,-10.564866183188286
37014846,1.189958210935842
37014847,
37014848,-2.6557671436064823
37014849,1.1869148442089141
37014850,-0.4182041892438093
37014851,-2.6430164669274347
37014852,-1.0462705274756559
37014853,-1.575379710245997
36991461,-0.04145660795200001
36991462,-14.48051647488262
36991463,-15.866540591389423
36991464,-15.081018597476856
36991465,-14.869311681583156
36991466,-14.473554335230403
36991467,
36991468,-14.494715303515648
36991469,-15.086768614574709
36991470,-15.853868275311982
36969580,
36969581,-0.02495529707090327
37015999,-0.24404450612694006
37016000,
36972482,-11.762115261248397
36972483,-10.283984560590376
36972484,-10.30244913370749
36972485,
36972486,-10.287019697036826
36972487,0.006930448274783174
36972488,-0.0013795110209890993
36972489,-1.056854430026327
36973802,-2.3113343023408106
36973803,
37016100,-0.008169744606220775
37016101,
37016102,-1.0187780999515326
36968620,-1.228132992473327
36968621,
37013461,0.000506958823621062
37013462,-0.22477914434603008
37013463,0.001674569544775295
37013464,
37013465,-2.6444287071719828
37013466,9.501009899040127
37013467,9.502868126992837
37013468,-2.645351412722107
37014214,8.200650246720164
37014215,8.178119284558969
37014216,0.2943836148861223
37014217,
37008313,-1.82281967201925
37008314,-2.934071832313375
37008315,-1.8229087081069046
37008316,-0.00037963086627357256
37008317,
37008318,-1.8237948260343515
37008319,-1.8266537936811318
37010696,-10.399962142555239
37010697,
37010698,2.792389226839445
37010699,2.7963001800171323
36982533,
36982534,-2.351884519134103
36982535,-0.8708712527902378
36982536,-0.9503344168021925
36982537,-1.1033612047954904
36982538,0.0028575799776291433
36982539,-0.01746292925014359
36982540,-1.1068910685292508
36982541,-0.017097435458026666
36982542,-2.3609905753638856
36984973,
36984974,0.008982771950883262
36984975,-1.0081811716313922
37008083,-0.0980239749020626
37008084,-5.655774778455111
37008085,-2.9042586480558157
37008086,-2.9799451378346333
37008087,
37008088,-0.08737192095092894
37008089,-2.9130030484911487
37008090,-2.91507415335397
37008091,-2.9181060413563387
36996696,9.946560066207041
36996697,9.942814540286747
36996698,-37.0936045385381
36996699,-28.891314804072408
36996700,7.339292553497273
36996701,11.835786853228
36996702,11.403908628253816
36996703,
36974979,
36974980,-0.001241662420540024
36991779,1.4579348918162225
36991780,1.8523104681157747
36991781,-1.4520346045393637
36991782,-2.1989334938925253
36991783,
36991784,3.1909832331351993
36991785,-0.7825306383264774
36991786,-2.156202749655762
36981550,0.4806097549096364
36981551,7.992458414571843
36981552,7.016680577410568
36981553,2.6436345102108305
36981554,7.766547842157792
36981555,
36981556,-5.242116633425667
36981557,0.15532778542359438
36981558,7.825020492377718
37016149,-0.32715000300407837
37016150,-0.33864713424176784
37016151,
37013076,-12.688031454564623
37013077,-23.082944954349188
37013078,-0.287277038237562
37013079,14.11973559322928
37013080,-12.670406657864191
37013081,-14.729575833378448
37013082,
37013083,66.50633911197664
37013084,-11.789343526217891
37008698,-0.0026602833485469546
37008699,-20.492167765785297
37008700,60.097996981688894
37008701,16.865439883624703
37008702,-23.62471342560474
37008703,17.256622718987387
37008704,-23.72978571384749
37008705,
36974389,-0.3011327144191114
36974390,
37014267,-10.178975479173921
37014268,
37014269,-0.07774398604686539
37014270,-11.365297116010403
37014271,-0.005466401117843134
37014272,-12.516982043259624
37014273,-3.5189538390413944
37009599,0.4745733077692975
37009600,0.4810446026633102
37009601,0.4763134214521578
37009602,0.4783055626754802
37009603,
37009604,0.47543240346509563
37009605,0.4749099458634092
37009606,-0.018613078444321474
37009607,-0.044759780410089434
37009608,-0.014706761317683004
36999326,
