,difference
36975451,1.784806208468936
36975452,-2.0456214199432026
36975453,-0.13830386176573484
36975454,
36975455,1.900901635898947
36975456,-4.334173370883349
36991787,-0.7215494965918676
36991788,-0.9140828416795017
36991789,-0.21662024562315985
36991790,-1.0966449575797235
36991791,-0.7468930071822886
36991792,
36991793,-2.9736231431992906
36991794,-0.005166135674366856
36991795,-0.22666392454475037
36991796,-0.7210987206392776
36987706,
36987707,0.0017781577830504602
36987708,-0.0015059342661984942
36984387,2.3322540177388333
36984388,2.332867244304083
36984389,
36973916,0.00036760217734155276
36973917,
36973918,-0.9936570122215755
36973919,-0.9932098750452454
37014846,0.9368786703402705
37014847,
37014848,-0.2618930443463725
37014849,0.9393398577372807
37014850,1.6809760898999002
37014851,-1.1581274526789542
37014852,-0.35497727508008836
37014853,-1.0012825501823954
36991461,-0.13280021433351408
36991462,-0.05142879618209406
36991463,1.5794748701715093
36991464,1.5816174996816699
36991465,2.3147058678906944
36991466,-0.05087937799125086
36991467,
36991468,-0.06533464305390169
36991469,1.5795741193941382
36991470,1.5812053992913206
36969580,
36969581,-0.04619893846051637
37015999,-0.012299281282068364
37016000,
36972482,-3.486806694520883
36972483,-4.154329102797131
36972484,-4.154074601224643
36972485,
36972486,-4.154665109894658
36972487,-3.507593766371997e-05
36972488,-0.00012590344976715073
36972489,-2.2244175008851172
36973802,1.2408460165737267
36973803,
37016100,0.29725650815714744
37016101,
37016102,1.5344788581304556
36968620,0.7607919664406886
36968621,
37013461,-0.1962564647062095
37013462,-0.19779784069510242
37013463,-0.09741575718408058
37013464,
37013465,-2.8580609398128445
37013466,-2.863136426080814
37013467,-2.8693202150778347
37013468,-2.860236455442987
37014214,-0.32611464857849093
37014215,-0.342268673995445
37014216,0.49275224896530645
37014217,
37008313,-1.4884027088268823
37008314,-2.5523169857045183
37008315,-1.4728551368646698
37008316,0.020774927532730914
37008317,
37008318,-1.4723015490358655
37008319,-1.4904327442597705
37010696,-2.8405069605774713e-05
37010697,
37010698,0.9077977036624958
37010699,0.9077576539558123
36982533,
36982534,-0.9175441471001413
36982535,-1.192027300395047
36982536,-1.197565896986454
36982537,-0.3381119553552132
36982538,-0.0028147098532400605
36982539,-0.005196736346686492
36982540,-0.340707621872685
36982541,-0.0022918992378997416
36982542,-0.9161706006459696
36984973,
36984974,-0.001961653943315156
36984975,-0.6570455540219022
37008083,-0.07469042795450775
37008084,0.598134907674222
37008085,-0.3365899546937072
37008086,-0.4891500669550908
37008087,
37008088,-0.06399474721055753
37008089,0.2722402117843572
37008090,0.2718716524926563
37008091,0.2714475901254403
36996696,0.9185304163174237
36996697,0.9384869056132175
36996698,2.0368664774115928
36996699,2.170101651705693
36996700,-0.9202858523015607
36996701,-0.15887727885899494
36996702,-1.4428541517842746
36996703,
36974979,
36974980,0.0012015211470206566
36991779,-0.051626226759196925
36991780,0.26966710205064715
36991781,-1.804628833830833
36991782,0.5839590942176898
36991783,
36991784,-0.10213456303944213
36991785,0.7421551068678127
36991786,1.4837591267015142
36981550,-3.783550333918612
36981551,0.6233329785445108
36981552,-0.7906791871646988
36981553,-1.3534753904135073
36981554,2.7061748946349837
36981555,
36981556,0.042847379467019664
36981557,-4.177387184850431
