,difference
36975451,2.062807073393145
36975452,-2.360701888371551
36975453,-0.1948054184325798
36975454,
36975455,1.5629044054424241
36975456,-4.1708366980974745
36991787,-0.7111224787567316
36991788,-0.970815279474996
36991789,0.11645927885583518
36991790,-0.7021622620870129
36991791,-0.8580302099237347
36991792,
36991793,-3.21293825381394
36991794,0.009070127427429853
36991795,0.09063882929810774
36991796,-0.710782056980646
36987706,
36987707,0.0005232595165693965
36987708,-0.0006112833896114722
36984387,2.2701914885450805
36984388,2.2695877520421703
36984389,
36973916,0.0018727259439330624
36973917,
36973918,-1.52636978008276
36973919,-1.4174019370397701
37014846,1.262036619672429
37014847,
37014848,0.10300002369199746
37014849,1.2570085808916502
37014850,1.9574833654794261
37014851,0.07892750107603064
37014852,-0.06690356267878883
37014853,-0.8679520119589199
36991461,-0.12562043970609693
36991462,0.0015595816599471846
36991463,2.7266516033700157
36991464,2.70772115504397
36991465,3.793637828030853
36991466,0.005071350186966583
36991467,
36991468,-0.007523001820914033
36991469,2.7244361826188737
36991470,2.7177713423204466
36969580,
36969581,-0.0011447360610201684
37015999,-0.012871931763630329
37016000,
36972482,-3.2020456370944843
36972483,-3.6793538521708387
36972484,-3.6773337276414915
36972485,
36972486,-3.67829004878048
36972487,-6.738967000163854e-05
36972488,-0.0002730816194582708
36972489,-1.9746093582270006
36973802,2.2153494102903863
36973803,
37016100,0.2765833601442864
37016101,
37016102,2.4582190403480126
36968620,0.8922538442986934
36968621,
37013461,-0.23074047137521347
37013462,-0.17168981578811326
37013463,0.00028373509502443994
37013464,
37013465,-2.88268423796751
37013466,-2.8801073584355663
37013467,-2.8837061787935454
37013468,-2.8831473476240035
37014214,-0.3167636476615101
37014215,-0.3169655953660335
37014216,0.8828679080305104
37014217,
37008313,-1.4791439634944143
37008314,-2.3791496494779683
37008315,-1.478599524902377
37008316,-0.00048595009241947373
37008317,
37008318,-1.4672332927921434
37008319,-1.4786524523654896
37010696,4.587907318498452e-06
37010697,
37010698,1.0511155802992764
37010699,1.0509637805562235
36982533,
36982534,-1.039024871755064
36982535,-1.531852083838988
36982536,-1.4978011076474473
36982537,-0.297697005567386
36982538,-0.0007808393820347703
36982539,0.0010269455356102242
36982540,-0.3072609104493047
36982541,-0.0014623806799605177
36982542,-1.028712638203011
36984973,
36984974,0.00046285862363859565
36984975,0.6765401279898313
37008083,-0.06591942031160158
37008084,0.6613921980568023
37008085,-0.3508510939742422
37008086,-0.4998063189623423
37008087,
37008088,-0.06811849084601818
37008089,0.30071548272523785
37008090,0.2999661897183614
37008091,0.3004853544165371
36996696,0.4665776097471621
36996697,0.4636525987270943
36996698,0.42204742990639943
36996699,2.053586669373317
36996700,-1.1178486937689627
36996701,-0.7359218761395709
36996702,-1.8091990040460928
36996703,
36974979,
36974980,0.00046575066011911304
36991779,-1.5820110499968507
36991780,-0.28756712929308037
36991781,-2.068915462975312
36991782,0.3707513134444582
36991783,
36991784,-1.0579371260377997
36991785,0.27182641050494283
36991786,1.2238380554676098
36981550,-4.180532159926798
36981551,0.9133333470182379
36981552,-0.6259905859199648
36981553,-2.0716022380912023
36981554,2.9397586553265
36981555,
36981556,0.14510212496543318
36981557,-4.135896489384493
36981558,-0.616461216694546
37016149,-0.3130868110511642
37016150,-0.23059631871780084
37016151,
37013076,-2.280176106865582
37013077,-3.1754376956601504
37013078,-0.17629293593279272
37013079,-3.55841887951496
37013080,-2.28126285719938
37013081,-3.1803435648355673
37013082,
37013083,-3.559835982912716
37013084,-2.037378368930291
37008698,-0.0508776991115667
37008699,-2.275733244492585
37008700,-4.055148624049394
37008701,-3.332854828168877
37008702,-2.702082961260146
