,difference
36975451,3.0878705301913243
36975452,-1.4599060830660164
36975453,0.7400128900688117
36975454,0.9265554605368465
36975455,2.4817101546131113
36975456,-3.1971130732734423
36991787,-0.3981073051689563
36991788,-0.5734301327536322
36991789,0.3277444416890596
36991790,-0.5230918645382729
36991791,-0.4085236309847655
36991792,0.28741503699347604
36991793,-2.7237098695335042
36991794,0.28699835302854737
36991795,0.3277340192582159
36991796,-0.39811144955456257
36987706,4.440892098500626e-13
36987707,-8.073658629470515e-05
36987708,-7.140450179576874e-06
36984387,2.1796861305217448
36984388,2.179755873660554
36984389,0.0
36973916,-4.3175414361940057e-05
36973917,0.0
36973918,-1.3353186596552504
36973919,-1.3351445504131405
37014846,1.152090470638143
37014847,0.08411304459007596
37014848,-0.9358315393491452
37014849,1.1521418667209105
37014850,1.8764672541568252
37014851,-0.9356209129482451
37014852,-0.13200243401075795
37014853,-0.8744391126092523
36991461,-0.006136273732408881
36991462,0.10721464184007345
36991463,2.716225051930934
36991464,2.702355731656823
36991465,3.3357721120437276
36991466,0.10690433144755218
36991467,0.11574184703194135
36991468,0.08993179114875716
36991469,2.7159637847488085
36991470,2.716361094177401
36969580,0.0
36969581,-2.700899487884101e-05
37015999,-0.001487189088948071
37016000,5.400124791776761e-13
36972482,-1.8929930956377214
36972483,-2.271009496331728
36972484,-2.2709493185744067
36972485,5.089262344881718e-13
36972486,-2.2710106029171744
36972487,-3.8086611311882734e-05
36972488,-8.234940380913436e-05
36972489,-1.7137883650609107
36973802,2.5568657726743993
36973803,0.0
37016100,-0.0006150514807359286
37016101,0.0
37016102,2.5595072890921244
36968620,0.7563899942893144
36968621,0.0
37013461,-7.411452753558478e-05
37013462,-0.22616435479369557
37013463,-5.168479378880875e-05
37013464,1.2960299500264227e-11
37013465,-2.6507371708757432
37013466,-2.6507485947544183
37013467,-2.6507385232253
37013468,-2.6507396962167036
37014214,-0.28935143077892533
37014215,-0.2893331455416046
37014216,0.7324905781077771
37014217,0.029695216823418136
37008313,-1.4044745195149662
37008314,-2.2555397987872654
37008315,-1.404474280164425
37008316,-1.6855774282564795e-05
37008317,0.0
37008318,-1.404776083088171
37008319,-1.404772883529367
37010696,-6.490299586925374e-05
37010697,0.0
37010698,1.0150266130489625
37010699,1.0149014242600929
36982533,0.14156059041134483
36982534,-0.9655074574540343
36982535,-1.4832581605260344
36982536,-1.4836411022115499
36982537,-0.13003392396958446
36982538,0.14155250816111575
36982539,0.1413000051902209
36982540,-0.13005267683512756
36982541,0.14155482761931992
36982542,-0.9655095221949139
36984973,0.0
36984974,-0.0002716241869471503
36984975,0.2740206101701119
37008083,-0.07393414375832208
37008084,0.6523035603073879
37008085,-0.3555892677801893
37008086,-0.5024884386040327
37008087,0.0
37008088,-0.07565051130821132
37008089,0.3072681418638723
37008090,0.3072675324219887
37008091,0.30727286122279907
36996696,1.2236160359035466
36996697,1.2236087046715625
36996698,1.7741376640848898
36996699,2.7011183173405016
36996700,-0.6403477027422468
36996701,-0.053244443652374684
36996702,-1.2207852416926244
36996703,0.0
36974979,0.0
36974980,-1.545855770501703e-05
36991779,0.021507447894222764
36991780,0.6616623620858633
36991781,-1.1113644242246181
36991782,0.8210891218866863
36991783,0.0
36991784,0.3485868489045032
36991785,1.4404497901197146
36991786,1.8667001217129524
36981550,-3.4665236663406347
36981551,1.1640389323671911
36981552,-0.1588682543853963
36981553,-1.345358628585359
36981554,3.4441135677717796
36981555,0.0
36981556,0.6588932432436536
36981557,-3.857225566091415
36981558,0.3344147830914608
37016149,-0.3221667586899599
37016150,-0.3197062793187797
37016151,2.3632651391380932e-11
37013076,-0.9755484314262048
37013077,-2.0226074686498237
37013078,1.3611857044095643
37013079,-2.1240051719360054
37013080,-0.9753189174562635
37013081,-1.9594438890923414
37013082,1.511322472773088
37013083,-2.1235008098831543
37013084,-0.7557821477833784
37008698,1.4144169346402293
37008699,-1.0960517273658184
37008700,-2.752925660868158
37008701,-2.0481556755226222
37008702,-1.6390128364895702
37008703,-2.0481353738578036
37008704,-2.2949916487341966
37008705,1.4149144511746101
36974389,0.41728032474101084
36974390,0.0
37014267,-0.3193723231405219
37014268,2.9309887850104133e-12
37014269,-0.151868648303207
37014270,1.4029312811087635
37014271,-2.420238533495933e-05
37014272,1.6411041059533034
37014273,0.32673207480962496
37009599,0.9618175748959139
37009600,0.9615395399506816
37009601,0.9618650402146827
37009602,0.9618867887521283
37009603,2.9523050670832163e-12
37009604,0.9617498565143627
37009605,0.9618420315460412
37009606,-0.00017141236317286257
37009607,-0.0003084187628701329
37009608,-0.00029464007487689514
36999326,1.7429297966912785
36999327,-0.894852863624692
36996073,-0.7498643377348699
36996074,0.0
36996075,-0.0972604773936041
36996076,-0.7490755028582967
36996077,-0.00010620942321537541
36996078,-0.09753975914771473
36996079,-0.7501826256064206
36989744,1.069721578107476
36989745,-0.7500734745990485
36989746,1.165065683578625
36989747,-0.06751685552875486
36989748,0.18257392494609093
36989749,-0.07195438779165997
36989750,2.219332811703257
36989751,2.219188937616302
36989752,4.308178422565998
36989753,-0.6386795554307696
36983669,3.1843439628490415
36983670,0.0716228831653467
36983671,0.0
36983672,-0.311072202862789
36983673,2.4993350906958938
36983674,-1.090775562898159
36983675,0.9779518703415988
36983676,1.050742778290342
37011180,0.979657069553241
37011181,-1.0333634201364816
37011182,1.187940387627691
37011183,0.5207211947874271
37011184,0.9540036003415935
37011185,0.22164421053804517
