,difference
36975451,1.8474285697706705
36975452,0.7100493037788738
36975453,1.1525590194158895
36975454,
36975455,3.6842404799774044
36975456,-2.383705560494036
36991787,-0.6537561513189587
36991788,-0.18290278587048192
36991789,0.5116263127336538
36991790,0.008256334427642287
36991791,-0.019184959120991607
36991792,
36991793,-0.15824062447367737
36991794,0.001687356545488683
36991795,0.5119731984074178
36991796,-0.6537278179142447
36987706,
36987707,-0.002377926151268639
36987708,-0.002390268589437028
36984387,-2.796438913163172
36984388,-2.795286991468174
36984389,
36973916,0.0023314124785258628
36973917,
36973918,0.6357729543419168
36973919,0.6319395432861938
37014846,-0.3225021761789435
37014847,
37014848,0.6392324978412489
37014849,-0.32172306866556255
37014850,0.2638954786330032
37014851,0.6440232803169295
37014852,1.5362414080180429
37014853,-0.40758197636870364
36991461,-0.20115953134830988
36991462,0.2714812377931821
36991463,0.48580690459641573
36991464,0.46868676881859983
36991465,2.516426642906424
36991466,0.2711348003210219
36991467,
36991468,0.26174989912254887
36991469,0.48263705596264117
36991470,0.4822700534039086
36969580,
36969581,-0.000589664225742581
37015999,-0.002874895472814387
37016000,
36972482,-7.205334362777762
36972483,-6.512927897146113
36972484,-6.51218067265512
36972485,
36972486,-6.516387886429328
36972487,0.0006992201562923128
36972488,-0.006332094167191826
36972489,-2.7587851021558265
36973802,-1.122394614330517
36973803,
37016100,-0.011041700054988723
37016101,
37016102,-1.010650115332055
36968620,1.8612513589134494
36968621,
37013461,-0.0024791589077040044
37013462,-0.24773140567572227
37013463,-0.006289125252010308
37013464,
37013465,-3.0843233508169305
37013466,-3.1016312909166572
37013467,-3.0894681396982833
37013468,-3.077828509344954
37014214,-0.47645527417094513
37014215,-0.47808974307889684
37014216,1.0685343103317848
37014217,
37008313,-1.616117880626632
37008314,-2.441525918020176
37008315,-1.6172509624360885
37008316,-0.003064224447655306
37008317,
37008318,-1.6157995351022407
37008319,-1.6175797679339894
37010696,-0.011913560198422601
37010697,
37010698,0.3998952993520106
37010699,0.40233014486364027
36982533,
36982534,-4.071953102647285
36982535,-3.1367279771980634
36982536,-3.1366348319108965
36982537,-2.1865246125751696
36982538,-1.5272351618023094e-05
36982539,0.00044909684399385696
36982540,-2.1892281598162526
36982541,0.0018103932198130224
36982542,-4.072972121913438
36984973,
36984974,-0.0017797816227016483
36984975,-1.4070535497312449
37008083,-0.07837088206576936
37008084,-1.2340166718508385
37008085,-0.4484967602066945
37008086,-0.5948342514068088
37008087,
37008088,-0.07945105221398308
37008089,-2.4055860075410465
37008090,-2.4038386231589755
37008091,-2.405407334820609
36996696,-3.345176016502819
36996697,-3.3416634942070687
36996698,2.2961323499393984
36996699,-2.141390993142636
36996700,-5.792840479796382
36996701,-3.619657585171467
36996702,-1.6128979303332471
36996703,
36974979,
36974980,-0.001654399195700762
36991779,-3.865947867432226
36991780,-8.179154174361344
36991781,-8.682094109976333
36991782,1.4826302528836663
36991783,
36991784,-4.730895082738357
36991785,-4.610033699724028
36991786,-7.567227388193572
36981550,-8.448580633437814
36981551,-10.681807906282756
36981552,-8.873928878646893
36981553,-5.450224727938036
36981554,-6.549252624616258
36981555,
36981556,-6.24289147902752
36981557,-8.636547375275825
36981558,-9.516857041242616
37016149,-0.3046135614719674
37016150,-0.3132310737328794
37016151,
37013076,-0.11150546989472332
37013077,-0.17544321705184984
37013078,-0.00023777366772037567
37013079,-1.5307098129588894
37013080,-0.1534334438816245
37013081,-0.028987904202494974
37013082,
37013083,-1.5246553377294276
37013084,-0.12456189918663085
37008698,0.008599557087336507
37008699,-0.18939297216161322
37008700,-1.7894361946523532
37008701,-1.0923182772754103
37008702,0.5804452622217013
37008703,-1.111607513054821
37008704,0.37668761100024994
37008705,
36974389,0.2847571366964132
36974390,
37014267,-1.4269845729158988
37014268,
37014269,-0.14959175362957922
37014270,-5.673638937674696
37014271,-0.0006557247335194916
37014272,-5.890908096744596
37014273,-1.68386853532769
37009599,1.111830358776416
37009600,1.1104502232770983
37009601,1.1119912354629093
37009602,1.1118717760866446
37009603,
37009604,1.1125698043862542
37009605,1.1123033285348072
37009606,0.0008011667840150949
37009607,-0.001898887038976227
37009608,-0.0008297745482082064
36999326,
36999327,-5.110611830349313
36996073,5.68366318477036
36996074,
36996075,6.217822953944417
36996076,5.683484899547498
36996077,-2.6351486967612914e-05
36996078,6.219713700814449
36996079,5.6808083853012015
36989744,1.0214548333060236
36989745,-0.7848778133506471
36989746,10.54096381089856
36989747,9.885441226061829
36989748,
36989749,9.899866471973212
36989750,10.697502161599218
36989751,10.698642759378743
36989752,12.836262012259539
36989753,9.369567556459813
36983669,-11.16769174181158
36983670,-5.552147628892442
36983671,
36983672,-5.962821230310993
36983673,-10.29174951597031
36983674,-12.041141906443812
36983675,-5.102162992693252
36983676,-9.237396499286888
37011180,-0.23444594443992628
37011181,-3.4852737989237426
37011182,
37011183,-3.0651041464700484
37011184,-0.3258637552149821
37011185,-3.4588488353817866
37011186,-0.7824315977906053
37011187,-2.953120957755573
37011188,-8.987705439149067
37011189,-4.220089153335039
36978937,2.987784326667878
36978938,-0.9660733838644262
36978939,-12.145026216770447
36978940,
36978941,-2.933196230041574
36978942,5.973183223677296
36978943,-3.429160006686544
36978944,-1.555272246167732
36978945,2.98813613205175
36978946,-0.8787330421708077
36981719,6.051072616032741
36981720,5.232070477762392
36981721,6.491258705642821
36981722,-4.135354944427689
36981723,5.024744645266026
36981724,6.07385168299399
36981725,10.262343362460001
36981726,-2.06308299347063
36981727,5.933762454728907
36981728,
36975564,-9.236982029698652
36975565,-10.279273152373435
36975566,-8.41598875102909
36975567,-6.816246961745719
36975568,
36975569,-11.029870485259607
36975570,-9.297029141772668
36975571,-7.282947363174344
37016184,-1.6155623722937662
37016185,
37016186,-1.6152281579896623
37016187,-2.027112063169568
37018483,-1.691986868051771
37018484,-1.6897494130157042
37018485,1.8332698676744315
37018486,
37018487,-0.0035622635086838272
37018488,-0.0035018848189167784
37006531,
37006532,-0.0032941220943030203
37006533,-0.3493437839626097
37011426,-2.5798684376864287
37011427,
37011428,-0.611292599504992
37011429,-2.5784971247973942
37011430,-0.002249172844159375
37011431,-2.5809947163074014
37011432,-0.0007651148891341109
36988935,
36988936,-2.960451242065858
36988937,-1.962047860186999
36988938,-7.211413712324315
36988939,-3.66995361482941
36988940,-4.220038911011159
36988941,0.6528937157021915
36988942,-2.409014722706786
36988943,-6.586626161741151
37016398,
37016399,0.4981712310927833
37016400,-7.202463074279649
37016401,0.33009903980769195
37016402,1.6572035989016456
37016403,1.6728957841419287
37016404,-5.698761608205416
36974877,
36974878,-0.076969986764027
37012819,0.17472781995599007
37012820,0.07189267193007254
37012821,0.014923615379814237
37012822,-0.29716323967335256
37012823,-2.6346257939723046
37012824,
37012825,-1.1693859092300158
37012826,-0.004205953207019775
37012827,-0.27199777138019954
37009403,-0.5557914473088204
37009404,1.2150299309940635
37009405,7.687103172483205
37009406,-0.05644478913501416
37009407,
37009408,3.277265922145091
37009409,-2.263806113709336
37009410,0.7164583379901899
36974459,-1.2882766758420985
36974460,-3.9780336031328716
36974461,-2.0822096068870906
36974462,
36974463,-1.610375253416123
36974464,-3.266564741057664
36974465,-2.975906813586562
36974466,-2.172134365345187
36974467,-3.170397386762943
37016176,-0.176507804289173
37016177,
37011942,0.7292406112034371
37011943,-1.8019331004254298
37011944,-0.3167593996147673
37011945,
37014802,-0.435592594899731
37014803,
36970327,0.005816086512254515
36970328,0.17310579408675153
36970329,
36970330,0.17432978503603636
36970331,-4.022078454056896
36970332,-4.022177752420191
37014770,-0.002525771658042686
37014771,0.03222910302991977
37014772,
37014773,-0.9927621605671959
37014774,-0.9921273592304374
37014775,-1.3275503644638604
37014776,0.13108795656071948
36961641,0.0007600371122293836
36961642,-2.315589418495307
36961643,-2.320265206976387
36961644,-1.2622392700092462
36961645,
36961646,-5.173818230944164
36961647,-5.167176081334446
36961648,-5.951291318408295
37012653,1.415255256508658
37012654,0.5456323325065
37012655,-0.6743262800135312
37012656,-0.006519505513097101
37012657,-0.672492661870308
37012658,-1.7998992210816027
37012659,-2.55163641167519
37012660,-0.6105921879136531
37012661,-2.2330978877728853
37012662,
37007501,0.5304679051074572
37007502,
37007503,-0.15815903445127333
37007504,-0.800931957718376
37007505,-0.7153908707776964
37007506,-0.7326374836625291
37007507,0.6104926835456581
37007508,-0.6180719763012803
37007509,4.149015800196025
37007510,-0.004905816449422673
36996187,-1.283827885445703
36996188,0.3029678858163436
36996189,11.105192882601159
36996190,-4.156915122345907
36996191,
36996192,6.560233349796732
36996193,1.0853436394733365
36996194,6.208831497846717
36996195,-3.4640408905924858
36994603,0.32313452213921323
36994604,-3.6587656366182273
36994605,6.2001227641006835
36994606,
36994607,5.484706946551171
36994608,0.42946516640583354
36994609,-4.202412747839048
36994610,0.32980376962439095
36994611,-4.141643667371483
36994612,-3.317580126531567
36959575,8.948052090954604
36959576,-1.577692087145067
36959577,
36959578,4.2148863324564445
36959579,4.210214902956125
36959580,3.3695599721665985
36959581,-0.5030787938950994
36959582,5.835953498628442
36959583,-0.8999614886917584
36959584,-1.0074128878350166
37012875,1.173133460014526
37012876,-0.8958303338195606
37012877,-2.090090003990383
37012878,1.033827953613013
37012879,-0.09738080952570272
37012880,
37012881,-2.500115764463658
37012882,-2.4988607591193386
37012883,-0.6606925252947917
36970028,
36970029,2.8699026766322504
36970030,-4.95978099232417
36970031,-6.518762960670642
36970032,-4.294305103526881
36970033,-3.9244403991062313
36970034,-8.260482157220167
36970035,-1.667927992907778
36970036,-6.752605881496095
36970037,-8.106211403631221
36995632,-5.330508930417324
36995633,-3.1462055307165713
36995634,-3.4291710152877783
36995635,-6.377195304976965
36995636,-1.8680276780962402
