,difference
36975451,-52.04345557718693
36975452,-24.34800803830231
36975453,0.23744530266844777
36975454,
36975455,0.9375488379994579
36975456,-49.5654877645309
36991787,0.3404832115845694
36991788,-2.5541639544553436
36991789,0.7186718195133834
36991790,1.0647086596821929
36991791,-2.1645071459430705
36991792,
36991793,-6.113889355542478
36991794,0.008175432332126475
36991795,0.7191055569433309
36991796,0.3343560612813449
36987706,
36987707,0.0002445910680819452
36987708,-0.00015733357274960724
36984387,5.326523894150711
36984388,5.340830472572236
36984389,
36973916,-0.0030166559996871456
36973917,
36973918,-5.914011670771977
36973919,-5.910536086935707
37014846,-0.23771721705071513
37014847,
37014848,-1.1675572092991686
37014849,-0.2360183135696019
37014850,1.1181559179551286
37014851,-1.16231290613473
37014852,-0.360576889534201
37014853,-0.29411163382209793
36991461,-51.82760920872916
36991462,-52.1801364069738
36991463,-29.030061613781598
36991464,-28.797398261568603
36991465,-28.336080852430186
36991466,-52.1793003820642
36991467,
36991468,-52.20302671575955
36991469,-29.0291240840708
36991470,-29.031679649849778
36969580,
36969581,0.017675642848834938
37015999,0.0012808536052233421
37016000,
36972482,1.0772406176743665
36972483,0.9670025363996544
36972484,1.0043857498697335
36972485,
36972486,0.9601755040829651
36972487,-0.03625916562013032
36972488,-0.02295613697440757
36972489,-1.326557068342801
36973802,-1.1264723346031644
36973803,
37016100,0.01255008509082245
37016101,
37016102,-1.0042871415505488
36968620,-1.691174190718772
36968621,
37013461,-0.0006033043247839487
37013462,4.922456044792455
37013463,-0.0017525635489619162
37013464,
37013465,1.5405000004984117
37013466,1.5345926986672112
37013467,1.5383494463929992
37013468,1.5383942396609314
37014214,-0.29833490140046814
37014215,-0.2913082190837336
37014216,1.1629763151625552
37014217,
37008313,-1.507381337056934
37008314,-4.104683121318633
37008315,-1.5024325531077096
37008316,-0.005713644739092416
37008317,
37008318,-1.5006326149463298
37008319,-1.4944800469950188
37010696,-0.00015719756707444077
37010697,
37010698,-4.211886119644224
37010699,-4.209395808614076
36982533,
36982534,-2.9405144136680406
36982535,16.98750063760923
36982536,16.977771138507336
36982537,11.408520391361478
36982538,4.049436488339815
36982539,-1.2016791498157247
36982540,11.409075407779682
36982541,-3.2457142012164297
36982542,-2.312879507961057
36984973,
36984974,1.3263680267057865
36984975,13.847899783433022
37008083,-0.0752657494967508
37008084,0.027968274993810383
37008085,-0.9755813360000616
37008086,-1.1111419954055037
37008087,
37008088,-0.07318984741625911
37008089,-0.7204841868256437
37008090,-0.7289272867404009
37008091,-0.7182911891418087
36996696,5.59453082106495
36996697,5.6064845931471154
36996698,-35.12439076545587
36996699,-32.97513322315871
36996700,3.9515024294178147
36996701,8.957624348582385
36996702,6.090528820640145
36996703,
36974979,
36974980,-0.0015824193287379273
36991779,-3.4673429841223253
36991780,-1.7181602933391673
36991781,-5.558182443244689
36991782,-4.70282258928539
36991783,
36991784,-1.7666495840602607
36991785,-2.1395075800241727
36991786,-6.338188346409865
36981550,-7.118073703708291
36981551,-1.389033674733497
36981552,0.056424940370447985
36981553,-4.812186666318269
36981554,-0.034449042105194394
36981555,
36981556,-9.012686996748215
36981557,-4.147341457392372
36981558,-3.033252557121074
37016149,-1.5244250580047947
37016150,-1.5315363999181102
37016151,
37013076,-11.931646967268648
37013077,-10.086173831901135
37013078,1.1761194769713654
37013079,-9.609706384690014
37013080,-11.933781800302427
37013081,-10.020258730527047
37013082,
37013083,-9.603878717230572
37013084,-11.751678981736319
37008698,19.89961966938381
37008699,-12.159568065651825
37008700,-12.579065061301122
37008701,-11.68494877974291
37008702,-10.483023967408826
37008703,-11.694319785728851
37008704,-9.689376865473065
37008705,
36974389,-0.2074182130220965
36974390,
37014267,-8.90829083297193
37014268,
37014269,-0.1678644323172831
37014270,-12.953075659513317
37014271,-0.001880992151542582
37014272,-11.465317462705439
37014273,-2.6823254501669163
