,rmsd
3077013,0.040344865101262
3077014,0.03819229954870178
3077015,0.0741582916269273
3077016,0.058799728489773356
3077773,0.10510868615455196
3077774,0.1965196497301544
3077775,0.11909325581839474
3077776,0.1946206464070667
3077777,0.31610668176766893
3077778,0.3145171134548009
3077779,0.18744622505636244
3077780,0.18322706949447493
3077781,0.10249649549737701
3086670,0.10756761144254373
3086672,0.19549805334898757
3086674,0.12980003758720987
3086676,0.18214065128679519
3086677,0.10966076478380123
3086679,0.31059569501410045
3086681,0.21636619632584023
3086684,0.11296091485671758
3086685,0.11368495332715747
3069424,0.3351628955188095
3069425,0.21427063563822493
3069426,0.33144804098645925
3069394,0.28673134573842507
3078577,0.09059079247295494
3078578,0.09107368083559925
3078579,0.15337830237177977
3078580,0.32962456184413447
3078581,0.34278010083553684
3078582,0.19632945115019512
3078583,0.19668431449758306
3078584,0.525316835824199
3078585,0.3419979237281486
3078586,0.3407106114163467
3078587,0.09068084687632702
3078588,0.3645237239547086
3078589,0.34237837392845555
3078590,0.34217963504204935
3078591,0.7492009193479795
3078592,0.7481424548914364
3078593,0.3567639829192295
3083031,0.07423296149256167
3083032,0.12446489803110296
3083033,0.12424739254191658
3083034,0.43958172272812257
3083035,0.3563736350823384
3083036,0.3563177066519437
3083037,0.30427392959349453
3083038,0.44155939053678456
3083039,0.30291972992479677
3083040,0.44173618176630014
3083041,0.4986716842449999
3086686,0.0910704662844933
3086687,0.09115113487738555
3086688,0.3831770161922776
3086690,0.34778087385572987
3086692,0.11428960852594706
3086693,0.11346785481054496
3086694,0.11187063804453044
3086695,0.3918941075187747
3086696,0.3581497347984111
3086697,0.37361837321249564
3086698,0.381327034828211
3086699,0.3729682393666561
3086701,0.3750695128222145
3086703,0.5881801238640547
3086706,0.37651911984026104
3086708,0.5451048288114264
3073066,0.1115413697965135
3073067,0.19879931554052094
3073068,0.1287282430240872
3073069,0.17579444746135167
3073070,0.11696438810254516
3073071,0.3062465784101507
3073072,0.16191488708651713
3073073,0.1160745380194347
3073074,0.1605462824343272
3068213,0.12300147752649407
3068214,0.14263601505297288
3068215,0.11402389055261214
3068216,0.9350901466147538
3068217,0.49745017679833853
3068218,0.15660507216467995
3068219,0.6260393159789359
3076359,0.20966311212104746
3076360,0.20799049865172078
3076361,0.21439307408381708
3076362,0.9693984466132398
3076363,0.15265235507758151
3076364,0.2413257413752935
3076365,0.14155206023350106
3076366,0.160491764541144
3076367,0.2414305366243641
3076368,0.1859060618930341
3076369,0.17539203594738356
3076370,0.1525756316339155
3076371,0.1538979275975286
3076372,0.1608722015162734
3076373,0.15279765153200314
3076374,0.1602436775722958
3076375,0.1633544023406388
3078187,0.13926631376584062
3078188,0.10564693275024002
3078189,0.13391640135346475
3078190,0.1335934012033876
3077735,0.08070335736568902
3077736,0.06220884679405623
3066287,0.11298871045025664
3081093,0.10524341524819895
3081094,0.2018568243380067
3081095,0.1052417444734165
3081096,0.1915344585032073
3081097,0.3429976658210046
3081098,0.3404051103770331
3081099,0.2069988592098055
3081100,0.2016076081547205
3071362,0.11185589332692793
3071363,0.198172066108955
3071364,0.2958350319290583
3071365,0.16660816613762622
3071366,0.23626935736322568
3071367,0.2363980053647522
3071368,0.3312505106593819
3076376,0.12117706983884205
3076377,0.19794514964152266
3076378,0.19036054857459145
3076379,0.16966187997812057
3076380,0.15217586801013702
3076381,0.1690489669526014
3076382,0.4754899332200439
3076383,0.6300712106957379
3076384,0.13427373811186824
3065954,0.12945594274960653
3074645,0.3712198392161786
3065934,0.04546980641564531
3065935,0.045487088602327745
3065936,0.04547892004793389
3065937,0.049537314466351776
3072268,0.05808152370547657
3072269,0.05808415016398267
3072270,0.05806586330505192
3072271,0.07691179266444678
6091369,0.5731686801839078
6095225,0.07902222065629566
6095226,0.22789659870201354
3080192,0.08206224526511073
3080193,0.07881067142508515
3080194,0.08412184533828254
3065349,0.1943724429239826
3065350,0.243831166535618
3065351,0.24021143037582604
3068145,0.2626085243937839
3068146,0.25969432910260554
3068147,0.08221246706880905
3068148,0.08263678514727155
3080319,0.20173639831721257
3080320,0.28438377721095937
3080321,0.28112151133167873
3080322,0.2080322746566008
3080323,0.7162566610404723
3080324,0.20350323731368583
3080325,0.7147608646119997
3080326,0.21821055547597848
3080327,0.20365887067478508
3080328,0.534067274707837
3080329,0.7138978566450805
3080330,0.17610154959203891
3080331,0.2037844983031035
3080332,0.5330969799642412
3080333,0.17646033410303474
3080334,0.7192661590600468
3073198,0.11984233257253936
3073199,0.09525009140028706
3082348,0.23928843145459092
3082349,0.24135335726365428
3082350,0.08807651073259078
3070371,0.39789710759083463
6095727,0.29502460141868975
6095728,0.2951212573940334
6095729,0.4381348485141585
6095730,0.4376732731053632
3076184,0.3201294520855531
3073664,0.0636331549597201
6093155,0.3724287082977274
6093156,0.37237280163052
6093157,0.3674387863579335
6093158,0.37287678044737993
3075375,0.08677665737453179
3075376,0.08661836098456994
3075377,0.12995065091911615
3075378,0.13034255896834004
3075379,0.17054536868326395
3075380,0.17038093511202623
3075381,0.1863219225751231
3075382,0.1860671589773863
3075383,0.20470441121842206
3075384,0.2068238758431655
3075385,0.23501474882840803
3075386,0.23560615235770838
3077861,0.0768709999050889
3077862,0.08154153683890285
3077863,0.05584922086133731
3077864,0.05910513097985606
3077865,0.30707055924989063
3077866,0.3068255868305983
3077867,0.3231883522533724
3077868,0.32651268262872696
3077869,0.30222863777118564
3077870,0.3025615421365966
3077871,0.3342325877332602
3077872,0.33927542053979476
3068771,0.12803210326056622
3068772,0.12361780876136748
3068773,0.23267271304108467
3068774,0.23263826328457318
3068775,0.2212397085404547
3068776,0.22130331981852275
3068777,0.12570638666721531
3068778,0.12479134792688222
3071445,0.18252487280874802
3071446,0.18467140534539958
3071447,0.18901406330087708
3071448,0.18356119240867833
3071449,0.3252834615571675
3071450,0.29778207380531535
3071451,0.3913470414444308
3071452,0.2945148630267184
3071453,0.3286143483936713
3071454,0.17038732460593453
3071455,0.31917966563836403
3071456,0.2975378054296766
3071457,0.6238890837448278
3071458,0.31925452373810137
3071459,0.3487708409024169
3071460,0.31980653863194713
3071461,0.7530471576122071
3071462,0.29560904672018523
3078471,0.24735418407558446
3065845,0.07789031903597544
3065846,0.08115346272526215
3065847,0.08232790964499598
3065848,0.06975007815002425
3081531,0.08576972548460962
3081532,0.09910758883721493
3081533,0.038805664190170334
3081534,0.04987939289601135
3081535,0.10682860725599966
3067318,0.3102870050232971
3067319,0.05835879115400929
3065553,0.09872672370379068
3065554,0.0602005547311678
3072956,0.10224099994081468
3072957,0.06276818697551904
6093777,0.2115027558732013
6093778,0.8800182805904311
6093779,0.2022850867419095
6093780,0.6388724887594706
6093781,0.8795134386225634
6093782,0.15318508822062374
6093783,0.3680121818846339
6093784,0.23592120366434158
6093785,0.38160629176725525
6093786,0.15294968925381483
3067299,0.08552286300044219
3067300,0.08154552754690003
3067301,0.080673847588359
3067302,0.07963234841886187
3086392,0.0793988106456951
3086393,0.08049091296016113
3086394,0.1664683957267542
3086395,0.3179794254330594
3086396,0.3319982887728784
3086397,0.19950705486554746
3086398,0.19995412090057527
3086399,0.5062108363963428
3086400,0.3174225281535543
3086401,0.31715418608939644
3086402,0.07912196009731663
3086403,0.6803822740799711
3086404,0.6824456688745631
3086405,0.3169875307353319
3086406,0.3310924817146501
3086407,0.38033198603495094
3068415,0.09306018812387089
3068416,0.10659694138645683
6093826,0.6806372129951896
6093827,0.7947785518859083
6093828,0.07847390419353427
6093829,0.6266578396661777
6093830,0.20851506393962038
6093831,0.5783784940009772
6093832,0.1847134578252822
6093833,0.10241172225544128
6093834,0.618353568284012
6093835,0.2307326304254585
3083313,0.05083574945545023
3083314,0.0495883421762395
3083315,0.14815984236743882
3083316,0.07259143346567559
3071119,0.1582389010033661
3071120,0.11820842681159464
3068619,0.0655047571754514
3068620,0.06629202442853262
3068621,0.11815333307307387
3068622,0.07288636729994302
3081432,0.11185243474819807
3081433,0.09022883206812086
3079590,0.09934222603586478
3079591,0.14606143342045083
3079592,0.14506167510538778
3083917,0.1294339372483971
3083918,0.09941056698747573
3083919,0.09166225681570628
3083920,0.3672369377777449
3083921,0.3627533543915845
3083922,0.36531482954611716
6095731,0.1807658378599451
6095732,0.3398723981545656
6095733,0.33853850778449823
6095734,0.18458137983880268
6095735,0.3936875476238861
6095736,0.37114312674251887
6095737,0.37768869320546916
3074241,0.11592584156369976
3074242,0.1096838028163521
3074243,0.27672652851810897
3074244,0.2755477441446938
3073782,0.2693067240935704
3073783,0.2708290841187603
3085931,0.23764166529286943
3075520,0.5965587482213555
3075521,0.0903818499676162
3083762,0.12496304421010819
3083763,0.12265452349732058
3083764,0.13558346450442638
3083765,0.24789881250178167
3083766,0.13577234805323765
3083767,0.24867229307119235
3079035,0.8761005922376898
3079036,0.2765184168593323
3073359,0.037664879293326264
3066366,0.17858631221154514
6097533,0.32231284079192457
6097534,0.11132708647125551
6097535,0.22703657642549036
6097536,0.9330554036508879
6097537,1.0881571959228897
6097538,1.2926300835916706
6097539,1.023667836614544
6097540,1.0652476851058195
6097541,0.12186747191308825
6097542,0.11952734923205022
6097543,0.12754949630719092
3069480,0.06976470114840637
3075670,0.17832731193919538
3075519,0.1863280503921469
3071269,0.11998045405584909
3084029,0.3623566947372329
3084030,0.36908267359560964
6095158,0.2005402036138387
6095159,0.10659046770139916
6095160,0.21195234020294335
6095161,0.5120957374262455
6095162,0.2698808645362
6095163,0.27606288096601445
6095164,0.18809933375157994
6095165,0.6506362965129395
6095166,0.39307823660246555
6095167,0.512223898750095
6095168,0.12530561401586351
3072821,0.21057667739116698
3072822,0.23195022903066242
3072823,0.15262192322509943
3072824,0.12213796127852335
3072825,0.21140325566830517
3072826,0.1166723674124824
3072827,0.25425393825529474
3072828,0.11917796268490012
3075657,0.12738011921935785
3075658,0.1712993150724257
3075659,0.146170200575504
3075660,0.16125897342020382
3075661,0.14501552708517532
3075662,0.14618201635511754
3075663,0.22777193526647016
3075664,0.1708039187908714
6094113,0.06914900004090906
6094114,0.14544610035422478
6094115,0.10082034812281675
6094116,0.1036847302342214
6094117,0.07235036164082329
6097998,1.222412002717906
6097999,0.3313730387096968
6098000,0.17696345215131795
6098001,0.620058977669727
6098002,0.24244084143277111
6098003,0.5267667375815209
6098004,0.07776972971192816
6092542,0.25146272019808363
6092543,0.40647695216035334
6092544,0.25358801423549887
6092545,0.11467217144355345
6092546,0.4025013896702538
