param    count     abs_mean      std
  b10    54072   0.11756828   3.0686
  b87    84974   0.23589735   3.2795
  b21    60698   0.10392665   2.9728
   b4   104113   0.12384399   2.6490
   b5   661106   0.14340884   2.8610
  b85   475982   0.12630968   2.8225
   b8   127445   0.14137003   2.7964
   b3    23001   0.08344210   2.8195
   b7    98811   0.35682997   3.6648
  b84   800959   0.06194745   3.1852
   b1   245898   0.04548159   3.2731
   b9    51507   0.03649207   3.0868
  b18    10091   0.05148234   3.0193
  b88    21365   0.10244311   2.9612
  a10  1647645   0.13212429   2.8641
  a21   121561   0.17482813   2.9781
  a11   858844   0.13714872   2.8439
  a20   246368   0.12929925   2.9564
   a1  1848473   0.01886308   3.1966
  a18    39027   0.50440817   3.5995
  a28    59290   0.04919018   2.9633
  a15    11593   0.07873316   2.7069
   a2   499922   0.07465610   3.0754
  t47   231377   0.11812403   2.8286
  t44  2644424   0.14340884   2.8610
  t78    18519   0.20855329   2.9934
  t75   138549   0.09597557   3.0599
  t74   181406   0.16170199   3.1081
  t77    41490   0.09958489   3.1497
  t22     5146   0.10505738   2.8473
  t17   478411   0.02925925   2.6153
  t51   193921   0.17821479   3.6971
  t18    95171   0.02321153   2.6810
  t19    28977   0.11614255   2.7021
  t58    64050   0.48889970   4.1090
   t1   639588   0.08006953   3.3252
   t2   111200   0.37805039   3.2343
   t4   630672   0.14356498   3.1483
  t67    54562   0.01660012   3.1692
  t64   501842   0.15236664   3.2178
 t108     4361   0.36698968   2.8334
  t76     9914   0.27148063   2.8460
 t109     3230   0.45566106   3.0833
   t3   584623   0.02426948   3.5239
   i1   889464   0.13013343   2.8380
   i4    87355   0.17311077   3.1394
   i2    11538   0.07132358   2.7056
   b2    93766   0.01660244   2.6028
  t66    20494   0.04023171   2.4296
 t106    12591   0.32652242   3.0316
  b16    43821   0.08886389   2.8279
  t96    20364   0.30568250   2.9869
  t95    89413   0.01880873   2.8611
   t9   108515   0.22967690   2.6662
  b59    20597   0.12719657   3.0649
  b57     6373   0.08744124   3.4770
  b56    13774   0.09733318   3.3210
   b6    56060   0.08498876   2.5832
  a31    10153   0.12312268   3.0653
  a32    51239   0.11013359   3.2400
  a14   196685   0.05513987   2.6212
  a13    64626   0.02365285   2.3782
 t152     4158   0.63417384   2.6437
 t121    52400   0.14915772   3.0759
  t80   226218   0.09527629   2.4838
  t45   218707   0.08713876   2.5832
 t150     1552   0.71684405   2.5380
  t43   163752   0.13803696   2.3939
   i6    34676   0.05108955   2.4661
   a4    43342   0.05343204   2.9169
   a6     9846   0.04753702   2.8985
   a3    11337   0.05742794   2.9426
  t73    55833   0.35180151   2.7550
  t35     2122   0.03598401   2.1878
  t29     1300   0.13843639   2.3225
  t16    44316   0.04329255   2.9294
  t15    45172   0.05527583   2.9342
  b42     2177   0.04178501   2.4145
  a25     2080   0.06198680   2.4363
  a26     1040   0.06198680   2.4363
 t83a     4078   0.09020945   2.4321
  b20     6685   0.05751016   2.3088
 t107     6130   0.06439947   2.2630
  t97    19701   0.12314048   2.3520
 t110     5589   0.10068935   2.2381
  b19    26924   0.13122418   3.2409
  b12   101142   0.09410372   3.0348
  b69    31312   0.15686933   2.4010
  a22    60462   0.12661537   3.0076
 t105    38675   0.14587222   3.5024
  t85    76557   0.08497335   3.0665
  t84   124975   0.09517205   3.0139
  b70    17531   0.11590024   3.2197
  t10     8974   0.32555515   2.3837
  b13    47155   0.03724611   2.5703
  b11    25775   0.14203927   2.6423
  b35    19796   0.06662090   2.5167
  b38     3155   0.38977923   2.4017
 a22a    44233   0.03394077   2.4648
  t86    93592   0.03456448   2.5650
  t82    15935   0.05567194   2.6837
  t83    30039   0.07288380   2.5627
  t20    43105   0.03875278   2.5782
  t90     5359   0.68057046   2.6075
 t140     4001   0.32379558   2.4577
 t138    31746   0.07260897   2.5573
   i7    24222   0.07368878   2.5718
  b14    10792   0.24437754   2.8646
  t93    16219   0.15213757   2.7678
  t94    16073   0.33944839   2.9595
  a19    38507   0.60670389   4.2942
  b52    13800   0.13548614   2.8925
  a37     6202   0.14419494   2.9352
  t48    14068   0.14620998   2.6194
 t117     9675   0.09712981   3.1145
 t115    17021   0.14813058   2.6088
 t116     6551   0.17725926   2.9915
  b24     5150   0.09916843   2.5988
  b27     4315   0.11447256   2.8051
  a16     6978   0.01384443   2.5124
  t23    22286   0.07556462   2.9165
 t166    14830   0.02469039   2.5030
  t99      805   0.44832021   4.5673
  t68     1579   0.32561336   3.8120
  b36     2084   0.02560204   2.1335
 a18a     6612   0.47415986   5.4246
   a8     6311   0.12693625   3.6933
   a9    45575   0.36728197   3.8339
   a7     8050   0.18478132   4.2593
 t139     1924   0.00717973   2.1070
  b68    17805   0.16529047   3.0708
  b37      879   0.03900424   2.6403
  b28     1304   0.23123396   1.9394
 t165     1308   0.23026777   1.9366
 t82a       42   2.46826788   2.6135
  t98      911   0.87292383   2.9553
  b17     8896   0.05002660   2.5957
  a29     6580   0.07473270   2.4277
 t111    34616   0.07231440   2.5373
  b25     1467   0.32247048   2.2465
 t118    26297   0.06839681   2.6304
 t146      753   0.20836669   2.8723
 t144      455   0.44118403   3.0781
  t62      682   0.59233965   7.5115
  t61      341   0.59233965   7.5115
 t149    11974   0.26528054   3.9129
 t148     8745   0.39525959   3.1742
  t60      538   1.70836756   3.3495
  t59      269   1.70836756   3.3495
   i3     4685   0.09632373   3.6913
  t14    10104   0.09148567   2.8011
  t13     5784   0.00558976   2.8561
