param    count     abs_mean      std
   a1  1848473   0.00924024   3.3610
   a2   499922   0.05123227   3.2374
   a3    11337   0.08736613   3.0506
   a4    43342   0.09234496   3.0328
   a5      756   0.19226064   2.9223
   a6     9846   0.08811913   3.0156
   a7     8050   0.12683408   4.3449
   a8     6311   0.07675217   3.8161
   a9    45575   0.31355858   3.9247
  a10  1647645   0.11674209   2.9817
  a11   858844   0.12948313   2.9464
  a12     2143   0.36765755   2.3511
  a13    64626   0.00423956   2.4961
  a14   196685   0.03510043   2.6958
  a15    11593   0.16759812   2.7983
  a16     6978   0.07297879   2.5796
  a17        4   0.08613573   0.1610
  a18    39027   0.67697664   3.7397
 a18a     6612   0.27102735   5.8420
  a19    38507   0.67832436   4.4925
  a20   246368   0.10485816   3.0645
  a21   121561   0.15881426   3.0775
  a22    60462   0.11966570   3.1205
 a22a    44233   0.02138712   2.5360
  a23       20   0.13379654   0.2767
  a24      271   0.30168236   3.0473
  a25     2080   0.02804298   2.4717
  a26     1040   0.02804298   2.4717
  a27       16   0.10619215   0.4964
  a28    59290   0.09705742   3.0629
  a29     6580   0.08373064   2.5010
  a31    10153   0.15475589   3.1116
  a32    51239   0.13996159   3.3328
  a33      783   0.39421973   2.7232
  a34     1090   0.15607190   2.2094
  a37     6202   0.15104903   3.0119
  a38      923   0.02819140   2.9114
  a39        6   0.23041441   0.3753
  a40      978   0.87407219   3.2033
   b1   245898   0.09660636   3.4338
   b2    93766   0.00272014   2.7614
   b3    23001   0.03064014   2.9037
   b4   104113   0.10374778   2.7528
   b5   661106   0.13427361   2.9779
   b6    56060   0.05877561   2.6518
   b7    98811   0.41891239   3.8731
   b8   127445   0.12874269   2.8858
   b9    51507   0.02231516   3.1903
  b10    54072   0.07730519   3.1725
  b11    25775   0.12811787   2.6900
  b12   101142   0.09065300   3.1627
  b13    47155   0.02711392   2.6405
 b13a      159   1.74042590   2.5053
  b14    10792   0.31749532   2.9187
  b15      402   1.60341476   4.5373
  b16    43821   0.10842799   2.9701
  b17     8896   0.04416748   2.6769
  b18    10091   0.05316761   3.1086
  b19    26924   0.10013997   3.3461
  b20     6685   0.11863578   2.3929
  b21    60698   0.05472075   3.0760
  b22     3356   0.55356067   3.2377
  b24     5150   0.02842242   2.6577
  b25     1467   0.34058310   2.3414
  b26       34   1.08432381   1.5492
  b27     4315   0.05112008   2.8610
  b28     1304   0.28482206   2.0388
  b30       69   0.20236211   2.0867
  b31       38   0.14333420   0.7946
  b32      404   0.02533978   1.3426
  b33       20   0.13379654   0.2767
  b34      634   0.67178052   3.0878
  b35    19796   0.04775952   2.5915
  b36     2084   0.03697429   2.1970
  b37      879   0.03939857   2.6235
  b38     3155   0.33704286   2.4174
  b39       16   0.10619215   0.4964
  b41     2705   0.06026651   2.3613
  b42     2177   0.00419722   2.4537
  b43       21   1.31858407   1.5615
  b44       10   0.25587794   2.2081
  b45       26   0.19574185   2.1303
  b46       62   0.43796512   1.7246
  b51     1889   0.13249668   2.6939
  b52    13800   0.13856197   2.9742
  b53      596   0.07812824   2.0510
  b54        7   0.76069178   0.4811
  b56    13774   0.11183029   3.4786
  b57     6373   0.16520887   3.5205
 b57a      801   0.26512715   2.5132
  b58      166   0.29982298   2.1778
  b59    20597   0.15933368   3.1105
  b60       48   1.08309327   1.4600
  b61      249   0.69496756   3.1699
  b62       27   0.72668437   2.1926
  b64      246   0.89526640   3.3709
  b65      118   1.01972682   3.5123
  b67       18   0.53644245   1.4547
  b68    17805   0.11549904   3.2597
  b69    31312   0.19218313   2.4988
  b70    17531   0.11751099   3.4372
  b71      249   0.02162366   2.3716
  b72     2430   0.03635128   1.9766
  b73       20   0.88650730   1.7875
  b76        6   0.50128424   1.4503
  b77       14   0.78103310   1.2665
  b84   800959   0.03748069   3.3473
  b85   475982   0.11699628   2.9228
  b86      227   0.81715674   2.3831
  b87    84974   0.23993358   3.4065
  b88    21365   0.18400797   3.0186
   i1   889464   0.11728893   2.9491
   i2    11538   0.15933732   2.7964
   i3     4685   0.00093989   3.7332
   i4    87355   0.15340895   3.2517
   i5     1600   0.49228109   2.6386
   i6    34676   0.02518592   2.5514
   i7    24222   0.07004738   2.6250
   t1   639588   0.05856445   3.5085
   t2   111200   0.48808521   3.3814
   t3   584623   0.01689208   3.6845
   t4   630672   0.22924488   3.2905
   t5     5378   0.34324085   3.0648
   t6      205   0.19454955   1.0123
   t7        6   0.09721784   0.2235
   t9   108515   0.28189832   2.8020
  t10     8974   0.34162326   3.2793
  t11      282   0.25216119   2.2850
  t12        6   0.97955331   0.8539
  t13     5784   0.07204936   2.8683
  t14    10104   0.07839618   2.9458
  t15    45172   0.08502768   3.0418
  t16    44316   0.08434971   3.0505
  t17   478411   0.01400177   2.7891
  t18    95171   0.06833937   2.7677
 t18a     2284   0.64842432   3.4146
 t18b       54   2.71105943   2.4072
  t19    28977   0.07404781   2.7652
 t19a     2096   0.68751468   3.4714
  t20    43105   0.00920421   2.6354
  t21     2681   0.06465092   2.3139
  t22     5146   0.12236674   3.0028
  t23    22286   0.00667965   2.9968
  t24     3731   0.04118137   3.3052
  t25      201   0.82973749   7.3116
  t26      272   0.07281185   2.0381
  t27     4760   0.10703382   2.9140
  t28       75   0.13131074   2.4997
  t29     1300   0.13557947   2.3643
  t30       76   0.01058705   2.0985
  t31       85   0.03824148   2.0003
  t32      220   0.04744960   1.9981
  t33       86   0.69691659   1.1734
  t34      667   0.02776763   3.0506
  t35     2122   0.08868481   2.1846
  t36      158   0.22154221   1.9848
  t37      446   0.11717968   2.1435
  t38       57   0.51927584   1.9722
  t39      508   0.14801885   2.1602
  t40      800   0.09274863   2.3289
  t41      581   0.22190410   2.5475
  t42     1417   0.02915214   3.0333
  t43   163752   0.12600702   2.5097
  t44  2644424   0.13427361   2.9779
  t45   218707   0.06187460   2.6515
  t46     5533   0.06372067   2.6627
  t47   231377   0.09715466   2.9242
  t48    14068   0.08136919   2.7170
 t48a      510   0.06973729   2.1462
  t49      752   0.90579851   3.2377
  t50    77402   1.65298658   4.6061
  t51   193921   0.31934800   4.0004
  t52      451   0.63580115   2.4725
  t53      263   0.51088230   2.1481
  t54       27   0.26286195   0.6577
  t55       39   0.02414401   0.7286
  t56       68   1.82375793   3.4577
  t57      304   0.87601830   2.5289
  t58    64050   0.61642934   4.3054
  t59      269   1.68523564   3.4196
  t60      538   1.68523564   3.4196
  t61      341   0.47882974   7.6568
  t62      682   0.47882974   7.6568
