  pid   typ      v1      v2       Δ
   b1   len    1.53    1.49   -0.04
   b1     k  419.99   53.96 -366.03
   b2   len    1.50    1.47   -0.04
   b2     k  484.20   50.22 -433.97
   b3   len    1.53    1.50   -0.03
   b3     k  418.63   58.16 -360.48
   b4   len    1.47    1.44   -0.02
   b4     k  540.33   51.72 -488.61
   b5   len    1.39    1.35   -0.05
   b5     k  765.15  143.57 -621.58
   b6   len    1.38    1.37   -0.01
   b6     k  898.59  205.15 -693.44
   b7   len    1.46    1.38   -0.09
   b7     k  457.10   27.16 -429.95
   b8   len    1.39    1.39    0.00
   b8     k  640.62   79.12 -561.49
   b9   len    1.47    1.44   -0.03
   b9     k  467.38  103.28 -364.10
  b10   len    1.39    1.37   -0.01
  b10     k  644.63   59.71 -584.92
  b11   len    1.37    1.39    0.03
  b11     k  566.48   54.89 -511.59
  b12   len    1.34    1.28   -0.06
  b12     k  760.41  111.44 -648.97
  b13   len    1.31    1.31    0.00
  b13     k 1023.29  311.32 -711.96
 b13a   len    1.30    1.30    0.00
 b13a     k 1171.51 1171.51    0.00
  b14   len    1.42    1.41   -0.01
  b14     k  545.28  105.36 -439.91
  b15   len    1.28    1.24   -0.04
  b15     k 1090.07  498.31 -591.76
  b16   len    1.42    1.37   -0.05
  b16     k  434.31   17.85 -416.47
  b17   len    1.36    1.40    0.05
  b17     k  598.99   54.00 -544.99
  b18   len    1.37    1.38    0.01
  b18     k  673.95  121.91 -552.04
  b19   len    1.38    1.36   -0.02
  b19     k  650.58   74.02 -576.56
  b20   len    1.33    1.37    0.04
  b20     k  584.28   82.53 -501.76
  b21   len    1.22    1.22    0.00
  b21     k 1527.02  710.20 -816.82
  b22   len    1.25    1.26    0.01
  b22     k 1187.24  482.07 -705.17
  b23   len    1.38    1.35   -0.03
  b23     k  603.58    0.00 -603.58
  b24   len    1.44    1.42   -0.02
  b24     k  669.70   78.38 -591.32
  b25   len    1.50    1.48   -0.03
  b25     k  600.48   88.26 -512.22
  b26   len    1.32    1.32    0.00
  b26     k 1338.56  609.47 -729.08
  b27   len    1.16    1.17    0.01
  b27     k 2687.72 1873.53 -814.19
  b28   len    1.23    1.22   -0.01
  b28     k 2349.40 1587.16 -762.24
  b29   len    1.32    1.32   -0.01
  b29     k  922.97  169.55 -753.42
  b30   len    1.34    1.34   -0.00
  b30     k  935.78  453.42 -482.36
  b31   len    1.22    1.20   -0.02
  b31     k 1902.70 1065.10 -837.59
  b32   len    1.67    1.71    0.04
  b32     k  542.88   40.97 -501.92
  b33   len    1.59    1.60    0.01
  b33     k  864.78  568.89 -295.89
  b34   len    1.42    1.27   -0.15
  b34     k  578.32   27.55 -550.76
  b35   len    1.38    1.35   -0.03
  b35     k  620.37  115.59 -504.78
  b36   len    1.32    1.34    0.02
  b36     k  472.80   10.97 -461.82
  b37   len    1.36    1.31   -0.05
  b37     k  661.89  107.23 -554.66
  b38   len    1.31    1.28   -0.03
  b38     k 1089.10  335.33 -753.76
  b39   len    1.15    1.15    0.00
  b39     k 2440.22 2300.59 -139.63
  b40   len    1.12    1.12   -0.00
  b40     k 3236.63 2326.17 -910.46
  b41   len    1.35    1.43    0.08
  b41     k  436.49  110.89 -325.60
  b42   len    1.27    1.24   -0.03
  b42     k 1181.98  654.52 -527.46
  b43   len    1.42    1.40   -0.02
  b43     k  425.40   85.84 -339.56
  b44   len    1.81    1.71   -0.10
  b44     k  474.02  455.52  -18.50
  b45   len    1.34    1.37    0.03
  b45     k  589.56   75.37 -514.19
  b46   len    2.10    2.14    0.04
  b46     k  273.36   10.91 -262.45
  b47   len    1.60    1.60    0.00
  b47     k  750.00  750.00    0.00
  b48   len    2.19    2.22    0.03
  b48     k  176.82   67.87 -108.96
  b49   len    2.33    2.37    0.04
  b49     k  162.47  153.80   -8.66
  b50   len    2.60    2.60    0.00
  b50     k  150.00  150.00    0.00
  b51   len    1.80    1.83    0.03
  b51     k  280.98   26.76 -254.21
  b52   len    1.76    1.78    0.02
  b52     k  365.11   26.17 -338.94
  b53   len    1.67    1.73    0.06
  b53     k  194.99    0.00 -194.99
  b54   len    1.67    1.66   -0.01
  b54     k  389.11  175.90 -213.21
  b55   len    1.52    1.52    0.00
  b55     k  991.94  262.78 -729.16
  b56   len    1.83    1.86    0.03
  b56     k  332.80   59.78 -273.02
  b57   len    1.80    2.01    0.21
  b57     k  335.28   23.55 -311.73
 b57a   len    1.74    1.81    0.07
 b57a     k  334.61   35.37 -299.24
  b58   len    1.84    1.75   -0.09
  b58     k  290.49   28.12 -262.37
  b59   len    1.48    1.49    0.01
  b59     k 1140.45  388.58 -751.88
