param    count     abs_mean      std
  b10    54072   0.03988821   3.1336
  b87    84974   0.20329201   3.3893
  b21    60698   0.02643304   3.0471
   b4   104113   0.08124367   2.7470
   b5   661106   0.11062500   2.9514
  b85   475982   0.09000231   2.9016
   b8   127445   0.09534164   2.8912
   b3    23001   0.02700403   2.9199
   b7    98811   0.35968547   3.8569
  b84   800959   0.00063943   3.3398
   b1   245898   0.13680056   3.4292
   b9    51507   0.06714514   3.1646
  b18    10091   0.00254741   3.1254
  b88    21365   0.18047202   3.0480
  a10  1647645   0.09136690   2.9594
  a21   121561   0.12837710   3.0450
  a11   858844   0.10293037   2.9235
  a20   246368   0.06018429   3.0636
   a1  1848473   0.05262803   3.3568
  a18    39027   0.64317159   3.7569
  a28    59290   0.10977255   3.0467
  a15    11593   0.14181875   2.7851
   a2   499922   0.01800098   3.2275
  t47   231377   0.07235048   2.9108
  t44  2644424   0.11062500   2.9514
  t78    18519   0.15169463   3.0493
  t75   138549   0.01164921   3.1293
  t74   181126   0.11307731   3.1875
  t77    41490   0.00515427   3.2251
  t22     5146   0.00751717   3.0287
  t17   478411   0.00467884   2.7429
  t51   193921   0.27397124   3.9404
  t18    95171   0.10697691   2.7860
  t19    28977   0.01988772   2.8031
  t58    64050   0.57935680   4.2837
   t1   639588   0.01504697   3.4867
   t2   111200   0.53728203   3.4227
   t4   630672   0.26785906   3.2973
  t67    54562   0.08761125   3.2570
  t64   501842   0.06229247   3.3544
 t108     4361   0.43027087   2.9174
  t76     9914   0.20139405   2.9262
 t109     3230   0.53631297   3.1619
   t3   584623   0.05882160   3.6904
   i1   889464   0.09166339   2.9288
   i4    87355   0.10519795   3.2297
   i2    11538   0.13304884   2.7826
   b2    93766   0.01596034   2.7221
  t66    20494   0.01175208   2.4793
 t106    12591   0.29069287   3.1499
  b16    43821   0.14522979   2.9485
  t96    20364   0.37926170   3.1410
  t95    89413   0.06340834   2.9772
   t9   108515   0.31350706   2.7767
  b59    20597   0.15725011   3.1925
  b57     6373   0.13433330   3.6393
  b56    13774   0.11854314   3.6373
   b6    56060   0.03297629   2.6615
  a31    10153   0.15298519   3.1957
  a32    51239   0.13561664   3.4520
  a14   196685   0.01049134   2.7003
  a13    64626   0.02688765   2.5185
 t152     4158   0.69933839   2.7034
 t121    52106   0.16497265   3.2213
  t80   226218   0.05315657   2.5950
  t45   218707   0.03565975   2.6617
 t150     1552   0.80806976   2.5537
  t43   163752   0.10434778   2.5142
   i6    34676   0.00416502   2.5765
   a4    43342   0.08677296   2.9632
   a6     9846   0.07716296   2.9485
   a3    11337   0.09458148   2.9889
  t73    55512   0.30279555   2.8330
  t35     2122   0.10219726   2.2213
  t29     1300   0.14612307   2.3141
  t16    44316   0.07692811   2.9762
  t15    45172   0.09106083   2.9821
  b42     2177   0.00009019   2.4582
  a25     2080   0.02547289   2.4814
  a26     1040   0.02547289   2.4814
 t83a     2039   0.04820034   2.4752
t83ax     2271   0.11938767   2.5902
  b20     6685   0.11381550   2.3884
 t107     6130   0.12038282   2.3274
  t97    19701   0.20048454   2.4097
 t110     5589   0.16033466   2.2939
  b19    26924   0.09051211   3.2691
  b12   101142   0.05920338   3.1524
  b69    31312   0.21607449   2.4910
  a22    60462   0.08408794   3.1173
 t105    38675   0.10297349   3.5255
  t85    76557   0.05978169   3.1527
  t84   124975   0.05416577   3.1529
  b70    17531   0.08262011   3.4528
  t10     8974   0.34628980   3.2367
  b13    47155   0.00901180   2.6536
  b11    25775   0.08715715   2.7183
  b35    19796   0.01774924   2.6103
  b38     3155   0.30768388   2.3912
 a22a    44233   0.01179841   2.5437
  t86    93592   0.01251765   2.6510
  t82    15775   0.01179585   2.6997
  t83    29807   0.02156061   2.6439
  t20    43105   0.00906284   2.6385
  t90     5359   0.57302052   2.5856
 t140     4001   0.22452523   2.4783
 t138    31746   0.02185596   2.6748
   i7    24222   0.02995384   2.6223
  b14    10792   0.35992120   2.9460
  t93    16219   0.24285424   2.8371
  t94    16073   0.48078286   3.0515
  a19    38507   0.62844699   4.4979
  b52    13800   0.08653408   2.9621
  a37     6202   0.09489009   2.9963
  t48    14068   0.07034003   2.7320
 t117     9675   0.05355515   3.1672
 t115    17021   0.09478972   2.7018
 t116     3122   0.14592434   3.4525
  b24     5150   0.02661353   2.6365
  b27     4315   0.04420320   2.8482
  a16     6978   0.08561810   2.5653
  t23    22286   0.06269061   2.9835
 t166    14830   0.09338523   2.5560
  t99      805   0.57587233   5.2202
  t68     1579   0.45954617   4.2205
  b36     2084   0.07240058   2.1660
 a18a     6612   0.20266034   5.6931
   a8     6311   0.11099997   3.7401
   a9    45575   0.34763400   3.8734
   a7     8050   0.17039280   4.2823
 t139     1924   0.05448256   2.1468
  b68    17805   0.09506087   3.1509
  b37      879   0.11454788   2.7337
  b28     1304   0.30693564   2.0175
 t165     1308   0.30572056   2.0145
 t82a       21   1.91287361   3.2951
t82ax      181   0.32582368   3.9453
  t98      911   1.17761738   2.9966
  b17     8896   0.02324229   2.6646
  a29     6580   0.04918135   2.4898
 t111    34616   0.04094255   2.6039
  b25     1467   0.38216908   2.3418
 t118    24826   0.11048850   2.7377
 t146      753   0.32994043   3.0479
 t144      455   0.49355377   3.2343
  t62      682   0.46358917   7.6395
  t61      341   0.46358917   7.6395
 t149    11974   0.33285351   4.1215
 t148     8745   0.39273267   3.2957
  t60      538   1.82152687   3.3892
  t59      269   1.82152687   3.3892
   i3     4685   0.04623644   3.8828
  t14    10104   0.01006634   2.9348
  t13     5784   0.11961394   2.9918
 t120     1284   0.47116532   6.4421
 t119     2143   1.98626914  15.2110
   i5     1600   0.51719350   2.5953
  b61      249   0.75443020   3.5064
  b65      118   1.01097700   4.1818
  a40      978   0.81322896   3.7094
t123a     1545   1.03625613   3.8572
  t46     5533   0.07309496   2.6517
  b64      246   0.87164245   3.8055
 t159      664   0.87828081   3.8839
 t147     4971   0.40096503   4.3291
 t145     3689   0.55865855   3.2980
t141b     7914   0.02171002   2.3609
t141a    42330   0.02081022   2.5693
  b41     2705   0.00866115   2.3566
t141c    16580   0.09511353   2.6986
 t129     2320   0.04701716   2.3135
  t21     2681   0.06058620   2.3438
  t69     2260   0.05197919   2.6728
  b34      634   0.68903203   3.1326
 t134     1060   1.12625127   3.2264
  t79    11766   0.12243418   4.6657
  t52      451   0.63350230   2.4137
  t53      263   0.55017677   2.1027
  b51     1889   0.12420364   2.7102
  a34     1090   0.11476593   2.2347
t116a     3429   0.14758306   2.7126
  t41      581   0.18671583   2.6004
  t27     4760   0.20307927   2.8087
  t40      800   0.13721819   2.4176
  t26      272   0.06185959   2.0740
  t24     3731   0.10576942   3.2589
t122c     2466   0.16637959   2.5573
  b71      249   0.09569098   2.2911
  t11      282   0.17833450   2.1643
  t42     1417   0.10779279   2.8239
  t34      667   0.21528169   2.9940
  t32      220   0.06381738   1.9765
  t31       85   0.01098132   2.1450
  t30       76   0.09348975   2.2371
   t5     5378   0.45373395   3.0445
 t136      480   0.82158659   3.0317
  a38      923   0.03688202   2.9250
  b53      596   0.08214500   2.0943
t142a      455   0.06980183   2.3142
   a5      756   0.20702980   2.8105
  t72     3106   0.05015004   2.9451
  t71     1241   0.06076352   4.6979
  b60       48   0.44324438   1.2290
 t124      216   0.00966410   2.4494
  t39      508   0.07357431   2.2434
  b62       27   0.15549234   3.9258
 t161      108   0.15549234   3.9258
 t163       27   0.15549234   3.9258
t143b     1011   0.12267426   2.8566
 t162       27   0.15549234   3.9258
 t151      415   0.38729047   3.0805
  a33      783   0.47781852   2.6993
t118a     1471   0.44218867   2.7526
t121a      294   0.13797379   2.1040
t122f      262   0.10392404   1.9861
  t87     2380   0.45857652   2.9286
 t135      604   0.37510148   2.8292
  b77       14   0.63346712   1.0970
  t50    77402   1.62225839   4.6229
t122b     6844   0.21348426   1.8595
  t33       86   0.60372718   1.1435
  t70      338   0.05776854   2.4244
 b57a      801   0.31141448   2.4051
 t154     1944   0.45557098   2.4665
  a12     2143   0.43997763   2.4031
 t153      357   0.39810914   2.1676
t130d       46   0.25879838   3.3029
 t131       32   0.42393172   2.8621
  b39       16   0.27649154   0.9244
  a27       16   0.27649154   0.9244
  t57      304   0.97941845   2.6773
  t91       25   0.51877664   1.9358
 t167      122   0.53532072   1.5277
  t92       60   0.09719471   2.4136
 t127      599   0.48899545   2.6330
  t56       68   1.92826529   3.6361
  b22     3356   0.50598498   3.3009
 t18a     2284   0.62127303   3.4852
