param    count     abs mean      std
  b10    52660   0.10892806   3.0631
  b87    80615   0.22413182   3.2841
  b21    58864   0.09423902   2.9687
   b4   101636   0.11912739   2.6304
   b5   633394   0.13511579   2.8580
  b85   457311   0.11700074   2.8191
   b8   122887   0.14032614   2.7814
   b3    22300   0.07764691   2.7981
   b7    94777   0.35235378   3.6757
  b84   773677   0.05096091   3.1935
   b1   238814   0.05970394   3.2849
   b9    50476   0.02698537   3.0847
  b18     9778   0.07534152   2.9526
  b88    20736   0.09222389   2.9280
  a10  1585292   0.12364607   2.8554
  a21   116074   0.16128689   2.9641
  a11   823292   0.12798661   2.8420
  a20   240410   0.12076964   2.9473
   a1  1787309   0.00692676   3.2021
  a18    36577   0.51345733   3.6071
  a28    56995   0.04744229   2.9523
  a15    11142   0.08390229   2.7178
   a2   481670   0.06384787   3.0840
  t47   225960   0.11420095   2.8175
  t44  2533576   0.13511579   2.8580
  t78    17742   0.19368134   3.0018
  t75   134397   0.09030849   3.0505
  t74   173880   0.14773272   3.1206
  t77    40528   0.08591841   3.1568
  t22     5068   0.10089505   2.8395
  t17   460580   0.01751784   2.5974
  t51   188491   0.17306263   3.7024
  t18    92523   0.03630097   2.6760
  t19    28105   0.11465068   2.6545
  t58    60305   0.50771761   4.1422
   t1   620730   0.06956459   3.3296
   t2   108818   0.39837583   3.2498
   t4   612581   0.16312573   3.1674
  t67    53715   0.01122990   3.1671
  t64   490647   0.14266699   3.2115
 t108     4279   0.36654006   2.7908
  t76     9399   0.26663579   2.7651
 t109     3171   0.44554344   3.0895
   t3   566187   0.01341225   3.5384
   i1   855941   0.12172106   2.8304
   i4    83086   0.15820854   3.1465
   i2    11087   0.07621694   2.7165
   b2    90503   0.00238100   2.5900
  t66    20032   0.02791886   2.4368
 t106    12106   0.36796810   2.9333
  b16    42224   0.09065850   2.8275
  t96    19932   0.31075258   3.0027
  t95    85904   0.01672171   2.8567
   t9   105015   0.23914164   2.6704
  b59    18658   0.08922253   3.0970
  b57     6117   0.08071463   3.4898
  b56    12677   0.05673777   3.3665
   b6    54755   0.07723893   2.5574
  a31     9231   0.08597085   3.0990
  a32    46479   0.07096489   3.2877
  a14   191581   0.05101492   2.6041
  a13    63610   0.01394495   2.3623
 t152     3940   0.59897711   2.6339
 t121    47346   0.10500932   3.1114
  t80   222202   0.09923829   2.4454
  t45   213570   0.07990665   2.5565
 t150     1507   0.66076322   2.5118
  t43   159644   0.13349782   2.3590
   i6    34187   0.05380053   2.4376
   a4    42786   0.07820767   2.9260
   a6     9717   0.07053784   2.9067
   a3    11190   0.08121475   2.9525
  t73    54624   0.34572729   2.7636
  t35     2122   0.01975575   2.1965
  t29     1300   0.14033212   2.3307
  t16    43728   0.06737321   2.9396
  t15    44584   0.07907751   2.9442
  b20     6328   0.07173880   2.3052
 t107     5760   0.07171811   2.2501
  t97    18869   0.13617746   2.3406
 t110     5225   0.11110518   2.2208
  b19    25628   0.12655357   3.2487
  b12    98056   0.08439175   3.0275
  b69    30045   0.16616565   2.3444
  a22    58306   0.11820331   2.9937
 t105    36343   0.13409380   3.5565
  t85    74313   0.07415828   3.0676
  t84   121387   0.08885420   3.0029
  b70    17002   0.10833429   3.1954
  b13    45854   0.03158511   2.5412
  b11    24584   0.13057121   2.5941
  b35    19551   0.06224097   2.5190
  b38     3042   0.43460975   2.3608
 a22a    43350   0.03285304   2.4553
  t86    91270   0.03260320   2.5380
  t82    15211   0.03614703   2.6611
  t83    28771   0.06884904   2.4999
  t20    42163   0.02072512   2.5770
  t90     5180   0.70459087   2.6167
 t140     3887   0.34569826   2.4418
 t138    31372   0.06930801   2.5580
   i7    23382   0.06241044   2.5511
  b14    10534   0.24341015   2.8738
  t93    15748   0.14435485   2.7757
  t94    15770   0.34435344   2.9687
  a19    36197   0.62659349   4.3590
  b52    13246   0.10506267   2.8719
  a37     5970   0.11077983   2.9082
  t48    13729   0.14359767   2.6013
 t117     9307   0.05752905   3.0750
 t115    16330   0.12975394   2.6021
 t116     6286   0.17251856   2.9978
  b24     5037   0.09716835   2.5998
  b27     4202   0.11443063   2.8117
  a16     6829   0.01792222   2.5171
  t23    21444   0.06051363   2.9183
 t166    14550   0.02954694   2.5063
  t99      805   0.45090008   4.5678
  t68     1579   0.32726187   3.8123
  b36     1898   0.02058187   1.9889
 a18a     6030   0.46988305   5.6153
   a8     6251   0.13904679   3.7109
   a9    45165   0.37586431   3.8483
   a7     7960   0.19640166   4.2798
 t139     1832   0.00112666   1.9897
  b68    17163   0.15286607   3.0769
  b37      861   0.02644938   2.6649
  b28     1286   0.23939777   1.9477
 t165     1290   0.23839279   1.9448
  b17     8510   0.02391002   2.5862
  a29     6337   0.05288060   2.4148
 t111    33604   0.06266819   2.4845
  b25     1449   0.33135063   2.2579
 t118    24978   0.05380933   2.6184
 t146      690   0.25389130   2.8790
 t144      443   0.49056499   3.1176
  t62      634   0.50444265   7.7535
  t61      317   0.50444265   7.7535
 t149    11646   0.24455543   3.9385
 t148     8285   0.37402247   3.1763
  t60      514   1.72815104   3.3602
  t59      257   1.72815104   3.3602
   i3     4549   0.08367832   3.7062
  t14     9888   0.07615497   2.8187
  t13     5676   0.02079044   2.8716
 t120     1274   0.39290188   5.3875
 t119     2128   1.64351768  12.4369
   i5     1513   0.60788920   2.5056
  t46     5450   0.02730131   2.5904
  b64      168   1.27062208   4.1348
  b65       85   1.53966058   4.1769
  b61      219   0.64700791   3.4094
  a40      672   1.14650267   3.8577
 t159      464   1.31993879   4.2210
t123a     1275   1.25383915   3.7054
 t147     4885   0.33532826   4.1036
 t145     3487   0.48530061   3.1381
t141b     7798   0.04958171   2.3691
t141a    41548   0.10753323   2.3659
  b41     2586   0.02665366   2.2860
t141c    16114   0.00698312   2.5595
 t129     2215   0.01110738   2.2306
  t21     2628   0.05617605   2.3018
  t69     2242   0.14835081   2.7273
  b34      589   0.58645918   3.0411
 t134      912   1.23920878   3.2082
  t79    11494   0.03215580   4.6926
  t52      451   0.50433573   2.3606
  t53      263   0.39732296   1.9751
